country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Benin,Alibori,Banikoara,276704,1,271169.92,5534.08,0,0,0,0
Benin,Alibori,Gogounou,131879,1,127922.63,3956.37,0,NA,NA,0
Benin,Alibori,Kandi,201203,1,199190.97,2012.03,0,NA,NA,0
Benin,Alibori,Karimama,74457,1,68500.44,5956.56,0,NA,NA,0
Benin,Alibori,Malanville,189235,1,174096.2,15138.8,0,NA,NA,0
Benin,Alibori,Segbana,99969,1,98969.31,999.69,0,0,0,0
Benin,Atacora,Boukombe,92527,1,83274.3,9252.7,0,0,0,0
Benin,Atacora,Kerou,75862,1,69793.04,6068.96,0,0,0,0
Benin,Atacora,Kobli,112432,1,110183.36,2248.64,0,0,0,0
Benin,Atacora,Kouande,125172,1,120165.12,5006.88,0,0,0,0
Benin,Atacora,Materi,127886,1,115097.4,12788.6,0,0,0,0
Benin,Atacora,Natitingou,116419,1,114090.62,2328.38,0,0,0,0
Benin,Atacora,Pehunco,87776,1,86020.48,1755.52,0,0,0,0
Benin,Atacora,Tanguieta,83802,1,77097.84,6704.16,0,0,0,0
Benin,Atacora,Toucountouna,44641,1,40176.9,4464.1,0,0,0,0
Benin,Atlantique,Abomey-Calavi,736513,1,626036.05,110476.95,0,0,0,0
Benin,Atlantique,Allada,143097,1,127356.33,15740.67,0,0,0,0
Benin,Atlantique,Kpomasse,75915,1,65286.9,10628.1,0,0,0,0
Benin,Atlantique,Ouidah,181836,1,154560.6,27275.4,0,0,0,0
Benin,Atlantique,So-Ava,133036,2,105098.44,26607.2,1330.36,0,0,1330.36
Benin,Atlantique,Toffo,114001,1,99180.87,14820.13,0,0,0,0
Benin,Atlantique,Tori-Bossito,64676,2,51094.04,12288.44,1293.52,0,0,1293.52
Benin,Atlantique,Ze,119980,1,104382.6,15597.4,0,0,0,0
Benin,Borgou,Bembereke,147296,1,144350.08,2945.92,0,0,0,0
Benin,Borgou,Kalale,189484,1,187589.16,1894.84,0,NA,NA,0
Benin,Borgou,N'dali,127488,1,116014.08,11473.92,0,NA,NA,0
Benin,Borgou,Nikki,169714,1,168016.86,1697.14,0,NA,NA,0
Benin,Borgou,Parakou,286694,1,263758.48,22935.52,0,NA,NA,0
Benin,Borgou,Perere,88642,1,86869.16,1772.84,0,NA,NA,0
Benin,Borgou,Sinende,102867,1,100809.66,2057.34,0,0,0,0
Benin,Borgou,Tchaourou,250403,1,222858.67,27544.33,0,0,0,0
Benin,Collines,Bante,120281,1,110658.52,9622.48,0,0,0,0
Benin,Collines,Dassa-Zoume,125826,1,113243.4,12582.6,0,0,0,0
Benin,Collines,Glazoue,139630,1,122874.4,16755.6,0,0,0,0
Benin,Collines,Ouesse,159374,1,138655.38,20718.62,0,0,0,0
Benin,Collines,Savalou,162216,1,139505.76,22710.24,0,0,0,0
Benin,Collines,Save,97832,2,74352.32,22501.36,978.32,0,0,978.32
Benin,Couffo,Aplahoue,192021,1,176659.32,15361.68,0,0,0,0
Benin,Couffo,Djakotomey,150406,2,117316.68,31585.26,1504.06,0,0,1504.06
Benin,Couffo,Dogbo,115653,1,101774.64,13878.36,0,0,0,0
Benin,Couffo,Klouekanme,144313,2,111121.01,33191.99,0,0,0,0
Benin,Couffo,Lalo,134581,2,104973.18,28262.01,1345.81,0,0,1345.81
Benin,Couffo,Toviklin,99441,2,76569.57,21877.02,994.41,0,0,994.41
Benin,Donga,Bassila,145991,1,131391.9,14599.1,0,0,0,0
Benin,Donga,Copargo,79608,1,70055.04,9552.96,0,0,0,0
Benin,Donga,Djougou,300543,1,270488.7,30054.3,0,0,0,0
Benin,Donga,Ouake,83362,2,65855.98,16672.4,833.62,0,0,833.62
Benin,Littoral,Cotonou,NA,NA,NA,NA,NA,NA,NA,NA
Benin,Mono,Athieme,63387,2,50075.73,12677.4,633.87,0,0,633.87
Benin,Mono,Bopa,108049,2,85358.71,21609.8,1080.49,0,0,1080.49
Benin,Mono,Come,89764,1,80787.6,8976.4,0,0,0,0
Benin,Mono,Grand-Popo,64585,1,54897.25,9687.75,0,0,0,0
Benin,Mono,Houeyogbe,114347,2,90334.13,22869.4,1143.47,0,0,1143.47
Benin,Mono,Lokossa,117790,1,106011,11779,0,0,0,0
Benin,Oueme,Adjarra,109328,1,100581.76,8746.24,0,0,0,0
Benin,Oueme,Adjohoun,84528,1,78611.04,5916.96,0,0,0,0
