country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Benin,ATACORA,Boukombé,95188,1,85669,9519,0,0,0,0
Benin,ATACORA,Cobly,78043,2,60874,16389,780,0,0,780
Benin,ATACORA,Kérou,115665,1,97159,18506,0,0,0,0
Benin,ATACORA,Kouandé,128771,1,112031,16740,0,0,0,0
Benin,ATACORA,Matéri,131563,2,96041,32891,2631,0,0,2631
Benin,ATACORA,Natitingou,119767,1,106593,13174,0,0,0,0
Benin,ATACORA,Péhunco,90299,1,77657,11739,903,0,0,903
Benin,ATACORA,Tanguiéta,86211,2,64658,20691,862,0,0,862
Benin,ATACORA,Toucountouna,45924,2,34902,10563,459,0,0,459
Benin,DONGA,Bassila,150189,2,115646,33042,1502,0,0,1502
Benin,DONGA,Copargo,81897,2,61423,18836,1638,0,0,1638
Benin,DONGA,Djougou,309184,1,278266,30918,0,0,0,0
Benin,DONGA,Ouaké,85759,2,64319,20582,858,0,0,858
Benin,Altantique,Allada,147211,1,132490,14721,0,0,0,0
Benin,Altantique,Kpomassè,78098,1,70288,7810,0,0,0,0
Benin,Altantique,Abomey-calavi,757689,1,689497,68192,0,0,0,0
Benin,Altantique,Ouidah,187064,1,155263,31801,0,0,0,0
Benin,Altantique,Toffo,117279,1,114933,2346,0,0,0,0
Benin,Altantique,Torri-Bossito,66535,2,50567,15968,0,0,0,0
Benin,Altantique,Zè,123430,1,114790,8640,0,0,0,0
Benin,Altantique,Sô-Ava,136861,2,99909,36952,0,0,0,0
Benin,LITTORAL,COTONOU,783901,1,783901,0,0,0,0,0
Benin,Alibori,Banikoara,284660,1,244808,39852,0,0,0,0
Benin,Alibori,Gogounou,135671,1,118034,17637,0,0,0,0
Benin,Alibori,Kandi,206988,1,192499,14489,0,0,0,0
Benin,Alibori,Karimama,76598,2,52087,22979,1532,0,0,1532
Benin,Alibori,Malanville,194676,2,128486,62296,3894,0,0,3894
Benin,Alibori,Ségbana,102843,1,84331,16455,2057,0,0,2057
Benin,Borgou,Bembereke,151531,1,134863,16668,0,0,0,0
Benin,Borgou,Kalalé,194932,1,177388,17544,0,0,0,0
Benin,Borgou,N'dali,131153,1,120661,10492,0,0,0,0
Benin,Borgou,Nikki,174593,1,153642,20951,0,0,0,0
Benin,Borgou,Parakou,294937,1,283140,11797,0,0,0,0
Benin,Borgou,Perere,91191,1,80248,10943,0,0,0,0
Benin,Borgou,Sinende,105825,1,97359,8466,0,0,0,0
Benin,Borgou,Tchaourou,257602,1,226690,30912,0,0,0,0
Benin,Couffo,Aplahoué,197542,1,175812,21730,0,0,0,0
Benin,Couffo,Djakotomey,154730,2,105216,46419,3095,0,0,3095
Benin,Couffo,Dogbo,118978,1,101131,17847,0,0,0,0
Benin,Couffo,Klouèkamey,148463,2,92047,51962,4454,0,0,4454
Benin,Couffo,Lalo,138451,2,91378,44304,2769,0,0,2769
Benin,Couffo,Toviklin,102300,2,66495,33759,2046,0,0,2046
Benin,Mono,Athiémé,65209,2,43690,20215,1304,0,0,1304
Benin,Mono,Bopa,111155,1,98928,12227,0,0,0,0
Benin,Mono,Comè,92345,1,84034,8311,0,0,0,0
Benin,Mono,Grand-popo,66442,1,57805,8637,0,0,0,0
Benin,Mono,Houéyogbé,117634,1,96460,21174,0,0,0,0
Benin,Mono,Lokossa,121176,1,104211,16965,0,0,0,0
Benin,Ouémé, Adjarra ,112471,1,103473,8998,0,0,0,0
Benin,Ouémé,Adjohou,86958,1,79132,7826,0,0,0,0
Benin,Ouémé,Aguégués,51446,1,42700,8746,0,0,0,0
Benin,Ouémé,Akpro Missereté,146893,1,135142,11751,0,0,0,0
Benin,Ouémé,Avrankou,147831,1,137483,10348,0,0,0,0
Benin,Ouémé,Bonou,51199,1,43519,7680,0,0,0,0
Benin,Ouémé,Dangbo,111323,1,93511,17812,0,0,0,0
Benin,Ouémé,Porto-Novo,305153,1,292947,12206,0,0,0,0
Benin,Ouémé,Sèmè-Podji,257101,1,246817,10284,0,0,0,0
Benin,Plateau,Adja Ouèrè,134244,1,122162,12082,0,0,0,0
Benin,Plateau,Ifangni,128117,1,107618,20499,0,0,0,0
Benin,Plateau,Kétou,181655,1,168939,12716,0,0,0,0
Benin,Plateau,Pobè,142780,1,127074,15706,0,0,0,0
Benin,Plateau,Sakété,131710,1,118539,13171,0,0,0,0
Benin,Collines,Bantè,123739,1,113840,9899,0,0,0,0
Benin,Collines,Dassa-Zoumè,129444,1,126855,2589,0,0,0,0
Benin,Collines,Glazoué,143645,1,133590,10055,0,0,0,0
Benin,Collines,Savalou,166880,1,156867,10013,0,0,0,0
Benin,Collines,Savè,100645,1,92593,8052,0,0,0,0
Benin,Collines,Ouessè,163956,1,149200,14756,0,0,0,0
Benin,Zou,Abomey,106513,1,97992,8521,0,0,0,0
Benin,Zou,Agbangnizoun,83757,1,75381,8376,0,0,0,0
Benin,Zou,Bohicon,198316,1,186417,11899,0,0,0,0
Benin,Zou,Cove,59164,2,46148,13016,0,0,0,0
Benin,Zou,Djidja,142628,1,129791,12837,0,0,0,0
Benin,Zou,Ouinhi,142628,1,131218,11410,0,0,0,0
Benin,Zou,Zagnanado,63567,1,56575,6992,0,0,0,0
Benin,Zou,Za-kpota,153333,1,138000,15333,0,0,0,0
Benin,Zou,Zogbodomey,107292,1,97636,9656,0,0,0,0
