country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Benin,Alibori,Banikoara,271235,1,233262.1,37972.9,0,0,0,0
Benin,Alibori,Gogounou,121894.217769111,1,102391.142926053,19503.0748430578,0,NA,NA,0
Benin,Alibori,Kandi,198430,1,162712.6,33733.1,1984.3,NA,NA,1984.3
Benin,Alibori,Karimama,73123,2,57767.17,13162.14,1462.46,NA,NA,1462.46
Benin,Alibori,Malanville,183639,2,143238.42,36727.8,1836.39,NA,NA,1836.39
Benin,Alibori,Segbana,98016,1,86254.08,7841.28,3920.64,0,0,3920.64
Benin,Atacora,Boukombe,87971,2,56301.44,26391.3,4398.55,879.71,0,5278.26
Benin,Atacora,Kerou,73909,2,48779.94,22172.7,2217.27,739.09,0,2956.36
Benin,Atacora,Kobli,106522,1,87348.04,18108.74,1065.22,0,0,1065.22
Benin,Atacora,Kouande,118859,1,104595.92,14263.08,0,0,0,0
Benin,Atacora,Materi,116714,2,66526.98,40849.9,7002.84,2334.28,0,9337.12
Benin,Atacora,Natitingou,110066,2,82549.5,24214.52,3301.98,0,0,3301.98
Benin,Atacora,Pehunco,83192,1,67385.52,10814.96,4991.52,0,0,4991.52
Benin,Atacora,Tanguieta,77751,2,58313.25,17882.73,1555.02,0,0,1555.02
Benin,Atacora,Toucountouna,42046,2,29852.66,10931.96,1261.38,0,0,1261.38
Benin,Atlantique,Abomey-Calavi,750453,1,667903.17,82549.83,0,0,0,0
Benin,Atlantique,Allada,135152,1,110824.64,24327.36,0,0,0,0
Benin,Atlantique,Kpomasse,69783,1,65596.02,4186.98,0,0,0,0
Benin,Atlantique,Ouidah,184468,1,166021.2,18446.8,0,0,0,0
Benin,Atlantique,So-Ava,128142,2,93543.66,34598.34,0,0,0,0
Benin,Atlantique,Toffo,106464,1,97946.88,8517.12,0,0,0,0
Benin,Atlantique,Tori-Bossito,60094,2,46272.38,13821.62,0,0,0,0
Benin,Atlantique,Ze,114536,1,109496.416,5039.584,0,0,0,0
Benin,Borgou,Bembereke,131920,1,113451.2,18468.8,0,0,0,0
Benin,Borgou,Kalale,184910,1,164569.9,20340.1,0,NA,NA,0
Benin,Borgou,N'dali,125972,1,104556.76,21415.24,0,NA,NA,0
Benin,Borgou,Nikki,161965,1,132811.3,29153.7,0,NA,NA,0
Benin,Borgou,Parakou,279205,1,237324.25,36296.65,5584.1,NA,NA,5584.1
Benin,Borgou,Perere,88334,1,73317.22,15016.78,0,NA,NA,0
Benin,Borgou,Sinende,93743,1,78744.12,14998.88,0,0,0,0
Benin,Borgou,Tchaourou,251479,1,216271.94,35207.06,0,0,0,0
Benin,Collines,Bante,112074,1,106470.3,5603.7,0,0,0,0
Benin,Collines,Dassa-Zoume,115689,1,104120.1,11568.9,0,0,0,0
Benin,Collines,Glazoue,130583,1,113607.21,16975.79,0,0,0,0
