country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Burkina Faso,Centre,Kadiogo,2519055,1,2493864,25191,0,0,0,0
Burkina Faso,Plateau Central,Ganzourgou,402798,1,398770,4028,0,0,0,0
Burkina Faso,Plateau Central,Oubritenga,298163,1,295181,2982,0,0,0,0
Burkina Faso,Plateau Central,Kourweogo,170474,2,131265,34095,5114,0,0,5114
Burkina Faso,Centre-Nord,Bam,353090,2,282472,67087,3531,0,0,3531
Burkina Faso,Centre-Nord,Namentenga,421925,2,337540,71727,12658,0,0,12658
Burkina Faso,Centre-Nord,Sanmatenga,764613,2,611690,145276,7646,0,0,7646
Burkina Faso,Centre-Ouest,Boulkiemde,627629,1,502103,119250,6276,0,0,6276
Burkina Faso,Centre-Ouest,Sanguie,368021,1,294417,58883,11041,0,0,11041
Burkina Faso,Centre-Ouest,Sissili,271329,1,268616,2713,0,0,0,0
Burkina Faso,Centre-Ouest,Ziro,236211,1,229125,7086,0,0,0,0
Burkina Faso,Centre-Sud,Bazega,288399,2,216299,57680,14420,0,0,14420
Burkina Faso,Centre-Sud,Nahouri,201915,2,159513,40383,2019,0,0,2019
Burkina Faso,Centre-Sud,Zoundweogo,310289,2,242025,62058,6206,0,0,6206
Burkina Faso,Sahel,Oudalan,260360,3,54676,117162,78108,10414,0,88522
Burkina Faso,Sahel,Seno,341132,2,272906,57992,10234,0,0,10234
Burkina Faso,Sahel,Soum,454634,3,268234,86380,95473,4546,0,100019
Burkina Faso,Sahel,Yagha,209783,2,167826,39859,2098,0,0,2098
Burkina Faso,Boucle du Mouhoun,Kossi,347424,1,316156,31268,0,0,0,0
Burkina Faso,Boucle du Mouhoun,Mouhoun,377211,1,373439,3772,0,0,0,0
Burkina Faso,Boucle du Mouhoun,Sourou,271970,2,217576,35356,19038,0,0,19038
Burkina Faso,Boucle du Mouhoun,Bale,271214,1,265790,5424,0,0,0,0
Burkina Faso,Boucle du Mouhoun,Banwa,340499,1,333689,6810,0,0,0,0
Burkina Faso,Boucle du Mouhoun,Nayala,203263,2,162610,28457,12196,0,0,12196
Burkina Faso,Est,Gnagna,527798,2,422238,100282,5278,0,0,5278
Burkina Faso,Est,Gourma,401701,1,397684,4017,0,0,0,0
Burkina Faso,Est,Tapoa,457451,1,443727,13724,0,0,0,0
Burkina Faso,Est,Komonjdjari,109394,1,108300,1094,0,0,0,0
Burkina Faso,Est,Kompienga,111076,1,109965,1111,0,0,0,0
Burkina Faso,Centre-Est,Boulgou,698807,1,691819,6988,0,0,0,0
Burkina Faso,Centre-Est,Kouritenga,425237,1,420985,4252,0,0,0,0
Burkina Faso,Centre-Est,Koulpelogo,339316,1,335923,3393,0,0,0,0
Burkina Faso,Nord,Loroum,182296,2,145837,34636,1823,0,0,1823
Burkina Faso,Nord,Passore,400844,2,320676,76160,4008,0,0,4008
Burkina Faso,Nord,Yatenga,697830,2,558264,132588,6978,0,0,6978
Burkina Faso,Nord,Zondoma,213884,2,171107,38499,4278,0,0,4278
Burkina Faso,Sud-Ouest,Bougouriba,131076,1,127144,3932,0,0,0,0
Burkina Faso,Sud-Ouest,Poni,330355,1,313837,6607,9911,0,0,9911
Burkina Faso,Sud-Ouest,Ioba,238561,1,233790,4771,0,0,0,0
Burkina Faso,Sud-Ouest,Noumbiel,91353,1,90439,914,0,0,0,0
Burkina Faso,Hauts-Bassins,Houet,1267299,1,1254626,12673,0,0,0,0
Burkina Faso,Hauts-Bassins,Kenedougou,380676,1,376869,3807,0,0,0,0
Burkina Faso,Hauts-Bassins,Tuy,NA,1,296955,6060,0,0,0,0
Burkina Faso,Cascades,Comoe,NA,1,569268,5750,0,0,0,0
Burkina Faso,Cascades,Leraba,NA,1,155831,4820,0,0,0,0
