country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Burkina Faso,CENTRE,Kadiogo,2623516.8241829,1,2571046.48769925,52470.3364836581,0,0,0,0
Burkina Faso,PLATEAU CENTRAL, Ganzourgou ,414106.721390397,1,396714.239092,17392.4822983967,0,0,0,0
Burkina Faso,PLATEAU CENTRAL, Oubritenga ,306264.030917053,1,267674.763021504,38589.2678955487,0,0,0,0
Burkina Faso,PLATEAU CENTRAL, Kourweogo ,174912.796623887,1,140979.714078853,31484.3033922996,2448.77915273441,0,0,2448.77915273441
Burkina Faso,CENTRE-NORD, Bam ,363560.735116348,2,272670.551337261,83618.9690767599,7271.21470232695,0,0,7271.21470232695
Burkina Faso,CENTRE-NORD, Namentenga ,434439.146602071,2,338862.534349616,82543.4378543936,13033.1743980621,0,0,13033.1743980621
Burkina Faso,CENTRE-NORD, Sanmatenga ,787042.177805005,2,611531.772154489,157408.435561001,18101.9700895151,0,0,18101.9700895151
Burkina Faso,CENTRE-OUEST, Boulkiemde ,644457.732333306,1,528455.340513311,83779.5052033298,32222.8866166653,0,0,32222.8866166653
Burkina Faso,CENTRE-OUEST, Sanguie,377739.565178083,1,309746.443446028,45328.74782137,22664.373910685,0,0,22664.373910685
Burkina Faso,CENTRE-OUEST, Sissili ,279722.842901114,1,257345.015469025,22377.8274320891,0,0,0,0
Burkina Faso,CENTRE-OUEST, Ziro ,244189.735670818,1,217328.864747028,26860.87092379,0,0,0,0
Burkina Faso,CENTRE-SUD, Bazega ,295367.97240806,1,251062.776546851,35444.1566889672,8861.03917224181,0,0,8861.03917224181
Burkina Faso,CENTRE-SUD, Nahouri ,207931.86927569,1,182980.044962607,22872.5056203259,2079.3186927569,0,0,2079.3186927569
Burkina Faso,CENTRE-SUD, Zoundweogo ,319002.927581898,1,267962.459168795,41470.3805856468,9570.08782745695,0,0,9570.08782745695
Burkina Faso,SAHEL, Oudalan ,268914.524615272,2,193618.457722996,61850.3406615127,13445.7262307636,0,0,13445.7262307636
Burkina Faso,SAHEL, Seno ,351353.714906035,1,291623.583372009,45675.9829377845,14054.1485962414,0,0,14054.1485962414
Burkina Faso,SAHEL, Soum ,468949.199114598,1,398606.819247408,51584.4119026057,18757.9679645839,0,0,18757.9679645839
Burkina Faso,SAHEL, Yagha ,216403.440899015,1,183942.924764163,28132.4473168719,4328.0688179803,0,0,4328.0688179803
Burkina Faso,MOUHOUN, Kossi ,356830.307156834,1,317578.973369583,35683.0307156834,3568.30307156834,0,0,3568.30307156834
Burkina Faso,MOUHOUN, Mouhoun ,388007.999758915,1,353087.279780613,31040.6399807132,3880.07999758915,0,0,3880.07999758915
Burkina Faso,MOUHOUN, Sourou ,279043.603293037,1,262300.987095455,16742.6161975822,0,0,0,0
Burkina Faso,MOUHOUN, Bale ,279020.145082312,1,259488.734926551,16741.2087049387,2790.20145082312,0,0,2790.20145082312
Burkina Faso,MOUHOUN, Banwa ,350133.350994239,1,325624.016424642,21008.0010596543,3501.33350994239,0,0,3501.33350994239
Burkina Faso,MOUHOUN, Nayala ,208713.15340713,1,183667.574998274,22958.4468747843,2087.1315340713,0,0,2087.1315340713
Burkina Faso,EST, Gnagna ,543657.576854509,2,407743.182640882,119604.666907992,16309.7273056353,0,0,16309.7273056353
Burkina Faso,EST, Gourma ,414445.860771626,2,327412.230009584,78744.7135466089,8288.91721543251,0,0,8288.91721543251
Burkina Faso,EST, Tapoa ,472704.992396881,1,420707.443233224,47270.4992396881,4727.04992396881,0,0,4727.04992396881
Burkina Faso,EST, Komandjoari ,113335.611107852,2,89535.1327752029,22667.1222215704,1133.35611107852,0,0,1133.35611107852
