country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Burkina Faso,CENTRE,Kadiogo,2519055,1,2508447,8067,2541,0,0,2541
Burkina Faso,PLATEAU CENTRAL, Ganzourgou ,402798,1,331172,48034,23592,0,0,23592
Burkina Faso,PLATEAU CENTRAL, Oubritenga ,298163,1,289059,5565,3539,0,0,3539
Burkina Faso,PLATEAU CENTRAL, Kourweogo ,170474,1,155740,11958,2776,0,0,2776
Burkina Faso,CENTRE-NORD, Bam ,353090,1,352791,299,0,0,0,0
Burkina Faso,CENTRE-NORD, Namentenga ,421925,1,342409.75,37973.25,41542,0,0,41542
Burkina Faso,CENTRE-NORD, Sanmatenga ,764613,2,603077.53,145276.47,16259,0,0,16259
Burkina Faso,CENTRE-OUEST, Boulkiemde,627629,1,609965,12709,4955,0,0,4955
Burkina Faso,CENTRE-OUEST, Sanguie,368021,1,358166,9140,715,0,,715
Burkina Faso,CENTRE-OUEST, Sissili ,271329,1,271302,27,0,0,0,0
Burkina Faso,CENTRE-OUEST, Ziro ,236211,1,235496,0,715,0,0,715
Burkina Faso,CENTRE-SUD, Bazega ,288399,1,280601,7798,0,0,0,0
Burkina Faso,CENTRE-SUD, Nahouri ,201915,1,193104,4801,4010,0,0,4010
Burkina Faso,CENTRE-SUD, Zoundweogo ,310289,1,307935,2011,343,0,0,343
Burkina Faso,SAHEL, Oudalan ,260360,1,248065,12295,0,0,0,0
Burkina Faso,SAHEL, Seno ,341132,2,270087.56,57992.44,13052,0,0,13052
Burkina Faso,SAHEL, Soum ,454634,2,357351.22,77287.78,19995,0,0,19995
Burkina Faso,SAHEL, Yagha ,209783,1,197578,11790,415,0,0,415
Burkina Faso,MOUHOUN, Kossi ,347424,1,337499,9444,481,0,0,481
Burkina Faso,MOUHOUN, Mouhoun ,377211,1,375170,1921,120,0,0,120
Burkina Faso,MOUHOUN, Sourou ,271970,1,246081,24788,1101,0,0,1101
Burkina Faso,MOUHOUN, Bale,271214,1,265910,5304,0,0,0,0
Burkina Faso,MOUHOUN, Banwa ,340499,1,333389,7110,0,0,0,0
Burkina Faso,MOUHOUN, Nayala ,203263,1,188829,12103,2331,0,0,2331
Burkina Faso,EST, Gnagna ,527798,1,442426,63987,21385,0,0,21385
Burkina Faso,EST, Gourma ,401701,1,397645,4056,0,0,0,0
Burkina Faso,EST, Tapoa ,457451,1,418775,29881,8795,0,0,8795
Burkina Faso,EST, Komandjoari ,109394,1,107951,1443,0,0,0,0
Burkina Faso,EST, Kompienga ,111076,1,104677,6399,0,0,0,0
Burkina Faso,CENTRE-EST, Boulgou ,698807,1,697777,1030,0,0,0,0
Burkina Faso,CENTRE-EST, Kouritenga ,425237,1,415165,4150,5922,0,0,5922
Burkina Faso,CENTRE-EST, Koulpelgo ,339316,1,339116,200,0,0,0,0
Burkina Faso,NORD, Passore ,400844,1,396349,4495,0,0,0,0
Burkina Faso,NORD, Yatenga ,697830,1,694128,3702,0,0,0,0
Burkina Faso,NORD, Loroum ,182296,1,180578,1718,0,0,0,0
Burkina Faso,NORD, Zondoma ,213884,1,210577,1417,1890,0,0,1890
Burkina Faso,SUD-OUEST, Bougouriba ,131076,1,130227,849,0,0,0,0
Burkina Faso,SUD-OUEST, Poni ,330355,1,312286,13589,4480,0,0,4480
Burkina Faso,SUD-OUEST, Ioba ,238561,1,229477,5927,3157,0,0,3157
Burkina Faso,SUD-OUEST, Noumbiel ,91353,1,82436,4524,4393,0,0,4393
Burkina Faso,HAUTS-BASSINS, Houet ,1267299,1,1265333,1966,0,0,0,0
Burkina Faso,HAUTS-BASSINS, Kenedougou ,380676,1,375937,4323,416,0,0,416
Burkina Faso,HAUTS-BASSINS, Tuy ,303015,1,297962,5053,0,0,0,0
Burkina Faso,CASCADES, Comoe,575018,1,575018,0,0,0,0,0
Burkina Faso,CASCADES, Leraba ,160650,1,158301,2349,0,0,0,0
