country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Burkina Faso,CENTRE,KADIOGO,2950975,2,2124702,767253.5,59019.5,0,0,59019.5
Burkina Faso,PLATEAU CENTRAL,GANZOURGOU,449737,1,377779.08,67460.55,4497.37,0,0,4497.37
Burkina Faso,PLATEAU CENTRAL,OUBRITENGA,331833,2,238919.76,82958.25,9954.99,0,0,9954.99
Burkina Faso,PLATEAU CENTRAL,KOURWEOGO,188955,2,143605.8,37791,7558.2,0,0,7558.2
Burkina Faso,CENTRE-NORD,BAM,396493,2,281510.03,75333.67,39649.3,0,0,39649.3
Burkina Faso,CENTRE-NORD,NAMENTENGA,473800,2,360088,94760,18952,0,0,18952
Burkina Faso,CENTRE-NORD,SANMATENGA,857616,2,608907.36,214404,34304.64,0,0,34304.64
Burkina Faso,CENTRE-SUD,BAZEGA,317565,2,244525.05,69864.3,3175.65,0,0,3175.65
Burkina Faso,CENTRE-SUD,NAHOURI,226852,1,190555.68,34027.8,2268.52,0,0,2268.52
Burkina Faso,CENTRE-SUD,ZOUNDWEOGO,346452,1,304877.76,38109.72,3464.52,0,0,3464.52
Burkina Faso,SAHEL,OUDALAN,295692,3,159673.68,68009.16,59138.4,8870.76,0,68009.16
Burkina Faso,SAHEL,SENO,383905,2,261055.4,72941.95,49907.65,0,0,49907.65
Burkina Faso,SAHEL,SOUM,513727,3,308236.2,102745.4,87333.59,15411.81,0,102745.4
Burkina Faso,SAHEL,YAGHA,237092,2,175448.08,45047.48,16596.44,0,0,16596.44
Burkina Faso,BOUCLE DE MOUHOUN,KOSSI,386551,1,324702.84,57982.65,3865.51,0,0,3865.51
Burkina Faso,BOUCLE DE MOUHOUN,MOUHOUN,422047,1,371401.36,42204.7,8440.94,0,0,8440.94
Burkina Faso,BOUCLE DE MOUHOUN,SOUROU,301435,1,256219.75,36172.2,9043.05,0,0,9043.05
Burkina Faso,BOUCLE DE MOUHOUN,BALE,303616,1,273254.4,21253.12,9108.48,0,0,9108.48
Burkina Faso,BOUCLE DE MOUHOUN,BANWA,380513,1,334851.44,41856.43,3805.13,0,0,3805.13
Burkina Faso,BOUCLE DE MOUHOUN,NAYALA,225938,1,196566.06,27112.56,2259.38,0,0,2259.38
Burkina Faso,EST,GNAGNA,593756,2,439379.44,142501.44,11875.12,0,0,11875.12
Burkina Faso,EST,GOURMA,454456,2,345386.56,99980.32,9089.12,0,0,9089.12
Burkina Faso,EST,TAPOA,520545,2,400819.65,114519.9,5205.45,0,0,5205.45
Burkina Faso,EST,KOMANDJOARI,125679,2,91745.67,28906.17,5027.16,0,0,5027.16
Burkina Faso,EST,KOMPIENGA,130249,2,97686.75,29957.27,2604.98,0,0,2604.98
Burkina Faso,CENTRE-EST,BOULGOU,785202,1,659569.68,125632.32,0,0,0,0
Burkina Faso,CENTRE-EST,KOURITENGA,478280,2,353927.2,119570,4782.8,0,0,4782.8
Burkina Faso,CENTRE-EST,KOULPELOGO,383805,1,337748.4,46056.6,0,0,0,0
Burkina Faso,NORD,PASSORE,445093,2,298212.31,93469.53,53411.16,0,0,53411.16
Burkina Faso,NORD,YATENGA,779220,2,599999.4,155844,23376.6,0,0,23376.6
Burkina Faso,NORD,LOROUM,204332,2,140989.08,49039.68,14303.24,0,0,14303.24
Burkina Faso,NORD,ZONDOMA,240225,2,180168.75,48045,12011.25,0,0,12011.25
Burkina Faso,SUD-OUEST,BOUGOURIBA,147504,1,132753.6,13275.36,1475.04,0,0,1475.04
Burkina Faso,SUD-OUEST,PONI,371363,2,285949.51,74272.6,11140.89,0,0,11140.89
Burkina Faso,SUD-OUEST,IOBA,264918,2,206636.04,47685.24,10596.72,0,0,10596.72
Burkina Faso,SUD-OUEST,NOUMBIEL,103137,2,80446.86,19596.03,3094.11,0,0,3094.11
Burkina Faso,CENTRE-OUEST,BOULKIEMDE,697301,2,509029.73,174325.25,13946.02,0,0,13946.02
Burkina Faso,CENTRE-OUEST,SANGUIE,408433,2,310409.08,89855.26,8168.66,0,0,8168.66
Burkina Faso,CENTRE-OUEST,SISSILI,306074,1,278527.34,27546.66,0,0,0,0
Burkina Faso,CENTRE-OUEST,ZIRO,269179,1,244952.89,24226.11,0,0,0,0
Burkina Faso,HAUTS-BASSINS,HOUET,1438876,1,1280599.64,143887.6,14388.76,0,0,14388.76
Burkina Faso,HAUTS-BASSINS,KENEDOUGOU,432859,1,406887.46,25971.54,0,0,0,0
Burkina Faso,HAUTS-BASSINS,TUY,344030,1,313067.3,30962.7,0,0,0,0
Burkina Faso,CASCADES,COMOE,666071,1,552838.93,99910.65,13321.42,0,0,13321.42
Burkina Faso,CASCADES,LERABA,180805,1,160916.45,18080.5,1808.05,0,0,1808.05
