country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Central African Republic,Bamingui-Bangoran,Bamingui,"9,132",3,"2,739","3,652","2,283",456,0,2739
Central African Republic,Bamingui-Bangoran,Ndélé,"50,500",3,"12,625","22,725","12,625","2,525",0,15150
Central African Republic,Bangui,Bangui,"876,341",2,"438,170","306,719","131,451",0,0,131451
Central African Republic,Basse-Kotto,Alindao,"83,427",3,"12,514","20,856","37,542","12,514",0,50056
Central African Republic,Basse-Kotto,Kembé,"43,220",3,"6,483","12,966","17,288","6,483",0,23771
Central African Republic,Basse-Kotto,Mobaye,"75,706",3,"11,355","30,282","22,711","11,355",0,34066
Central African Republic,Basse-Kotto,Satéma,"36,754",3,"3,675","11,026","16,539","5,513",0,22052
Central African Republic,Basse-Kotto,Zangba,"39,506",3,"5,925","13,827","15,802","3,950",0,19752
Central African Republic,Haut-Mbomou,Obo,"47,808",4,"4,780","11,952","19,123","11,952",0,31075
Central African Republic,Haut-Mbomou,Zémio,"13,377",4,"1,337","4,681","4,681","2,675",0,7356
Central African Republic,Haute-Kotto,Bria,"88,319",4,"13,247","26,495","30,911","17,663",0,48574
Central African Republic,Kémo,Dékoa,"46,055",3,"11,513","18,422","11,513","4,605",0,16118
Central African Republic,Kémo,Mala,"18,227",3,"4,556","6,379","4,556","2,734",0,7290
Central African Republic,Kémo,Ndjoukou,"36,573",4,"5,485","7,314","16,457","7,314",0,23771
Central African Republic,Kémo,Sibut,"51,308",3,"15,392","17,957","10,261","7,696",0,17957
Central African Republic,Lobaye,Boda,"55,225",3,"13,806","27,612","11,045","2,761",0,13806
Central African Republic,Lobaye,Boganangone,"33,848",3,"8,462","18,616","5,077","1,692",0,6769
Central African Republic,Lobaye,Boganda,"16,215",3,"3,243","8,107","4,053",810,0,4863
Central African Republic,Lobaye,Mbaïki,"175,068",2,"43,767","105,040","17,506","8,753",0,26259
Central African Republic,Lobaye,Mongoumba,"26,943",3,"4,041","16,165","5,388","1,347",0,6735
Central African Republic,Mambéré-Kadéï,Amada-gaza,"21,292",3,"6,387","5,323","7,452","2,129",0,9581
Central African Republic,Mambéré-Kadéï,Carnot,"115,490",3,"28,872","28,872","40,421","17,323",0,57744
Central African Republic,Mambéré-Kadéï,Dédé-mokouba,"25,553",3,"6,388","7,665","8,943","2,555",0,11498
Central African Republic,Mambéré-Kadéï,Gadzi,"70,752",3,"17,688","24,763","21,225","7,075",0,28300
Central African Republic,Mambéré-Kadéï,Gamboula,"33,623",3,"8,405","8,405","13,449","3,362",0,16811
Central African Republic,Mambéré-Kadéï,Sosso-nakombo,"17,205",3,"6,021","4,301","5,161","1,720",0,6881
Central African Republic,Mbomou,Bakouma,"21,930",3,"2,193","10,965","6,579","2,193",0,8772
Central African Republic,Mbomou,Bangassou,"90,928",3,"9,092","27,278","40,917","13,639",0,54556
Central African Republic,Mbomou,Gambo,"15,832",3,"2,374","3,958","7,124","2,374",0,9498
Central African Republic,Mbomou,Ouango,"62,942",3,"18,882","31,471","9,441","3,147",0,12588
Central African Republic,Mbomou,Rafai,"18,049",3,"1,804","5,414","8,122","2,707",0,10829
Central African Republic,Nana-Gribizi,Kaga-bandoro,"120,197",3,"18,029","48,078","36,059","18,029",0,54088
Central African Republic,Nana-Mambéré,Abba,"29,195",2,"5,839","18,976","4,379",0,0,4379
Central African Republic,Nana-Mambéré,Baboua,"52,835",2,"13,208","31,701","7,925",0,0,7925
Central African Republic,Nana-Mambéré,Baoro,"34,347",2,"25,760","6,869","1,717",0,0,1717
Central African Republic,Nana-Mambéré,Bouar,"104,949",2,"26,237","62,969","10,494","5,247",0,15741
Central African Republic,Ombella M'Poko,Bimbo,"282,601",2,"141,300","98,910","42,390",0,0,42390
Central African Republic,Ombella M'Poko,Boali,"27,735",2,"13,867","9,707","4,160",0,0,4160
Central African Republic,Ombella M'Poko,Bogangolo,"9,466",3,"3,313","4,259","1,419",473,0,1892
Central African Republic,Ombella M'Poko,Bossembélé,"37,710",3,"11,313","15,084","9,427","1,885",0,11312
Central African Republic,Ombella M'Poko,Damara,"36,049",2,"12,617","18,024","3,604","1,802",0,5406
Central African Republic,Ombella M'Poko,Yaloké,"39,332",3,"11,799","17,699","7,866","1,966",0,9832
Central African Republic,Ouaka,Bakala,"5,985",3,1197,"2,693","1,795",299,0,2094
Central African Republic,Ouaka,Bambari,"170,726",3,"25,608","59,754","68,290","17,072",0,85362
Central African Republic,Ouaka,Grimari,"57,984",3,"5,798","20,294","28,992","2,899",0,31891
Central African Republic,Ouaka,Ippy,"44,447",4,"6,667","13,334","15,556","8,889",0,24445
Central African Republic,Ouaka,Kouango,"89,151",4,"17,830","26,745","26,745","17,830",0,44575
Central African Republic,Ouham,Batangafo,"78,527",4,"7,852","19,631","35,337","15,705",0,51042
Central African Republic,Ouham,Bossangoa,"148,875",3,"14,887","52,106","66,993","14,887",0,81880
Central African Republic,Ouham,Bouca,"66,747",3,"10,012","16,686","30,036","10,012",0,40048
Central African Republic,Ouham,Kabo,"50,237",4,"5,023","15,071","20,094","10,047",0,30141
Central African Republic,Ouham,Markounda,"22,516",3,"3,377","10,132","6,754","2,251",0,9005
Central African Republic,Ouham,Nana-bakassa,"57,222",3,"11,444","20,027","20,027","5,722",0,25749
Central African Republic,Ouham,Nangha boguila,"27,657",3,"2,765","11,062","9,679","4,148",0,13827
Central African Republic,Ouham Pendé,Bocaranga,"82,969",3,"16,593","33,187","29,039","4,148",0,33187
Central African Republic,Ouham Pendé,Bossemtélé,"22,205",3,"5,551","9,992","5,551","1,110",0,6661
Central African Republic,Ouham Pendé,Bozoum,"53,137",3,"10,627","26,568","13,284","2,656",0,15940
Central African Republic,Ouham Pendé,Koui,"26,512",3,"2,651","7,953","11,930","3,976",0,15906
Central African Republic,Ouham Pendé,Ngaoundaye,"110,481",3,"22,096","49,716","22,096","16,572",0,38668
Central African Republic,Ouham Pendé,Paoua,"196,266",3,"29,439","98,133","58,879","9,813",0,68692
Central African Republic,Sangha-Mbaéré,Bambio,"15,173",3,"3,793","6,069","4,551",758,0,5309
