country,region,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Cote d’Ivoire,Centre Ouest,4103952,NA,0,0,0,0,0,0
Cote d’Ivoire,Centre Est,1266423.967152,NA,0,0,0,0,0,0
Cote d’Ivoire,Nord Ouest,1194701,NA,0,0,0,0,0,0
Cote d’Ivoire,Nord,1692174,1,1404504.42,270747.84,16921.74,0,0,16921.74
Cote d’Ivoire,Nord Est,983569.925952,1,914720.03113536,59014.19555712,9835.69925952,0,0,9835.69925952
Cote d’Ivoire,Centre,953711.823888,NA,0,0,0,0,0,0
Cote d’Ivoire,Centre Nord,1516723,NA,0,0,0,0,0,0
Cote d’Ivoire,Ouest,3765661,2,2937215.58,753132.2,75313.22,0,0,75313.22
Cote d’Ivoire,Sud,1555905,1,1493668.8,62236.2,0,0,0,0
Cote d’Ivoire,Sud Ouest,2400678,NA,0,0,0,0,0,0
