country,region,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Cote d’Ivoire,PAD C,BELIER ,,397183,1,349521,43690,3972,0,0,3972
Cote d’Ivoire,PAD N,PORO,,942103,1,800788,122473,18842,0,0,18842
Cote d’Ivoire,PAD E,INDIENE DJUABLIN ,,637114,1,592516,44598,0,0,0,0
Cote d’Ivoire,PAD S,LA ME ,,551325,1,507219,44106,0,0,0,0
Cote d’Ivoire,PAD N,TCHOLOGO,,595035,1,517680,71404,5950,0,0,5950
Cote d’Ivoire,PAD NO,WORODOUGOU,,292005,1,262805,29201,0,0,0,0
Cote d’Ivoire,PAD NO,KABADOUGOU,,210885,1,183470,25306,2109,0,0,2109
Cote d’Ivoire,PAD N,BAGOUE ,,459894,1,390910,64385,4599,0,0,4599
Cote d’Ivoire,PAD O,GUEMON ,,1087300,1,967697,119603,0,0,0,0
Cote d’Ivoire,PAD CO,HAUT SASSANDRA,,1500932,1,1365848,135084,0,0,0,0
Cote d’Ivoire,PAD CO,MARAHOUE ,,978377,1,900107,78270,0,0,0,0
Cote d’Ivoire,PAS NO,FOLON ,,110101,1,94687,14313,1101,0,0,1101
Cote d’Ivoire,PAD CN,HAMBOL,,505209,1,454688,50521,0,0,0,0
Cote d’Ivoire,,TONKPI,,1122746,2,774695,325596,22455,0,0,22455
Cote d’Ivoire,,GONTOUGO,,713233,1,606248,106985,0,0,0,0
Cote d’Ivoire,,SAN-PEDRO,,867089,1,711013,156076,0,0,0,0
Cote d’Ivoire,,N'ZI,,298857,2,218166,80691,0,0,0,0
Cote d’Ivoire,,SUD-COMOE,,677761,1,589652,88109,0,0,0,0
Cote d’Ivoire,,LÔH-DJIBOUA,,818642,1,704032,114610,0,0,0,0
Cote d’Ivoire,,AGNEBY-TIASSA,,687819,1,619037,68782,0,0,0,0
Cote d’Ivoire,,GÔH,,1051256,1,956643,94613,0,0,0,0
Cote d’Ivoire,,CAVALLY,,482456,2,381140,101316,0,0,0,0
Cote d’Ivoire,,BAFING,,215720,1,183362,32358,0,0,0,0
Cote d’Ivoire,,BERE,,449334,1,372947,76387,0,0,0,0
Cote d’Ivoire,,BOUNKANI,,305550,2,241385,64166,0,0,0,0
Cote d’Ivoire,,GBÔKLE,,420396,1,365745,54651,0,0,0,0
Cote d’Ivoire,,GRANDS-PONTS,,372062,1,334856,37206,0,0,0,0
Cote d’Ivoire,,GBEKE,,1094756,1,1007176,87580,0,0,0,0
Cote d’Ivoire,,IFFOU,,382067,2,282730,99337,0,0,0,0
Cote d’Ivoire,,NAWA,,1104579,1,994121,110458,0,0,0,0
Cote d’Ivoire,,MORONOU,,420995,1,357846,63149,0,0,0,0
