country,region,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Cote d’Ivoire,Nord,1607497,2,1205623,353649.34,48224.91,0,0,48224.91
Cote d’Ivoire,Ouest,2371920,1,1921255.2,403226.4,47438.4,0,0,47438.4
Cote d’Ivoire,Nord Ouest,1134918,1,1021426.2,90793.44,22698.36,0,0,22698.36
Cote d’Ivoire,Nord Est,934352,2,710107.52,186870.4,18687.04,0,0,18687.04
Cote d’Ivoire,Centre,1258604,1,1145329.64,113274.36,0,0,0,0
Cote d’Ivoire,Centre Est,1763484,1,1463691.72,123443.88,0,0,0,0
Cote d’Ivoire,Centre Ouest,3036246,1,2884433.7,151812.3,0,0,0,0
Cote d’Ivoire,Sud Ouest,2280548,1,2052493.2,205249.32,22805.48,0,0,22805.48
Cote d’Ivoire,Sud,1478047,1,1226779.01,221707.05,29560.94,0,0,29560.94
Cote d’Ivoire,Centre Nord,1440826,1,1239110.36,172899.12,28816.52,0,0,28816.52
