country,region,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Cote d’Ivoire,,HAUT-SASSANDRA,,1500932,1,1380857.44,120074.56,0,0,0,0
Cote d’Ivoire,,PORO,,942103,2,706577.25,235525.75,0,0,0,0
Cote d’Ivoire,,GBEKE,,1094756,1,1029070.64,65685.36,0,0,0,0
Cote d’Ivoire,,INDENIE-DJUABLIN,,637114,2,496948.92,140165.08,0,0,0,0
Cote d’Ivoire,,TONKPI,,1122746,2,785922.2,314368.88,22454.92,0,0,22454.92
Cote d’Ivoire,,GONTOUGO,,713233,1,620512.71,92720.29,0,0,0,0
Cote d’Ivoire,,SAN-PEDRO,,867089,2,685000.31,182088.69,0,0,0,0
Cote d’Ivoire,,KABADOUGOU,,210885,1,198231.9,12653.1,0,0,0,0
Cote d’Ivoire,,N'ZI,,298857,2,221154.18,77702.82,0,0,0,0
Cote d’Ivoire,,MARAHOUE,,978377,1,900106.84,78270.16,0,0,0,0
Cote d’Ivoire,,SUD-COMOE,,677761,1,603207.29,74553.71,0,0,0,0
Cote d’Ivoire,,WORODOUGOU,,292005,1,245284.2,46720.8,0,0,0,0
Cote d’Ivoire,,LÔH-DJIBOUA,,818642,1,720404.96,98237.04,0,0,0,0
Cote d’Ivoire,,AGNEBY-TIASSA,,687819,1,639671.67,48147.33,0,0,0,0
Cote d’Ivoire,,GÔH,,1051256,1,967155.52,84100.48,0,0,0,0
Cote d’Ivoire,,CAVALLY,,482456,1,405263.04,77192.96,0,0,0,0
Cote d’Ivoire,,BAFING,,215720,1,187676.4,28043.6,0,0,0,0
Cote d’Ivoire,,BAGOUE,,459894,2,349519.44,110374.56,0,0,0,0
Cote d’Ivoire,,BELIER,,397183,2,297887.25,99295.75,0,0,0,0
Cote d’Ivoire,,BERE,,449334,1,386427.24,62906.76,0,0,0,0
Cote d’Ivoire,,BOUNKANI,,305550,1,250551,54999,0,0,0,0
Cote d’Ivoire,,FOLON,,110101,1,96888.88,13212.12,0,0,0,0
Cote d’Ivoire,,GBÔKLE,,420396,1,374152.44,46243.56,0,0,0,0
Cote d’Ivoire,,GRANDS-PONTS,,372062,1,342297.04,29764.96,0,0,0,0
Cote d’Ivoire,,GUEMON,,1087300,2,771983,293571,21746,0,0,21746
Cote d’Ivoire,,HAMBOL,,505209,1,449636.01,55572.99,0,0,0,0
Cote d’Ivoire,,IFFOU,,382067,2,286550.25,95516.75,0,0,0,0
Cote d’Ivoire,,LA ME,,551325,2,424520.25,126804.75,0,0,0,0
Cote d’Ivoire,,NAWA,,1104579,1,1005166.89,99412.11,0,0,0,0
Cote d’Ivoire,,TCHOLOGO,,595035,1,529581.15,65453.85,0,0,0,0
Cote d’Ivoire,,MORONOU,,420995,1,362055.7,58939.3,0,0,0,0
