country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
CAMEROON,ADAMAOUA,Djérem,183183,1,157537.38,25645.62,0,0,0,0
CAMEROON,ADAMAOUA,Faro-et-Déo,121269,1,107929.41,13339.59,0,0,0,0
CAMEROON,ADAMAOUA,Mayo-Banyo,274252,1,230371.68,43880.32,0,0,0,0
CAMEROON,ADAMAOUA,Mbéré,230830,1,193897.2,32316.2,4616.6,0,0,4616.6
CAMEROON,ADAMAOUA,Vina,466046,1,400799.56,65246.44,0,0,0,0
CAMEROON,EST,Boumba-et-Ngoko,127144,1,104258.08,15257.28,7628.64,0,0,7628.64
CAMEROON,EST,Haut-Nyong,216605,1,188446.35,21660.5,6498.15,0,0,6498.15
CAMEROON,EST,Kadey,202915,1,166390.3,24349.8,12174.9,0,0,12174.9
CAMEROON,EST,Lom-et-Djérem,303972,1,246217.32,33436.92,24317.76,0,0,24317.76
CAMEROON,EXT NORD,Diamaré,880832,1,748707.2,105699.84,26424.96,0,0,26424.96
CAMEROON,EXT NORD,Logone-et-Chari,667930,1,567740.5,80151.6,20037.9,0,0,20037.9
CAMEROON,EXT NORD,Mayo-Danay,725622,2,536960.28,145124.4,43537.32,0,0,43537.32
CAMEROON,EXT NORD,Mayo-Kani,554983,1,482835.21,55498.3,16649.49,0,0,16649.49
CAMEROON,EXT NORD,Mayo-Sava,478513,1,411521.18,52636.43,14355.39,0,0,14355.39
CAMEROON,EXT NORD,Mayo-Tsanaga,960030,2,739223.1,163205.1,57601.8,0,0,57601.8
CAMEROON,NORD,Bénoué,1320233,1,1135400.38,158427.96,26404.66,0,0,26404.66
CAMEROON,NORD,Faro,107665,1,95821.85,9689.85,2153.3,0,0,2153.3
CAMEROON,NORD,Mayo-Louti,506419,1,445648.72,55706.09,5064.19,0,0,5064.19
CAMEROON,NORD,Mayo-Rey,581431,1,494216.35,75586.03,11628.62,0,0,11628.62
CAMEROON,NORD OUEST,BOYO,173675,3,64259.75,60786.25,43418.75,5210.25,0,48629
CAMEROON,NORD OUEST,BUI,447749,3,214919.52,134324.7,89549.8,8954.98,0,98504.78
CAMEROON,NORD OUEST,DONGA-MANTUNG,375382,2,225229.2,112614.6,37538.2,0,0,37538.2
CAMEROON,NORD OUEST,MENCHUM,225284,3,81102.24,78849.4,58573.84,6758.52,0,65332.36
CAMEROON,NORD OUEST,MEZAM,728882,2,524795.04,182220.5,21866.46,0,0,21866.46
CAMEROON,NORD OUEST,MOMO,192875,3,81007.5,57862.5,48218.75,5786.25,0,54005
CAMEROON,NORD OUEST,NGO-KETUNJIA,260537,2,190192.01,52107.4,13026.85,5210.74,0,18237.59
CAMEROON,OUEST,BAMBOUTOS,406642.4297,2,248051.8821,113859.8803,40664.24297,4066.424297,0,44730.66727
CAMEROON,OUEST,HAUT NKAM,201348,1,169132.32,30202.2,2013.48,0,0,2013.48
CAMEROON,OUEST,HAUTS PLATEAUX,112196,1,92000.72,17951.36,2243.92,0,0,2243.92
CAMEROON,OUEST,KOUNG KHI,90422.00138,1,75954.48116,13563.30021,904.2200138,0,0,904.2200138
CAMEROON,OUEST,MENOUA,397400,1,325868,63584,7948,0,0,7948
CAMEROON,OUEST,MIFI,419222,1,352146.48,54498.86,12576.66,0,0,12576.66
CAMEROON,OUEST,NDE,131903,1,106841.43,22423.51,2638.06,0,0,2638.06
CAMEROON,OUEST,NOUN,632865,1,518949.3,101258.4,12657.3,0,0,12657.3
CAMEROON,SUD OUEST,FAKO,648620,3,272420.4,227017,129724,19458.6,0,149182.6
CAMEROON,SUD OUEST,KOUPE-MANENGOUBA,146824,2,96903.84,46983.68,2936.48,0,0,2936.48
CAMEROON,SUD OUEST,LEBIALEM,158168,3,66430.56,55358.8,34796.96,1581.68,0,36378.64
CAMEROON,SUD OUEST,MANYU,251763,2,156093.06,75528.9,20141.04,0,0,20141.04
CAMEROON,SUD OUEST,MEME,454375,3,163575,159031.25,113593.75,18175,0,131768.75
CAMEROON,SUD OUEST,NDIAN,170466,2,105688.92,44321.16,20455.92,0,0,20455.92
