country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
CAMEROON,ADAMAOUA,Djérem,183183,1,164864.7,18318.3,0,0,0,0
CAMEROON,ADAMAOUA,Faro-et-Déo,121269,1,111567.48,9701.52,0,0,0,0
CAMEROON,ADAMAOUA,Mayo-Banyo,274252,1,238599.24,35652.76,0,0,0,0
CAMEROON,ADAMAOUA,Mbéré,230830,1,205438.7,25391.3,0,0,0,0
CAMEROON,ADAMAOUA,Vina,466046,1,410120.48,55925.52,0,0,0,0
CAMEROON,EST,Boumba-et-Ngoko,127144,1,113158.16,8900.08,5085.76,0,0,5085.76
CAMEROON,EST,Haut-Nyong,216605,1,201442.65,10830.25,4332.1,0,0,4332.1
CAMEROON,EST,Kadey,202915,1,174506.9,20291.5,8116.6,0,0,8116.6
CAMEROON,EST,Lom-et-Djérem,303972,1,261415.92,27357.48,15198.6,0,0,15198.6
CAMEROON,EXT NORD,Diamaré,880832,2,598965.76,237824.64,44041.6,0,0,44041.6
CAMEROON,EXT NORD,Logone-et-Chari,667930,2,394078.7,200379,73472.3,0,0,73472.3
CAMEROON,EXT NORD,Mayo-Danay,725622,2,478910.52,181405.5,65305.98,0,0,65305.98
CAMEROON,EXT NORD,Mayo-Kani,554983,1,455086.06,72147.79,27749.15,0,0,27749.15
CAMEROON,EXT NORD,Mayo-Sava,478513,2,354099.62,95702.6,28710.78,0,0,28710.78
CAMEROON,EXT NORD,Mayo-Tsanaga,960030,2,662420.7,220806.9,76802.4,0,0,76802.4
CAMEROON,NORD,Bénoué,1320233,1,1082591.06,184832.62,52809.32,0,0,52809.32
CAMEROON,NORD,Faro,107665,1,89361.95,15073.1,3229.95,0,0,3229.95
CAMEROON,NORD,Mayo-Louti,506419,1,425391.96,65834.47,15192.57,0,0,15192.57
CAMEROON,NORD,Mayo-Rey,581431,1,482587.73,81400.34,17442.93,0,0,17442.93
CAMEROON,NORD OUEST,BOYO,173675,3,85100.75,52102.5,31261.5,5210.25,0,36471.75
CAMEROON,NORD OUEST,BUI,447749,3,246261.95,111937.25,80594.82,8954.98,0,89549.8
CAMEROON,NORD OUEST,DONGA-MANTUNG,375382,2,217721.56,131383.7,26276.74,0,0,26276.74
CAMEROON,NORD OUEST,MENCHUM,225284,3,85607.92,85607.92,51815.32,2252.84,0,54068.16
CAMEROON,NORD OUEST,MEZAM,728882,2,568527.96,145776.4,14577.64,0,0,14577.64
CAMEROON,NORD OUEST,MOMO,192875,3,92580,52076.25,42432.5,5786.25,0,48218.75
CAMEROON,NORD OUEST,NGO-KETUNJIA,260537,2,205824.23,46896.66,7816.11,0,0,7816.11
CAMEROON,OUEST,BAMBOUTOS,406642.4297,2,292782.5494,89461.33454,24398.54578,0,0,24398.54578
CAMEROON,OUEST,HAUT NKAM,201348,1,183226.68,16107.84,2013.48,0,0,2013.48
CAMEROON,OUEST,HAUTS PLATEAUX,112196,1,95366.6,15707.44,1121.96,0,0,1121.96
CAMEROON,OUEST,KOUNG KHI,90422.00138,1,79571.36121,10850.64017,0,0,0,0
CAMEROON,OUEST,MENOUA,397400,1,353686,39740,3974,0,0,3974
CAMEROON,OUEST,MIFI,419222,1,343762.04,67075.52,8384.44,0,0,8384.44
CAMEROON,OUEST,NDE,131903,1,109479.49,21104.48,1319.03,0,0,1319.03
CAMEROON,OUEST,NOUN,632865,1,537935.25,88601.1,6328.65,0,0,6328.65
CAMEROON,SUD OUEST,FAKO,648620,3,311337.6,194586,129724,12972.4,0,142696.4
CAMEROON,SUD OUEST,KOUPE-MANENGOUBA,146824,2,80753.2,58729.6,7341.2,0,0,7341.2
CAMEROON,SUD OUEST,LEBIALEM,158168,3,52195.44,63267.2,39542,3163.36,0,42705.36
CAMEROON,SUD OUEST,MANYU,251763,2,115810.98,110775.72,25176.3,0,0,25176.3
CAMEROON,SUD OUEST,MEME,454375,3,218100,136312.5,90875,9087.5,0,99962.5
CAMEROON,SUD OUEST,NDIAN,170466,2,119326.2,37502.52,13637.28,0,0,13637.28
