country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
CAMEROON,Extrême-Nord,Diamare,"903,485",2,560160.7,334289.45,9034.85,0,0,9034.85
CAMEROON,Extrême-Nord,Logone et Chari,"685,107",2,431617.4425,171276.7629,68510.70516,13702.14103,0,82212.84619
CAMEROON,Extrême-Nord,Mayo Danay,"744,283",1,632640.2597,104199.5722,7442.826585,0,0,7442.826585
CAMEROON,Extrême-Nord,Mayo Kani,"569,256",2,387094.08,170776.8,11385.12,0,0,11385.12
CAMEROON,Extrême-Nord,Mayo-Sava,"490,818",2,245409,171786.3,68714.52,4908.18,0,73622.7
CAMEROON,Extrême-Nord,Mayo-Tsanaga,"984,719",1,797622.39,137860.66,49235.95,0,0,49235.95
CAMEROON,ADAMAOUA,DJEREM,"189,068",1,160707.6201,22688.1346,5672.03365,0,0,5672.03365
CAMEROON,ADAMAOUA,FARO ET DEO,"125,165",1,108893.55,13768.15,2503.3,0,0,2503.3
CAMEROON,ADAMAOUA,MAYO BANYO,"283,063",1,237772.9144,42459.449,2830.629933,0,0,2830.629933
CAMEROON,ADAMAOUA,MBERE,"259,766",2,194824.6504,57148.56411,7792.986015,0,0,7792.986015
CAMEROON,ADAMAOUA,VINA,"481,019",1,423296.8544,52912.1068,4810.191527,0,0,4810.191527
CAMEROON,EST,LOM ET DJEREM,"313,738",1,257265.2239,47060.71169,9412.142337,0,0,9412.142337
CAMEROON,EST,KADEY,"209,434",1,175924.5795,31415.10349,2094.340233,0,0,2094.340233
CAMEROON,EST,BOUMBA ET NGOKO,"131,229",1,112857.201,17059.80946,1312.293035,0,0,1312.293035
CAMEROON,EST,HAUT-NYONG,"223,564",1,187794.1229,33534.66481,2235.644321,0,0,2235.644321
CAMEROON,OUEST,HAUT-NKAM,"207,807",2,160011.39,43639.47,4156.14,0,0,4156.14
CAMEROON,OUEST,MIFI,"432,691",2,341825.89,82211.29,8653.82,0,0,8653.82
CAMEROON,OUEST,BAMBOUTOS,"419,707",2,318977.32,79744.33,20985.35,0,0,20985.35
CAMEROON,OUEST,KOUNG-KHI,"93,327",2,67195.44,21465.21,4666.35,0,0,4666.35
CAMEROON,OUEST,HAUTS PLTX,"115,800",2,89166,25476,1158,0,0,1158
CAMEROON,OUEST,NOUN,"653,117",1,529024.77,104498.72,19593.51,0,0,19593.51
CAMEROON,OUEST,MENOUA,"410,168",2,278914.24,114847.04,16406.72,0,0,16406.72
CAMEROON,OUEST,NDE,"136,140",2,100743.6,31312.2,4084.2,0,0,4084.2
CAMEROON,NORD,BENOUE,"1,362,649",1,1144625.16,204397.35,13626.49,0,0,13626.49
CAMEROON,NORD,MAYO REY,"600,110",1,498091.3,84015.4,18003.3,0,0,18003.3
CAMEROON,NORD,FARO,"111,124",1,91121.68,15557.36,4444.96,0,0,4444.96
CAMEROON,NORD,MAYO LOUTI,"625,901",1,525756.84,87626.14,12518.02,0,0,12518.02
CAMEROON,Nord Ouest,Boyo,"179,255",2,55569.05,89627.5,30473.35,3585.1,0,34058.45
CAMEROON,Nord Ouest,BUI,"462,134",3,207960.3,129397.52,106290.82,18485.36,0,124776.18
CAMEROON,Nord Ouest,Donga/Mantung,"387,422",2,139471.92,174339.9,61987.52,11622.66,0,73610.18
CAMEROON,Nord Ouest,Menchum,"232,522",3,74407.04,81382.7,69756.6,6975.66,0,76732.26
CAMEROON,Nord Ouest,Mezam division ,"752,299",2,315965.58,338534.55,75229.9,22568.97,0,97798.87
CAMEROON,Nord Ouest,Momo Division,"199,071",3,83609.82,59721.3,49767.75,5972.13,0,55739.88
CAMEROON,Nord Ouest,NGOKETUNJIA,"268,907",3,96806.52,94117.45,72604.89,5378.14,0,77983.03
CAMEROON,South West,Kupe Muanenguba,"151,541",3,59101.14539,53039.48945,31823.69367,7577.069921,0,39400.76359
CAMEROON,South West,FAKO,"669,458",2,441842.28,153975.34,60251.22,13389.16,0,73640.38
CAMEROON,South West,MEME,"457,215",3,187458.15,132592.35,114303.75,22860.75,0,137164.5
CAMEROON,South West,Manyu,"259,852",3,103940.758,77955.56852,64962.97377,12992.59475,0,77955.56852
CAMEROON,South West,LEBIALEM ,"163,249",3,27752.33,81624.5,39179.76,14692.41,0,53872.17
CAMEROON,South West,Ndian,"175,942",3,51023.18,79173.9,38707.24,7037.68,0,45744.92
