country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
CAMEROON,Extrême-Nord,Diamare,"903,485",2,533056.15,361394,9034.85,0,0,9034.85
CAMEROON,Extrême-Nord,Logone et Chari,"685,107",2,287744.9617,274042.8206,102766.0577,20553.21155,0,123319.2693
CAMEROON,Extrême-Nord,Mayo Danay,"744,283",2,576819.0603,156299.3583,11164.23988,0,0,11164.23988
CAMEROON,Extrême-Nord,Mayo Kani,"569,256",2,347246.16,204932.16,17077.68,0,0,17077.68
CAMEROON,Extrême-Nord,Mayo-Sava,"490,818",2,229212.006,176694.48,78530.88,6380.634,0,84911.514
CAMEROON,Extrême-Nord,Mayo-Tsanaga,"984,719",2,551442.64,354498.84,78777.52,0,0,78777.52
CAMEROON,ADAMAOUA,DJEREM,"189,068",1,168270.3316,18906.77883,1890.677883,0,0,1890.677883
CAMEROON,ADAMAOUA,FARO ET DEO,"125,165",1,116403.45,7509.9,1251.65,0,0,1251.65
CAMEROON,ADAMAOUA,MAYO BANYO,"283,063",1,251926.0641,28306.29933,2830.629933,0,0,2830.629933
CAMEROON,ADAMAOUA,MBERE,"259,766",2,205215.2984,46757.91609,7792.986015,0,0,7792.986015
CAMEROON,ADAMAOUA,VINA,"481,019",1,432917.2374,43291.72374,4810.191527,0,0,4810.191527
CAMEROON,EST,LOM ET DJEREM,"313,738",1,269814.747,37648.56935,6274.761558,0,0,6274.761558
CAMEROON,EST,KADEY,"209,434",1,190584.9612,18849.06209,0,0,0,0
CAMEROON,EST,BOUMBA ET NGOKO,"131,229",1,116794.0801,13122.93035,1312.293035,0,0,1312.293035
CAMEROON,EST,HAUT-NYONG,"223,564",1,203443.6332,20120.79889,0,0,0,0
CAMEROON,OUEST,HAUT-NKAM,"207,807",1,180792.09,24936.84,2078.07,0,0,2078.07
CAMEROON,OUEST,MIFI,"432,691",1,385094.99,43269.1,4326.91,0,0,4326.91
CAMEROON,OUEST,BAMBOUTOS,"419,707",1,356750.95,54561.91,8394.14,0,0,8394.14
CAMEROON,OUEST,KOUNG-KHI,"93,327",1,75594.87,16798.86,933.27,0,0,933.27
CAMEROON,OUEST,HAUTS PLTX,"115,800",1,97272,17370,1158,0,0,1158
CAMEROON,OUEST,NOUN,"653,117",1,555149.45,84905.21,13062.34,0,0,13062.34
CAMEROON,OUEST,MENOUA,"410,168",1,336337.76,65626.88,8203.36,0,0,8203.36
CAMEROON,OUEST,NDE,"136,140",1,114357.6,20421,1361.4,0,0,1361.4
CAMEROON,NORD,BENOUE,"1,362,649",1,1103745.69,231650.33,27252.98,0,0,27252.98
CAMEROON,NORD,MAYO REY,"600,110",1,486089.1,96017.6,18003.3,0,0,18003.3
CAMEROON,NORD,FARO,"111,124",2,74453.08,31114.72,5556.2,0,0,5556.2
CAMEROON,NORD,MAYO LOUTI,"625,901",1,506979.81,100144.16,18777.03,0,0,18777.03
CAMEROON,Nord Ouest,Boyo,"179,255",2,71702,80664.75,25095.7,1792.55,0,26888.25
CAMEROON,Nord Ouest,BUI,"462,134",2,226445.66,157125.56,69320.1,9242.68,0,78562.78
CAMEROON,Nord Ouest,Donga/Mantung,"387,422",2,185962.56,154968.8,38742.2,7748.44,0,46490.64
CAMEROON,Nord Ouest,Menchum,"232,522",3,76732.26,104634.9,46504.4,4650.44,0,51154.84
CAMEROON,Nord Ouest,Mezam division ,"752,299",2,376149.5,308442.59,60183.92,7522.99,0,67706.91
CAMEROON,Nord Ouest,Momo Division,"199,071",3,83609.82,69674.85,41804.91,3981.42,0,45786.33
CAMEROON,Nord Ouest,NGOKETUNJIA,"268,907",3,102184.66,110251.87,53781.4,2689.07,0,56470.47
CAMEROON,South West,Kupe Muanenguba,"151,541",2,87894.01109,40916.17758,18184.96781,4546.241953,0,22731.20976
CAMEROON,South West,FAKO,"669,458",2,502093.5,120502.44,40167.48,6694.58,0,46862.06
CAMEROON,South West,MEME,"457,215",2,265184.7,109731.6,68582.25,13716.45,0,82298.7
CAMEROON,South West,Manyu,"259,852",3,109137.7959,90948.16328,51970.37901,7795.556852,0,59765.93587
CAMEROON,South West,LEBIALEM ,"163,249",2,63667.11,68564.58,24487.35,6529.96,0,31017.31
CAMEROON,South West,Ndian,"175,942",2,59820.28,86211.58,26391.3,3518.84,0,29910.14
