country,region,adm1,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Cabo Verde,Santiago,Praia ,155251.590508944,1,133516.367837692,20182.7067661627,1552.51590508944,0,0,1552.51590508944
Cabo Verde,Santiago,Ribeira GST,8436.64693899043,1,6918.05048997215,1349.86351023847,168.732938779809,0,0,168.732938779809
Cabo Verde,Santiago,S: Cruz,26277.0846646838,1,22861.0636582749,3153.25015976206,262.770846646838,0,0,262.770846646838
Cabo Verde,Santiago,S. L. Orgãos,7078.57774114241,1,5946.00530255963,1061.78666117136,70.7857774114241,0,0,70.7857774114241
Cabo Verde,Santiago,S. S. Mundo,8641.87078682504,1,7345.59016880128,1209.86191015551,86.4187078682504,0,0,86.4187078682504
Cabo Verde,Santiago,S. Domingos,14070.251730203,1,11959.7139706725,1829.13272492639,281.405034604059,0,0,281.405034604059
Cabo Verde,Boa Vista,B. Vista,15533.8128436422,1,12893.064660223,2330.07192654633,310.676256872844,0,0,310.676256872844
Cabo Verde,S. Antao ,Ribeira Grande,16674,1,13505.94,2501.1,666.96,0,0,666.96
Cabo Verde,S. Antao ,Porto Novo ,17308,2,11769.44,3980.84,1557.72,0,0,1557.72
Cabo Verde,S. Antao ,Paul,5940,1,4811.4,891,237.6,0,0,237.6
Cabo Verde,S. Nicolau,Ribeira Brava,7108,1,5828.56,1066.2,213.24,0,0,213.24
Cabo Verde,S. Nicolau,Tarrafal,5233,1,4238.73,784.95,209.32,0,0,209.32
Cabo Verde,S. Vicente ,S. Vicente,81863,1,66309.03,13098.08,2455.89,0,0,2455.89
Cabo Verde,Sal,Sal,35268,1,28567.08,5995.56,705.36,0,0,705.36
Cabo Verde,Santiago,Tarrafal,18264,1,14976.48,2922.24,365.28,0,0,365.28
Cabo Verde,SANTIAGO,Santa Catarina,45516,1,40054.08,5006.76,455.16,0,0,455.16
Cabo Verde,SANTIAGO,São Miguel,14482,1,12309.7,1882.66,289.64,0,0,289.64
Cabo Verde,FOGO,São Filipe,21018,1,17655.12,2942.52,420.36,0,0,420.36
Cabo Verde,FOGO,Mosteiros,9336,1,8122.32,1120.32,93.36,0,0,93.36
Cabo Verde,FOGO,Santa Catarina,5267,1,4266.27,842.72,158.01,0,0,158.01
Cabo Verde,MAIO,Maio,7034,2,5345.84,1477.14,211.02,0,0,211.02
Cabo Verde,BRAVA,Brava,5638,1,4848.68,732.94,56.38,0,0,56.38
