country,region,adm1,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Cabo Verde,SANTIAGO,Praia,162814,1,131879.34,30934.66,0,0,0,0
Cabo Verde,SANTIAGO,Rª Grande ,8488,2,5771.84,2122,594.16,0,0,594.16
Cabo Verde,SANTIAGO,São Domingos,14135,2,10459.9,2968.35,706.75,0,0,706.75
Cabo Verde,SANTIAGO,S. L. Órgãos,6990,2,5172.6,1607.7,209.7,0,0,209.7
Cabo Verde,SANTIAGO,Sta Cruz,26100,2,16965,7047,2088,0,0,2088
Cabo Verde,SANTIAGO,S. S. Mundo,8620,2,6206.4,2068.8,344.8,0,0,344.8
Cabo Verde,SANTIAGO,TARRAFAL ST,18217.1389137885,2,13845.0255744793,3825.59917189559,546.514167413656,0,0,546.514167413656
Cabo Verde,SANTIAGO,SANTA CATARINA,46337,2,34289.38,10194.14,1853.48,0,0,1853.48
Cabo Verde,SANTIAGO,SÃO MIGUEL,14121,2,9884.7,3247.83,988.47,0,0,988.47
Cabo Verde,BOA VISTA,Boa Vista,17708,2,13989.32,3541.6,177.08,0,0,177.08
Cabo Verde,S. ANTAO ,RIBEIRA GRANDE,16034,1,12987.54,2725.78,320.68,0,0,320.68
Cabo Verde,S. ANTAO ,PORTO NOVO,17068,3,6997.88,6144.48,3754.96,170.68,0,3925.64
Cabo Verde,S. ANTAO ,PAUL,5648,1,4574.88,1016.64,56.48,0,0,56.48
Cabo Verde,S. NICOLAU,RIBEIRA BRAVA,6965,1,5641.65,1114.4,208.95,0,0,208.95
Cabo Verde,S. NICOLAU,TARRAFAL SN,5217,2,2817.18,1669.44,730.38,0,0,730.38
Cabo Verde,SÃO  VICENTE ,SÃO VICENTE,83468,1,67609.08,11685.52,4173.4,0,0,4173.4
Cabo Verde,SAL,SAL,38246,1,31744.18,5354.44,1147.38,0,0,1147.38
Cabo Verde,FOGO,SÃO FILIPE,20688,2,14688.48,4758.24,1241.28,0,0,1241.28
Cabo Verde,FOGO,MOSTEIROS,9286,1,7614.52,1392.9,278.58,0,0,278.58
Cabo Verde,FOGO,SANTA CATARINA,5240,2,3772.8,1100.4,366.8,0,0,366.8
Cabo Verde,MAIO,MAIO,7215,2,5050.5,1587.3,577.2,0,0,577.2
Cabo Verde,BRAVA,BRAVA,5521,2,3919.91,1325.04,276.05,0,0,276.05
