country,region,adm1,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Cabo Verde,Santiago,Praia ,151436,1,137806.76,12114.88,1514.36,0,0,1514.36
Cabo Verde,Santiago,Ribeira GST,8415,1,7152.75,1009.8,252.45,0,0,252.45
Cabo Verde,Santiago,S: Cruz,26360,1,23724,2108.8,527.2,0,0,527.2
Cabo Verde,Santiago,S. L. Orgãos,7127,1,6414.3,641.43,71.27,0,0,71.27
Cabo Verde,Santiago,S. S. Mundo,8652,1,7613.76,865.2,173.04,0,0,173.04
Cabo Verde,Santiago,Tarrafal,18314,1,15750.04,2380.82,183.14,0,0,183.14
Cabo Verde,Santiago,S. Domingos,14037,1,12352.56,1403.7,280.74,0,0,280.74
Cabo Verde,Boa Vista,B. Vista,14451,1,11849.82,2167.65,433.53,0,0,433.53
Cabo Verde,S. Antao ,Ribeira Grande,17017,1,14464.45,2552.55,0,0,0,0
Cabo Verde,S. Antao ,Porto Novo ,17431,1,14467.73,2963.27,0,348.62,0,348.62
Cabo Verde,S. Antao ,Paul,6099,1,5184.15,914.85,0,0,0,0
Cabo Verde,S. Nicolau,Ribeira Brava,7182,1,5961.06,1220.94,0,0,0,0
Cabo Verde,S. Nicolau,Tarrafal,5242,1,4246.02,891.14,104.84,0,0,104.84
Cabo Verde,S. Vicente ,S. Vicente,81014,1,71292.32,9721.68,0,0,0,0
Cabo Verde,Sal,Sal,33747,1,29359.89,4387.11,0,0,0,0
Cabo Verde,SANTIAGO,Santa Catarina,45122.866885431,1,39256.894190325,5414.74402625172,451.22866885431,0,0,451.22866885431
Cabo Verde,SANTIAGO,São Miguel,14670.728426969,1,12470.1191629236,2053.90197977566,146.70728426969,0,0,146.70728426969
Cabo Verde,FOGO,São Filipe,21194.3220085925,1,17379.3440470459,3391.0915213748,423.88644017185,0,0,423.88644017185
Cabo Verde,FOGO,Mosteiros,9363.66955116244,1,8052.7558139997,1217.27704165112,93.6366955116244,0,0,93.6366955116244
Cabo Verde,FOGO,Santa Catarina,5279.25068655721,2,4012.23052178348,1003.05763044587,263.962534327861,0,0,263.962534327861
Cabo Verde,MAIO,Maio,6980,1,5584,1256.4,139.6,0,0,139.6
Cabo Verde,BRAVA,Brava,5698,1,4843.3,797.72,56.98,0,0,56.98
