country,region,adm1,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Cabo Verde,S. ANTAO ,RIBEIRA GRANDE,15734,1,13216.56,2202.76,314.68,0,0,314.68
Cabo Verde,S. ANTAO ,PORTO NOVO,16949,2,12203.28,4067.76,677.96,0,0,677.96
Cabo Verde,S. ANTAO ,PAUL,5512,1,4630.08,771.68,110.24,0,0,110.24
Cabo Verde,SÃO  VICENTE ,SÃO VICENTE,84229,1,72436.94,10107.48,1684.58,0,0,1684.58
Cabo Verde,S. NICOLAU,RIBEIRA BRAVA,6900,1,5865,897,138,0,0,138
Cabo Verde,S. NICOLAU,TARRAFAL SN,5207,1,4321.81,781.05,104.14,0,0,104.14
Cabo Verde,SAL,SAL,39696,0,0,0,0,0,0,0
Cabo Verde,Boa Vista,Boa Vista,18795,1,16163.7,2255.4,375.9,0,0,375.9
Cabo Verde,MAIO,MAIO,7351,1,5954.31,1249.67,147.02,0,0,147.02
Cabo Verde,SANTIAGO,Praia,166545,1,146559.6,16654.5,3330.9,0,0,3330.9
Cabo Verde,SANTIAGO,Rª Gde Santiago,8520,0,0,0,0,0,0,0
Cabo Verde,SANTIAGO,São Domingos,14167,1,11475.27,2408.39,283.34,0,0,283.34
Cabo Verde,SANTIAGO,São L. Órgãos,6950,0,0,0,0,0,0,0
Cabo Verde,SANTIAGO,Sta. Cruz,26100,1,21402,3915,783,0,0,783
Cabo Verde,SANTIAGO,São S. Mundo,8608,0,0,0,0,0,0,0
Cabo Verde,SANTIAGO,SANTA CATARINA,46337,1,38459.71,6950.55,926.74,0,0,926.74
Cabo Verde,SANTIAGO,SÃO MIGUEL,13948,1,11576.84,2092.2,278.96,0,0,278.96
Cabo Verde,SANTIAGO,TARRAFAL ST,18128,1,14864.96,2900.48,362.56,0,0,362.56
Cabo Verde,FOGO,SÃO FILIPE,20526,1,17241.84,3078.9,205.26,0,0,205.26
Cabo Verde,FOGO,MOSTEIROS,9265,1,7875.25,1297.1,92.65,0,0,92.65
Cabo Verde,FOGO,SANTA CATARINA,5224,0,0,0,0,0,0,0
Cabo Verde,BRAVA,BRAVA,5462,1,4588.08,819.3,54.62,0,0,54.62
