country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Ghana,Northern,NA,2100591,2,1960552,560158,252071,28008,0,280079
Ghana,Upper East,NA,931577,2,884998,221249,58224,0,0,58224
Ghana,Upper West,NA,659875,2,636585,116448,23290,0,0,23290
Ghana,Brong Ahafo,NA,2345590,2,2397714,182435,26062,0,0,26062
Ghana,Ashanti,NA,4871951,2,4924907,317736,52956,0,0,52956
Ghana,Western,NA,2686611,2,2686611,141401,0,0,0,0
Ghana,Central Region,NA,1839871,2,2212503,116448,0,0,0,0
Ghana,Greater Accra,NA,3389455,2,4067346,451927,0,0,0,0
Ghana,Volta Region,NA,2265185,2,2265185,119220,0,0,0,0
Ghana,Eastern,NA,2818311,2,2907310,59333,0,0,0,0
