country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Ghana,Central,NA,2558468,1,2404960,127923,25585,0,0,25585
Ghana,Eastern,NA,3038756,1,2947593,91163,0,0,0,0
Ghana,Greater Acra,NA,4664044,1,3684595,886168,93281,0,0,93281
Ghana,Volta,NA,2454126,1,2331420,122706,0,0,0,0
Ghana,Western,NA,2736638,1,2654539,82099,0,0,0,0
Ghana,Ashanti,NA,5549184,1,5327217,221967,0,0,0,0
Ghana,Brong Ahafo,NA,2672188,1,2618744,53444,0,0,0,0
Ghana,Northern,NA,2886636,1,2742304,115465,28866,0,0,28866
Ghana,Upper East,NA,1179094,1,1061185,106118,11791,0,0,11791
Ghana,Upper West,NA,806289,1,774037,32252,0,0,0,0
