country,adm1,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Ghana,Central,2492593,1,2193481.84,299111.16,0,0,0,0
Ghana,Eastern,3175086,1,2889328.26,285757.74,0,0,0,0
Ghana,Greater Accra,4836805,1,4208020.35,580416.6,48368.05,0,0,48368.05
Ghana,Volta,2551937,1,2271223.93,280713.07,0,0,0,0
Ghana,Western,3026715,1,2633242.05,393472.95,0,0,0,0
Ghana,Ashanti,5667680,1,5270942.4,396737.6,0,0,0,0
Ghana,Brong Ahafo,2789332,1,2566185.44,223146.56,0,0,0,0
Ghana,Northern,2997041,1,2547484.85,419585.74,29970.41,0,0,29970.41
Ghana,Upper East,1246288,1,1046881.92,186943.2,12462.88,0,0,12462.88
Ghana,Upper West,830860,1,722848.2,99703.2,8308.6,0,0,8308.6
