country,adm1,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Ghana,Central,2492593,1,2143629.98,324037.09,24925.93,0,0,24925.93
Ghana,Eastern,3175086,1,2857577.4,317508.6,0,0,0,0
Ghana,Greater Accra,4836805,1,4062916.2,725520.75,48368.05,0,0,48368.05
Ghana,Volta,2551937,1,2220185.19,331751.81,0,0,0,0
Ghana,Western,3026715,1,2542440.6,484274.4,0,0,0,0
Ghana,Ashanti,5667680,1,5157588.8,510091.2,0,0,0,0
Ghana,Brong Ahafo,2789332,1,2510398.8,278933.2,0,0,0,0
Ghana,Northern,2997041,1,2457573.62,479526.56,59940.82,0,0,59940.82
Ghana,Upper East,1246288,1,1021956.16,199406.08,24925.76,0,0,24925.76
Ghana,Upper West,830860,1,689613.8,124629,16617.2,0,0,16617.2
