country,adm1,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Ghana,Central,"2,563,228",1,"2,101,847","435,749","25,632",0,0,"25,632"
Ghana,Eastern,"3,318,853",1,"3,119,722","199,131",0,0,0,0
Ghana,Volta,"2,667,478",1,"2,614,128","53,350",0,0,0,0
Ghana,Weastern,"5,924,298",1,"5,865,055","59,243",0,0,0,0
Ghana,Ashanti,"5,924,298",1,"5,331,868","592,430",0,0,0,0
Ghana,Brong Ahafo,"2,850,607",1,"2,708,077","142,530",0,0,0,0
Ghana,Northern,"3,132,743",1,"2,725,486","375,929","31,327",0,0,"31,327"
Ghana,Upper East,"868,479",1,"799,001","60,794","8,685",0,0,"8,685"
Ghana,Upper West,"1,302,718",1,"1,172,446","130,272",0,0,0,0
Ghana,Greater Accra,0,0,0,0,0,0,0,0
