country,adm1,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Ghana,Central,"2,563,228",1,"2,178,744","384,484",0,0,0,0
Ghana,Eastern,"3,318,853",1,"3,219,287","99,566",0,0,0,0
Ghana,Volta,"2,667,478",1,"2,614,128","53,350",0,0,0,0
Ghana,Weastern,"5,924,298",1,"5,865,055","59,243",0,0,0,0
Ghana,Ashanti,"5,924,298",1,"5,391,111","533,187",0,0,0,0
Ghana,Brong Ahafo,"2,850,607",1,"2,708,077","142,530",0,0,0,0
Ghana,Northern,"3,132,743",1,"2,756,814","375,929",0,0,0,0
Ghana,Upper East,"868,479",1,"807,685","52,109","8,685",0,0,"8,685"
Ghana,Upper West,"1,302,718",1,"1,185,473","104,217","13,027",0,0,"13,027"
Ghana,Greater Accra,0,0,0,0,0,0,0,0
