country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Guinea,Boke,Boffa,212583,1,174318.06,38264.94,0,0,0,0
Guinea,Boke,Boke,450278,2,333205.72,112569.5,4502.78,0,0,4502.78
Guinea,Boke,Fria,96700,1,78327,18373,0,0,0,0
Guinea,Boke,Gaoual,193612,1,160697.96,32914.04,0,0,0,0
Guinea,Boke,Koundara,129974,1,110477.9,19496.1,0,0,0,0
Guinea,Conakry,Conakry,NA,NA,NA,NA,NA,NA,NA,0
Guinea,Faranah,Dabola,181137,1,170268.78,10868.22,0,0,0,0
Guinea,Faranah,Dinguiraye,196469,1,176822.1,19646.9,0,0,0,0
Guinea,Faranah,Faranah,280170,1,268963.2,11206.8,0,0,0,0
Guinea,Faranah,Kissidougou,283170,1,277506.6,5663.4,0,0,0,0
Guinea,Kankan,Kankan,473359,1,449691.05,23667.95,0,0,0,0
Guinea,Kankan,Kerouane,207547,1,186792.3,20754.7,0,0,0,0
Guinea,Kankan,Kouroussa,268630,1,260571.1,8058.9,0,0,0,0
Guinea,Kankan,Mandiana,335999,1,295679.12,40319.88,0,0,0,0
Guinea,Kankan,Siguiri,687002,2,494641.44,164880.48,27480.08,0,0,27480.08
Guinea,Kindia,Coyah,263861,2,192618.53,65965.25,5277.22,0,0,5277.22
Guinea,Kindia,Dubreka,330548,2,231383.6,92553.44,6610.96,0,0,6610.96
Guinea,Kindia,Forecariah,242942,2,165200.56,72882.6,4858.84,0,0,4858.84
Guinea,Kindia,Kindia,439614,2,325314.36,109903.5,4396.14,0,0,4396.14
Guinea,Kindia,Telimele,284409,1,255968.1,28440.9,0,0,0,0
Guinea,Labe,Koubia,100170,1,98166.6,2003.4,0,0,0,0
Guinea,Labe,Labe,318938,2,248771.64,66976.98,3189.38,0,0,3189.38
Guinea,Labe,Lelouma,163069,1,154915.55,8153.45,0,0,0,0
Guinea,Labe,Mali,288001,1,270720.94,17280.06,0,0,0,0
Guinea,Labe,Tougue,124280,1,119308.8,4971.2,0,0,0,0
Guinea,Mamou,Dalaba,133677,1,128329.92,5347.08,0,0,0,0
Guinea,Mamou,Mamou,318981,1,287082.9,31898.1,0,0,0,0
Guinea,Mamou,Pita,278530,1,261818.2,16711.8,0,0,0,0
Guinea,Nzerekore,Beyla,326082,2,238039.86,81520.5,6521.64,0,0,6521.64
Guinea,Nzerekore,Gueckedou,290611,2,203427.7,78464.97,8718.33,0,0,8718.33
Guinea,Nzerekore,Lola,171561,1,150973.68,18871.71,1715.61,0,0,1715.61
Guinea,Nzerekore,Macenta,278456,2,194919.2,75183.12,8353.68,0,0,8353.68
Guinea,Nzerekore,Nzerekore,396949,2,269925.32,119084.7,7938.98,0,0,7938.98
Guinea,Nzerekore,Yomou,114371,1,102933.9,10293.39,1143.71,0,0,1143.71
