country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Guinea,Boke,Boffa,224654.313072,2,168490.734804,53917.03513728,2246.54313072,0,0,2246.54313072
Guinea,Boke,Boke,475846.585952,2,352126.47360448,114203.18062848,9516.93171904,0,0,9516.93171904
Guinea,Boke,Fria,102191.0128,2,73577.529216,25547.7532,3065.730384,0,0,3065.730384
Guinea,Boke,Gaoual,204606.063808,1,180053.33615104,24552.72765696,0,0,0,0
Guinea,Boke,Koundara,137354.443616,1,123618.9992544,13735.4443616,0,0,0,0
Guinea,Conakry,Conakry,NA,NA,NA,NA,NA,NA,NA,NA
Guinea,Faranah,Dabola,191423,2,128253.41,53598.44,9571.15,0,0,9571.15
Guinea,Faranah,Dinguiraye,207625,2,166100,37372.5,4152.5,0,0,4152.5
Guinea,Faranah,Faranah,296079,1,251667.15,44411.85,0,0,0,0
Guinea,Faranah,Kissidougou,299892,1,260906.04,38985.96,0,0,0,0
Guinea,Kankan,Kankan,500238.217456,2,360171.51656832,125059.554364,15007.14652368,0,0,15007.14652368
Guinea,Kankan,Kerouane,219332.348848,2,149145.99721664,59219.73418896,10966.6174424,0,0,10966.6174424
Guinea,Kankan,Kouroussa,283883.88592,2,190202.2035664,79487.4880576,14194.194296,0,0,14194.194296
Guinea,Kankan,Mandiana,355078.367216,2,223699.37134608,106523.5101648,24855.48570512,0,0,24855.48570512
Guinea,Kankan,Siguiri,726012.721568,2,428347.50572512,239584.19811744,58081.01772544,0,0,58081.01772544
Guinea,Kindia,Coyah,278844.083024,2,206344.62143776,66922.57992576,5576.88166048,0,0,5576.88166048
Guinea,Kindia,Dubreka,349317.837632,2,261988.378224,80343.10265536,6986.35675264,0,0,6986.35675264
Guinea,Kindia,Forecariah,256737.218528,1,223361.38011936,28241.09403808,5134.74437056,0,0,5134.74437056
Guinea,Kindia,Kindia,464577.041376,1,413473.56682464,46457.7041376,4645.77041376,0,0,4645.77041376
Guinea,Kindia,Telimele,300558.880656,1,249463.87094448,45083.8320984,6011.17761312,0,0,6011.17761312
Guinea,Labe,Koubia,105858.05328,2,83627.8620912,20113.0301232,2117.1610656,0,0,2117.1610656
Guinea,Labe,Labe,337048.575392,2,252786.431544,77521.17234016,6740.97150784,0,0,6740.97150784
Guinea,Labe,Lelouma,172328.710096,1,146479.4035816,25849.3065144,0,0,0,0
Guinea,Labe,Mali,304354.848784,2,219135.49112448,76088.712196,9130.64546352,0,0,9130.64546352
Guinea,Labe,Tougue,131337.11552,2,103756.3212608,24954.0519488,2626.7423104,0,0,2626.7423104
Guinea,Mamou,Dalaba,141267.714768,2,108776.14037136,25428.18865824,7063.3857384,0,0,7063.3857384
Guinea,Mamou,Mamou,337094.017104,1,286529.9145384,40451.28205248,10112.82051312,0,0,10112.82051312
Guinea,Mamou,Pita,294346.04752,2,217816.0751648,55925.7490288,20604.2233264,0,0,20604.2233264
Guinea,Nzerekore,Beyla,344598.240288,1,303246.45145344,41351.78883456,0,0,0,0
Guinea,Nzerekore,Gueckedou,307113.055024,2,187338.96356464,98276.17760768,21497.91385168,0,0,21497.91385168
Guinea,Nzerekore,Lola,181302.919824,1,155920.51104864,25382.40877536,0,0,0,0
Guinea,Nzerekore,Macenta,294267.845504,2,205987.4918528,79452.31828608,8828.03536512,0,0,8828.03536512
Guinea,Nzerekore,Nzerekore,419489.352016,2,302032.33345152,109067.23152416,8389.78704032,0,0,8389.78704032
Guinea,Nzerekore,Yomou,120865.442864,2,78562.5378616,33842.32400192,8460.58100048,0,0,8460.58100048
