country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Guinea,Boke,Boffa,233731,1,229056.38,4674.62,0,0,0,0
Guinea,Boke,Boke,494796,1,470056.2,24739.8,0,0,0,0
Guinea,Boke,Fria,106349,1,104222.02,2126.98,0,0,0,0
Guinea,Boke,Gaoual,212968,1,210838.32,2129.68,0,0,0,0
Guinea,Boke,Koundara,142880,1,138593.6,4286.4,0,0,0,0
Guinea,Conakry,Conakry,NA,NA,NA,NA,NA,NA,NA,NA
Guinea,Faranah,Dabola,199270,1,197277.3,1992.7,0,0,0,0
Guinea,Faranah,Dinguiraye,216065,1,213904.35,2160.65,0,0,0,0
Guinea,Faranah,Faranah,308201,1,305118.99,3082.01,0,0,0,0
Guinea,Faranah,Kissidougou,311626,1,308509.74,3116.26,0,0,0,0
Guinea,Kankan,Kankan,518783,1,508407.34,10375.66,0,0,0,0
Guinea,Kankan,Kerouane,228324,1,226040.76,2283.24,0,0,0,0
Guinea,Kankan,Kouroussa,295281,1,286422.57,8858.43,0,0,0,0
Guinea,Kankan,Mandiana,369588,1,365892.12,3695.88,0,0,0,0
Guinea,Kankan,Siguiri,745405,2,573961.85,156535.05,14908.1,0,0,14908.1
Guinea,Kindia,Coyah,289834,1,286935.66,2898.34,0,0,0,0
Guinea,Kindia,Dubreka,362975,1,359345.25,3629.75,0,0,0,0
Guinea,Kindia,Forecariah,267014,1,264343.86,2670.14,0,0,0,0
Guinea,Kindia,Kindia,482904,1,473245.92,9658.08,0,0,0,0
Guinea,Kindia,Telimele,312777,1,309649.23,3127.77,0,0,0,0
Guinea,Labe,Koubia,109757,1,104269.15,5487.85,0,0,0,0
Guinea,Labe,Labe,349585,2,276172.15,69917,3495.85,0,0,3495.85
Guinea,Labe,Lelouma,179195,1,175611.1,3583.9,0,0,0,0
Guinea,Labe,Mali,316369,1,284732.1,31636.9,0,0,0,0
Guinea,Labe,Tougue,136727,1,121687.03,15039.97,0,0,0,0
Guinea,Mamou,Dalaba,146976,1,139627.2,7348.8,0,0,0,0
Guinea,Mamou,Mamou,350730,1,343715.4,7014.6,0,0,0,0
Guinea,Mamou,Pita,305777,1,290488.15,15288.85,0,0,0,0
Guinea,Nzerekore,Beyla,358744,1,297757.52,60986.48,0,0,0,0
Guinea,Nzerekore,Gueckedou,319507,2,252410.53,63901.4,3195.07,0,0,3195.07
Guinea,Nzerekore,Lola,188743,1,186855.57,1887.43,0,0,0,0
Guinea,Nzerekore,Macenta,306316,2,238926.48,64326.36,3063.16,0,0,3063.16
Guinea,Nzerekore,Nzerekore,436104,2,344522.16,82859.76,8722.08,0,0,8722.08
Guinea,Nzerekore,Yomou,125741,1,124483.59,1257.41,0,0,0,0
