country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Liberia,Bomi,NA,101560,1,96482,5078,0,0,0,0
Liberia,Bong,NA,402624,1,390545.28,12078.72,0,0,0,0
Liberia,Gbarpolu,NA,100677,1,91616.07,9060.93,0,0,0,0
Liberia,Grand Bassa,NA,267658,1,256951.68,10706.32,0,0,0,0
Liberia,Grand Cape Mount,NA,153423,1,147286.08,6136.92,0,0,0,0
Liberia,Grand Gedeh,NA,151228,1,130056.08,21171.92,0,0,0,0
Liberia,Grand Kru,NA,69920,1,58033.6,11886.4,0,0,0,0
Liberia,Lofa,NA,334267,1,327581.66,6685.34,0,0,0,0
Liberia,Margibi,NA,253448,1,230637.68,22810.32,0,0,0,0
Liberia,Maryland,NA,164123,1,139504.55,24618.45,0,0,0,0
Liberia,Montserrado,NA,1350092,1,1323090.16,27001.84,0,0,0,0
Liberia,Nimba,NA,557820,1,546663.6,11156.4,0,0,0,0
Liberia,River Gee,NA,80637,1,68541.45,12095.55,0,0,0,0
Liberia,Rivercess,NA,86335,1,83744.95,2590.05,0,0,0,0
Liberia,Sinoe,NA,123620,1,103840.8,19779.2,0,0,0,0
