country,region,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Liberia,Western,Bomi,NA,101560,1,90388.4,10156,1015.6,0,0,1015.6
Liberia,North Central,Bong,NA,402624,1,382492.8,20131.2,0,0,0,0
Liberia,Western,Gbarpolu,NA,100677,1,88595.76,11074.47,1006.77,0,0,1006.77
Liberia,North Central,Grand Bassa,NA,267658,1,240892.2,26765.8,0,0,0,0
Liberia,Western,Grand Cape Mount,NA,153423,1,125806.86,19944.99,7671.15,0,0,7671.15
Liberia,South Eastern,Grand Gedeh,NA,151228,1,143666.6,7561.4,0,0,0,0
Liberia,South Eastern,Grand Kru,NA,69920,1,67123.2,2796.8,0,0,0,0
Liberia,North Central,Lofa,NA,334267,1,314210.98,16713.35,3342.67,0,0,3342.67
Liberia,Western,Margibi,NA,253448,1,248379.04,5068.96,0,0,0,0
Liberia,South Eastern,Maryland,NA,164123,1,155916.85,8206.15,0,0,0,0
Liberia,Western,Montserrado,NA,1350092,1,1323090.16,27001.84,0,0,0,0
Liberia,North Central,Nimba,NA,557820,1,529929,27891,0,0,0,0
Liberia,South Eastern,River Gee,NA,80637,1,76605.15,4031.85,0,0,0,0
Liberia,North Central,Rivercess,NA,86335,1,75111.45,10360.2,863.35,0,0,863.35
Liberia,South Eastern,Sinoe,NA,123620,1,117439,6181,0,0,0,0
