country,region,adm1,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Liberia,Southeastern,Grand Gedeh,"156,709",2,"122,233","32,909","1,567",0,0,"1,567"
Liberia,Southeastern,Maryland,"170,071",1,"147,962","22,109",0,0,0,0
Liberia,Southeastern,Grannd Kru,"72,454",1,"63,760","8,695",0,0,0,0
Liberia,Southeastern,River Gee,"83,560",1,"72,697","10,027",836,0,0,836
Liberia,Southeastern,Sinoe,"128,100",1,"111,447","16,653",0,0,0,0
Liberia,NORTH CENTRAL,Bong,"417,217",1,"350,462","62,583","4,172",0,0,"4,172"
Liberia,NORTH CENTRAL,Lofa,"346,382",1,"301,353","45,030",0,0,0,0
Liberia,NORTH CENTRAL,Grand Bassa,"277,359",1,"227,434","47,151","2,774",0,0,"2,774"
Liberia,NORTH CENTRAL,River Cess,"89,464",1,"74,255","14,314",895,0,0,895
Liberia,NORTH CENTRAL,Nimba,"578,037",1,"520,234","57,804",0,0,0,0
Liberia,North-Western Region,Grand Cape Mount,"158,984",2,"120,828","36,566","1,590",0,0,"1,590"
Liberia,North-Western Region,Bomi,"105,241",1,"86,297","17,891","1,052",0,0,"1,052"
Liberia,North-Western Region,Gbarpolu,"104,327",1,"87,634","16,692",0,0,0,0
Liberia,North-Western Region,Margibi,"262,634",2,"204,854","55,153","2,626",0,0,"2,626"
Liberia,South-Western Region,Montserrado,"1,399,025",2,"1,105,229","279,805","13,990",0,0,"13,990"
