country,region,adm1,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Liberia,Southeastern,Grand Gedeh,"156,709",2,"120,666","34,476","1,567",0,0,"1,567"
Liberia,Southeastern,Maryland,"170,071",1,"142,860","25,511","1,701",0,0,"1,701"
Liberia,Southeastern,Grannd Kru,"72,454",1,"63,035","9,419",0,0,0,0
Liberia,Southeastern,River Gee,"83,560",1,"71,862","10,863",836,0,0,836
Liberia,Southeastern,Sinoe,"128,100",1,"108,885","17,934","1,281",0,0,"1,281"
Liberia,NORTH CENTRAL,Bong,"417,217",1,"346,290","66,755","4,172",0,0,"4,172"
Liberia,NORTH CENTRAL,Lofa,"346,382",1,"290,961","55,421",0,0,0,0
Liberia,NORTH CENTRAL,Grand Bassa,"277,359",2,"216,340","55,472","5,547",0,0,"5,547"
Liberia,NORTH CENTRAL,River Cess,"89,464",2,"70,677","16,998","1,789",0,0,"1,789"
Liberia,NORTH CENTRAL,Nimba,"578,037",1,"514,453","63,584",0,0,0,0
Liberia,North-Western Region,Grand Cape Mount,"158,984",2,"116,058","39,746","3,180",0,0,"3,180"
Liberia,North-Western Region,Bomi,"105,241",1,"85,245","18,943","1,052",0,0,"1,052"
Liberia,North-Western Region,Gbarpolu,"104,327",1,"85,548","17,736","1,043",0,0,"1,043"
Liberia,North-Western Region,Margibi,"262,634",2,"191,723","65,658","5,253",0,0,"5,253"
Liberia,South-Western Region,Montserrado,"1,399,025",2,"1,077,249","307,785","13,990",0,0,"13,990"
