country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Liberia,Bomi,NA,101560,2,63982.8,35546,2031.2,0,0,2031.2
Liberia,Bong,NA,402624,1,330151.68,68446.08,4026.24,0,0,4026.24
Liberia,Gbarpolu,NA,100677,2,73494.21,25169.25,2013.54,0,0,2013.54
Liberia,Grand Bassa,NA,267658,1,219479.56,45501.86,2676.58,0,0,2676.58
Liberia,Grand Cape Mount,NA,153423,3,69040.35,53698.05,29150.37,1534.23,0,30684.6
Liberia,Grand Gedeh,NA,151228,1,125519.24,25708.76,0,0,0,0
Liberia,Grand Kru,NA,69920,1,44049.6,24472,1398.4,0,0,1398.4
Liberia,Lofa,NA,334267,2,220616.22,106965.44,6685.34,0,0,6685.34
Liberia,Margibi,NA,253448,1,179948.08,70965.44,2534.48,0,0,2534.48
Liberia,Maryland,NA,164123,1,0,26259.68,0,0,0,0
Liberia,Montserrado,NA,1350092,1,999068.08,337523,13500.92,0,0,13500.92
Liberia,Nimba,NA,557820,1,468568.8,83673,5578.2,0,0,5578.2
Liberia,River Gee,NA,80637,1,66122.34,14514.66,0,0,0,0
Liberia,Rivercess,NA,86335,1,57844.45,26763.85,1726.7,0,0,1726.7
Liberia,Sinoe,NA,123620,2,84061.6,37086,2472.4,0,0,2472.4
