country,region,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Liberia,Western,Bomi,NA,102674,1,84192.68,17454.58,1026.74,0,0,1026.74
Liberia,North Central,Bong,NA,407041,1,341914.44,61056.15,4070.41,0,0,4070.41
Liberia,Western,Gbarpolu,NA,101782,1,85496.88,15267.3,1017.82,0,0,1017.82
Liberia,North Central,Grand Bassa,NA,270594,1,243534.6,24353.46,2705.94,0,0,2705.94
Liberia,Western,Grand Cape Mount,NA,155106,1,125635.86,27919.08,1551.06,0,0,1551.06
Liberia,South Eastern,Grand Gedeh,NA,152887,1,131482.82,19875.31,1528.87,0,0,1528.87
Liberia,South Eastern,Grand Kru,NA,70687,1,61497.69,8482.44,706.87,0,0,706.87
Liberia,North Central,Lofa,NA,337934,1,287243.9,47310.76,3379.34,0,0,3379.34
Liberia,Western,Margibi,NA,256228,1,217793.8,35871.92,2562.28,0,0,2562.28
Liberia,South Eastern,Maryland,NA,165923,1,154308.39,9955.38,1659.23,0,0,1659.23
Liberia,Western,Montserrado,NA,1364902,1,1214762.78,150139.22,0,0,0,0
Liberia,North Central,Nimba,NA,563939,1,507545.1,50754.51,5639.39,0,0,5639.39
Liberia,South Eastern,River Gee,NA,81522,1,73369.8,7336.98,815.22,0,0,815.22
Liberia,North Central,Rivercess,NA,87282,1,76808.16,9601.02,872.82,0,0,872.82
Liberia,South Eastern,Sinoe,NA,124976,1,109978.88,13747.36,1249.76,0,0,1249.76
