country,region,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Liberia,Western,Bomi,NA,102674,1,84192.68,16427.84,2053.48,0,0,2053.48
Liberia,North Central,Bong,NA,407041,1,333773.62,69196.97,4070.41,0,0,4070.41
Liberia,Western,Gbarpolu,NA,101782,1,83461.24,17302.94,1017.82,0,0,1017.82
Liberia,North Central,Grand Bassa,NA,270594,1,230004.9,35177.22,5411.88,0,0,5411.88
Liberia,Western,Grand Cape Mount,NA,155106,2,116329.5,34123.32,4653.18,0,0,4653.18
Liberia,South Eastern,Grand Gedeh,NA,152887,1,125367.34,25990.79,1528.87,0,0,1528.87
Liberia,South Eastern,Grand Kru,NA,70687,1,58670.21,10603.05,1413.74,0,0,1413.74
Liberia,North Central,Lofa,NA,337934,1,277105.88,54069.44,6758.68,0,0,6758.68
Liberia,Western,Margibi,NA,256228,1,207544.68,46121.04,2562.28,0,0,2562.28
Liberia,South Eastern,Maryland,NA,165923,1,141034.55,21569.99,3318.46,0,0,3318.46
Liberia,Western,Montserrado,NA,1364902,1,1160166.7,204735.3,0,0,0,0
Liberia,North Central,Nimba,NA,563939,1,501905.71,56393.9,5639.39,0,0,5639.39
Liberia,South Eastern,River Gee,NA,81522,1,72554.58,8152.2,815.22,0,0,815.22
Liberia,North Central,Rivercess,NA,87282,1,74189.7,11346.66,1745.64,0,0,1745.64
Liberia,South Eastern,Sinoe,NA,124976,1,107479.36,14997.12,2499.52,0,0,2499.52
