country,region,adm1,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Liberia,NORTH CENTRAL,Bong,417217.025,1,383839.663,33377.362,0,0,0,0
Liberia,NORTH CENTRAL,Lofa,346382.35,1,311744.115,34638.235,0,0,0,0
Liberia,NORTH CENTRAL,Grand Bassa,277358.85,1,253783.3478,19415.1195,4160.38275,0,0,4160.38275
Liberia,NORTH CENTRAL,River Cess,89464.05,1,81412.2855,8051.7645,0,0,0,0
Liberia,NORTH CENTRAL,Nimba,578037.475,1,508672.978,69364.497,0,0,0,0
Liberia,WESTERN,Grand Cape Mount,158983.65,1,147854.7945,11128.8555,0,0,0,0
Liberia,WESTERN,Gbarpolu,104326.55,1,95980.426,8346.124,0,0,0,0
Liberia,WESTERN,Bomi,105240.85,1,92611.948,10524.085,2104.817,0,0,2104.817
Liberia,WESTERN,Montserrado,1399024.55,1,1294097.709,97931.7185,6995.12275,0,0,6995.12275
Liberia,WESTERN,Margibi,262633.7,1,242936.1725,15758.022,3939.5055,0,0,3939.5055
Liberia,SOUTH EASTERN,Grand Gedeh,156709.175,1,147306.6245,9402.5505,0,0,0,0
Liberia,SOUTH EASTERN,Grand Kru,72454.175,1,65933.29925,6520.87575,0,0,0,0
Liberia,SOUTH EASTERN,Maryland,170071.075,1,153063.9675,17007.1075,0,0,0,0
Liberia,SOUTH EASTERN,Sinoe,128100.4,1,120414.376,7686.024,0,0,0,0
Liberia,SOUTH EASTERN,River Gee,83560.05,1,76875.246,6684.804,0,0,0,0
