country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
MALI,Kayes,Kenieba,241665,1,222331.8,19333.2,0,0,0,0
MALI,Kayes,Bafoulabe,286548,1,234969.36,51578.64,0,0,0,0
MALI,Kayes,Diema,259720,1,220762,38958,0,0,0,0
MALI,Kayes,Nioro,280758,1,227413.98,44921.28,8422.74,0,0,8422.74
MALI,Kayes,Kayes,629362,1,516076.84,100697.92,12587.24,0,0,12587.24
MALI,Kayes,Kita,530463,1,429675.03,90178.71,10609.26,0,0,10609.26
MALI,Kayes,Yelimane,216483,1,177516.06,36802.11,2164.83,0,0,2164.83
MALI,Koulikoro,Nara,296724,2,225510.24,59344.8,11868.96,0,0,11868.96
MALI,Koulikoro,Koulikoro,258339,1,209254.59,46501.02,2583.39,0,0,2583.39
MALI,Koulikoro,Banamba,234290,1,189774.9,39829.3,4685.8,0,0,4685.8
MALI,Koulikoro,Dioila,599739,1,527770.32,71968.68,0,0,0,0
MALI,Koulikoro,Kangaba,123150,1,102214.5,20935.5,0,0,0,0
MALI,Koulikoro,Kati,1173570,1,962327.4,211242.6,0,0,0,0
MALI,Koulikoro,Kolokani,285189,1,231003.09,45630.24,8555.67,0,0,8555.67
MALI,Sikasso,Sikasso,901497,1,757257.48,144239.52,0,0,0,0
MALI,Sikasso,Bougouni,562431,1,455569.11,95613.27,11248.62,0,0,11248.62
MALI,Sikasso,Kadiolo,298557,1,244816.74,53740.26,0,0,0,0
MALI,Sikasso,Kolondieba,247104,1,200154.24,46949.76,0,0,0,0
MALI,Sikasso,Koutiala,711957,1,647880.87,64076.13,0,0,0,0
MALI,Sikasso,Yanfolila,260909,1,237427.19,23481.81,0,0,0,0
MALI,Sikasso,Yorosso,259546,1,212827.72,38931.9,7786.38,0,0,7786.38
MALI,Segou,Segou,853789,1,708644.87,128068.35,17075.78,0,0,17075.78
MALI,Segou,Baroueli,248816,1,211493.6,37322.4,0,0,0,0
MALI,Segou,Bla,347933,1,281825.73,62627.94,3479.33,0,0,3479.33
MALI,Segou,Macina,289550,1,257699.5,28955,2895.5,0,0,2895.5
MALI,Segou,Niono,447517,1,398290.13,44751.7,4475.17,0,0,4475.17
MALI,Segou,San,409178,1,368260.2,40917.8,0,0,0,0
MALI,Segou,Tominian,271216,1,219684.96,46106.72,5424.32,0,0,5424.32
MALI,Mopti,Mopti,452388,1,380005.92,67858.2,4523.88,0,0,4523.88
MALI,Mopti,Bandiagara,384391,1,315200.62,61502.56,7687.82,0,0,7687.82
MALI,Mopti,Bankass,324694,1,275989.9,45457.16,3246.94,0,0,3246.94
MALI,Mopti,Djenne,255577,1,212128.91,38336.55,5111.54,0,0,5111.54
MALI,Mopti,Douentza,302436,2,117950.04,154242.36,30243.6,0,0,30243.6
MALI,Mopti,Koro,444640,1,373497.6,62249.6,8892.8,0,0,8892.8
MALI,Mopti,Tenenkou,199793,1,157836.47,33964.81,7991.72,0,0,7991.72
MALI,Mopti,Youwarou,133082,2,58556.08,57225.26,17300.66,0,0,17300.66
MALI,Tombouctou,Tombouctou,156237,2,84367.98,46871.1,21873.18,3124.74,0,24997.92
MALI,Tombouctou,Niafunke,215275,2,135623.25,58124.25,21527.5,0,0,21527.5
MALI,Tombouctou,Gourma-Rharous,136242,3,43597.44,50409.54,29973.24,12261.78,0,42235.020000000004
MALI,Tombouctou,Goundam,185687,3,72417.93,72417.93,31566.79,9284.35,0,40851.14
MALI,Tombouctou,Dire,134559,2,84772.17,36330.93,13455.9,0,0,13455.9
MALI,Gao,Ansongo,161807,3,66340.87,56632.45,33979.47,4854.21,0,38833.68
MALI,Gao,Bourem,142686,3,57074.4,47086.38,34244.64,4280.58,0,38525.22
MALI,Gao,Gao,293730,2,214422.9,58746,20561.1,0,0,20561.1
MALI,Gao,Menaka,66777,2,42737.28,18029.79,4006.62,2003.31,0,6009.93
MALI,Kidal,Abeibara,12616,2,6308,4415.6,1892.4,0,0,1892.4
MALI,Kidal,Tin-Essako,9829,2,5504.24,2948.7,1376.06,0,0,1376.06
MALI,Kidal,Tessalit,19550,1,15835.5,3128,586.5,0,0,586.5
MALI,Kidal,Kidal,41006,1,35675.22,4510.66,820.12,0,0,820.12
