country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
MALI,Tombouctou,Tombouctou,151708,3,15170.8,91024.8,40961.16,4551.24,0,45512.4
MALI,Tombouctou,Gourma-Rharous,132293,3,22489.81,60854.78,39687.9,9260.51,0,48948.41
MALI,Tombouctou,Goundam,180305,3,36061,90152.5,45076.25,9015.25,0,54091.5
MALI,Tombouctou,Niafunke,209035,3,31355.25,83614,73162.25,20903.5,0,94065.75
MALI,Tombouctou,Dire,130659,3,39197.7,62716.32,26131.8,2613.18,0,28744.98
MALI,Kidal,Abeibara,12312,3,2216.16,7387.2,1723.68,984.96,0,2708.64
MALI,Kidal,Tessalit,19078,2,2861.7,12591.48,2670.92,953.9,0,3624.82
MALI,Kidal,Tin-Essako,9592,3,1246.96,5275.6,2398,671.44,0,3069.44
MALI,Kidal,Kidal,40018,3,4001.8,20009,12005.4,4001.8,0,16007.2
MALI,Koulikoro,Koulikoro,250861,1,213231.85,25086.1,12543.05,0,0,12543.05
MALI,Koulikoro,Banamba,227508,2,170631,34126.2,22750.8,0,0,22750.8
MALI,Koulikoro,Dioila,582378,1,512492.64,58237.8,11647.56,0,0,11647.56
MALI,Koulikoro,Kangaba,119585,1,100451.4,14350.2,4783.4,0,0,4783.4
MALI,Koulikoro,Kati,1139599,1,957263.16,125355.89,56979.95,0,0,56979.95
MALI,Koulikoro,Kolokani,276933,2,188314.44,55386.6,33231.96,0,0,33231.96
MALI,Koulikoro,Nara,288135,2,187287.75,63389.7,37457.55,0,0,37457.55
MALI,Kayes,Kenieba,234746,1,211271.4,16432.22,7042.38,0,0,7042.38
MALI,Kayes,Bafoulabe,278344,1,236592.4,27834.4,13917.2,0,0,13917.2
MALI,Kayes,Kita,515276,1,463748.4,30916.56,20611.04,0,0,20611.04
MALI,Kayes,Kayes,611343,1,501301.26,79474.59,30567.15,0,0,30567.15
MALI,Kayes,Diema,252285,2,176599.5,50457,25228.5,0,0,25228.5
MALI,Kayes,Nioro,272720,2,185449.6,59998.4,27272,0,0,27272
MALI,Kayes,Yelimane,210285,2,140890.95,48365.55,21028.5,0,0,21028.5
MALI,Segou,Baroueli,241702,1,200612.66,21753.18,16919.14,2417.02,0,19336.16
MALI,Segou,Bla,337985,1,304186.5,20279.1,13519.4,0,0,13519.4
MALI,Segou,Macina,281271,1,230642.22,28127.1,19688.97,2812.71,0,22501.68
MALI,Segou,Niono,434722,1,369513.7,34777.76,21736.1,8694.44,0,30430.54
MALI,Segou,San,397480,1,325933.6,35773.2,27823.6,7949.6,0,35773.2
MALI,Segou,Segou,829379,1,688384.57,74644.11,58056.53,8293.79,0,66350.32
MALI,Segou,Tominian,263462,1,216038.84,23711.58,15807.72,7903.86,0,23711.58
MALI,Sikasso,Bougouni,546297,1,464352.45,54629.7,27314.85,0,0,27314.85
MALI,Sikasso,Kadiolo,289992,1,260992.8,20299.44,8699.76,0,0,8699.76
MALI,Sikasso,Kolondieba,240015,1,199212.45,24001.5,16801.05,0,0,16801.05
MALI,Sikasso,Koutiala,691533,1,587803.05,55322.64,48407.31,0,0,48407.31
MALI,Sikasso,Sikasso,875637,1,788073.3,61294.59,26269.11,0,0,26269.11
MALI,Sikasso,Yanfolila,253424,1,228081.6,17739.68,7602.72,0,0,7602.72
MALI,Sikasso,Yorosso,252101,1,206722.82,17647.07,27731.11,0,0,27731.11
MALI,Gao,Gao,285337,3,97014.58,85601.1,85601.1,17120.22,0,102721.32
MALI,Gao,Ansongo,157184,3,53442.56,47155.2,47155.2,9431.04,0,56586.24
MALI,Gao,Menaka,64869,3,20758.08,24001.53,16865.94,3243.45,0,20109.39
MALI,Gao,Bourem,138610,3,47127.4,41583,41583,8316.6,0,49899.6
MALI,Mopti,Mopti,439524,1,404362.08,21976.2,13185.72,0,0,13185.72
MALI,Mopti,Koro,431997,1,367197.45,43199.7,21599.85,0,0,21599.85
MALI,Mopti,Youwarou,229298,1,194903.3,22929.8,11464.9,0,0,11464.9
MALI,Mopti,Bankass,315462,1,283915.8,31546.2,0,0,0,0
MALI,Mopti,Bandiagara,373461,3,97099.86,74692.2,149384.4,52284.54,0,201668.94
MALI,Mopti,Djenne,248309,1,218511.92,24830.9,4966.18,0,0,4966.18
MALI,Mopti,Douentza,293836,2,126349.48,117534.4,49952.12,0,0,49952.12
MALI,Mopti,Tenenkou,194113,1,161113.79,27175.82,5823.39,0,0,5823.39
