country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
MALI,Kayes,Kayes,647895,1,583105.5,58310.55,6478.95,0,0,6478.95
MALI,Kayes,Bafoulabe,294986,1,265487.4,29498.6,0,0,0,0
MALI,Kayes,Diema,267369,1,240632.1,24063.21,2673.69,0,0,2673.69
MALI,Kayes,Kenieba,248782,1,228879.44,19902.56,0,0,0,0
MALI,Kayes,Kita,546084,1,475093.08,65530.08,5460.84,0,0,5460.84
MALI,Kayes,Nioro,289026,1,239891.58,46244.16,2890.26,0,0,2890.26
MALI,Kayes,Yelimane,222858,1,193886.46,26742.96,2228.58,0,0,2228.58
MALI,Koulikoro,Koulikoro,265904,1,233995.52,31908.48,0,0,0,0
MALI,Koulikoro,Banamba,241151,1,209801.37,28938.12,2411.51,0,0,2411.51
MALI,Koulikoro,Dioila,617301,1,537051.87,80249.13,0,0,0,0
MALI,Koulikoro,Kangaba,126756,1,111545.28,15210.72,0,0,0,0
MALI,Koulikoro,Kati,1207936,1,1062983.68,144952.32,0,0,0,0
MALI,Koulikoro,Kolokani,293540,1,249509,41095.6,2935.4,0,0,2935.4
MALI,Koulikoro,Nara,305413,1,247384.53,42757.82,9162.39,0,0,9162.39
MALI,Sikasso,Sikasso,927914,1,770168.62,148466.24,9279.14,0,0,9279.14
MALI,Sikasso,Bougouni,578912,1,474707.84,98415.04,5789.12,0,0,5789.12
MALI,Sikasso,Kadiolo,307305,1,255063.15,49168.8,3073.05,0,0,3073.05
MALI,Sikasso,Kolondieba,254345,1,213649.8,38151.75,2543.45,0,0,2543.45
MALI,Sikasso,Koutiala,732819,1,630224.34,95266.47,7328.19,0,0,7328.19
MALI,Sikasso,Yanfolila,268554,1,222899.82,42968.64,2685.54,0,0,2685.54
MALI,Sikasso,Yorosso,267151,1,227078.35,37401.14,2671.51,0,0,2671.51
MALI,Segou,Segou,878796,1,729400.68,149395.32,0,0,0,0
MALI,Segou,Baroueli,256104,1,217688.4,38415.6,0,0,0,0
MALI,Segou,Bla,358123,1,322310.7,35812.3,0,0,0,0
MALI,Segou,Macina,298030,1,253325.5,38743.9,5960.6,0,0,5960.6
MALI,Segou,Niono,460624,1,414561.6,41456.16,4606.24,0,0,4606.24
MALI,Segou,San,421163,1,353776.92,58962.82,8423.26,0,0,8423.26
MALI,Segou,Tominian,279160,1,226119.6,41874,11166.4,0,0,11166.4
MALI,Mopti,Mopti,465794,1,414556.66,46579.4,4657.94,0,0,4657.94
MALI,Mopti,Bandiagara,395782,1,340372.52,47493.84,7915.64,0,0,7915.64
MALI,Mopti,Bankass,334317,1,290855.79,36774.87,6686.34,0,0,6686.34
MALI,Mopti,Djenne,263151,1,231572.88,26315.1,5263.02,0,0,5263.02
MALI,Mopti,Douentza,311399,1,230435.26,59165.81,21797.93,0,0,21797.93
MALI,Mopti,Koro,457817,1,393722.62,54938.04,9156.34,0,0,9156.34
MALI,Mopti,Tenenkou,205714,2,154285.5,41142.8,10285.7,0,0,10285.7
MALI,Mopti,Youwarou,137026,2,91807.42,41107.8,4110.78,0,0,4110.78
MALI,Tombouctou,Tombouctou,160766,2,96459.6,48229.8,16076.6,0,0,16076.6
MALI,Tombouctou,Dire,138459,2,105228.84,27691.8,5538.36,0,0,5538.36
MALI,Tombouctou,Goundam,191069,2,105087.95,57320.7,28660.35,0,0,28660.35
MALI,Tombouctou,Gourma-Rharous,140191,2,72899.32,50468.76,16822.92,0,0,16822.92
MALI,Tombouctou,Niafunke,221515,2,108542.35,86390.85,26581.8,0,0,26581.8
MALI,Gao,Gao,302564,1,245076.84,36307.68,21179.48,0,0,21179.48
MALI,Gao,Ansongo,166674,2,115005.06,36668.28,15000.66,0,0,15000.66
MALI,Gao,Bourem,146978,2,102884.6,29395.6,14697.8,0,0,14697.8
MALI,Gao,Menaka,68785,1,55715.85,6878.5,6190.65,0,0,6190.65
MALI,Kidal,Kidal,42488,2,33140.64,6373.2,2974.16,0,0,2974.16
MALI,Kidal,Abeibara,13072,2,10065.44,2091.52,915.04,0,0,915.04
MALI,Kidal,Tessalit,20256,1,16812.48,2430.72,1012.8,0,0,1012.8
MALI,Kidal,Tin-Essako,10185,1,8249.85,1324.05,611.1,0,0,611.1
MALI,Bamako,Commune I,422685,1,363509.1,42268.5,16907.4,0,0,16907.4
MALI,Bamako,Commune Ii,201140,1,164934.8,26148.2,10057,0,0,10057
MALI,Bamako,Commune Iii,162399,1,138039.15,17863.89,6495.96,0,0,6495.96
MALI,Bamako,Commune Iv,384365,1,315179.3,53811.1,15374.6,0,0,15374.6
MALI,Bamako,Commune V,521694,1,433006.02,67820.22,20867.76,0,0,20867.76
MALI,Bamako,Commune Vi,592796,1,480164.76,82991.44,29639.8,0,0,29639.8
