country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Mali,Tombouctou,Tombouctou,151708,2,94058.96,42478.24,15170.8,0,0,15170.8
Mali,Tombouctou,Dire,130659,2,83621.76,39197.7,7839.54,0,0,7839.54
Mali,Tombouctou,Goundam,180305,2,108183,48682.35,23439.65,0,0,23439.65
Mali,Tombouctou,Gourma-Rharous,132293,2,87313.38,38364.97,6614.65,0,0,6614.65
Mali,Tombouctou,Niafunke,209035,2,160956.95,37626.3,10451.75,0,0,10451.75
Mali,Kidal,Kidal,40018,2,30413.68,6002.7,3601.62,0,0,3601.62
Mali,Kidal,Abeibara,12312,2,8495.28,2216.16,1600.56,0,0,1600.56
Mali,Kidal,Tessalit,19078,1,16407.08,1907.8,763.12,0,0,763.12
Mali,Kidal,Tin Essako,9592,2,6138.88,2398,1055.12,0,0,1055.12
Mali,Koulikoro,Koulikoro,250861,1,223266.29,25086.1,2508.61,0,0,2508.61
Mali,Koulikoro,Banamba,227508,1,193381.8,29576.04,4550.16,0,0,4550.16
Mali,Koulikoro,Dioila,582378,1,535787.76,40766.46,5823.78,0,0,5823.78
Mali,Koulikoro,Kangaba,119585,1,107626.5,10762.65,1195.85,0,0,1195.85
Mali,Koulikoro,Kati,1139599,1,968659.15,159543.86,11395.99,0,0,11395.99
Mali,Koulikoro,Kolokani,276933,1,229854.39,41539.95,5538.66,0,0,5538.66
Mali,Koulikoro,Nara,288135,1,244914.75,37457.55,5762.7,0,0,5762.7
Mali,Kayes,Kayes,611343,1,537981.84,61134.3,12226.86,0,0,12226.86
Mali,Kayes,Bafbe,286548,1,260758.68,22923.84,2865.48,0,0,2865.48
Mali,Kayes,Diema,259720,1,233748,23374.8,2597.2,0,0,2597.2
Mali,Kayes,Kenieba,234746,1,215966.32,16432.22,2347.46,0,0,2347.46
Mali,Kayes,Kita,515276,1,474053.92,36069.32,5152.76,0,0,5152.76
Mali,Kayes,Nioro,280756,1,247065.28,28075.6,5615.12,0,0,5615.12
Mali,Kayes,Yelimane,210285,1,182947.95,23131.35,4205.7,0,0,4205.7
Mali,Segou,Segou,829379,1,746441.1,82937.9,0,0,0,0
Mali,Segou,Baraoueli,241702,1,217531.8,24170.2,0,0,0,0
Mali,Segou,Bla,337985,1,297426.8,40558.2,0,0,0,0
Mali,Segou,Macina,281271,1,253143.9,28127.1,0,0,0,0
Mali,Segou,Niono,434722,1,391249.8,43472.2,0,0,0,0
Mali,Segou,San,397480,1,349782.4,47697.6,0,0,0,0
Mali,Segou,Tominian,263462,2,197596.5,57961.64,7903.86,0,0,7903.86
Mali,Sikasso,Sikasso,875637,1,788073.3,78807.33,8756.37,0,0,8756.37
Mali,Sikasso,Bougouni,546297,1,502593.24,43703.76,0,0,0,0
Mali,Sikasso,Kadiolo,289992,1,269692.56,20299.44,0,0,0,0
Mali,Sikasso,Kolondieba,240015,1,220813.8,19201.2,0,0,0,0
Mali,Sikasso,Koutiala,691533,1,622379.7,55322.64,13830.66,0,0,13830.66
Mali,Sikasso,Yanfolila,253424,1,233150.08,20273.92,0,0,0,0
Mali,Sikasso,Yorosso,252101,1,234453.93,17647.07,0,0,0,0
Mali,Gao,Gao,285337,2,202589.27,57067.4,25680.33,0,0,25680.33
Mali,Gao,Ansango,157184,2,111600.64,31436.8,14146.56,0,0,14146.56
Mali,Gao,Bourem,138610,1,126135.1,12474.9,0,0,0,0
Mali,Gao,Menaka,64869,2,36326.64,22704.15,5838.21,0,0,5838.21
Mali,Mopti,Mopti,426842,1,384157.8,42684.2,0,0,0,0
Mali,Mopti,Bandiagara,362685,1,319162.8,36268.5,7253.7,0,0,7253.7
Mali,Mopti,Bankass,306360,1,291042,15318,0,0,0,0
Mali,Mopti,Djenne,241145,1,217030.5,19291.6,4822.9,0,0,4822.9
Mali,Mopti,Douentza,285358,1,236847.14,34242.96,14267.9,0,0,14267.9
Mali,Mopti,Koro,419532,1,398555.4,20976.6,0,0,0,0
Mali,Mopti,Tenenkou,188512,1,160235.2,18851.2,9425.6,0,0,9425.6
Mali,Mopti,Youwarou,125567,1,101709.27,15068.04,8789.69,0,0,8789.69
Mali,Bamako,Bamako ,2157000,,,,,,,
