country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Mali,KAYES,Kayes,685992,1,589953.12,96038.88,0,0,0,0
Mali,KAYES,Bafoulabé,312332,1,265482.2,46849.8,0,0,0,0
Mali,KAYES,Diéma,283090,1,237795.6,45294.4,0,0,0,0
Mali,KAYES,Kéniéba,263410,1,229166.7,34243.3,0,0,0,0
Mali,KAYES,Kita,578193,1,508809.84,69383.16,0,0,0,0
Mali,KAYES,Nioro,306021,1,247877.01,55083.78,3060.21,0,0,3060.21
Mali,KAYES,Yelimané,235962,1,191129.22,40113.54,4719.24,0,0,4719.24
Mali,KOULIKORO,Koulikoro,281469,1,256136.79,25332.21,0,0,0,0
Mali,KOULIKORO,Banamba,255267,1,222082.29,33184.71,0,0,0,0
Mali,KOULIKORO,Dioïla,653435,1,601160.2,52274.8,0,0,0,0
Mali,KOULIKORO,Kangaba,134176,1,126125.44,8050.56,0,0,0,0
Mali,KOULIKORO,Kati,1278642,1,1099632.12,179009.88,0,0,0,0
Mali,KOULIKORO,Kolokani,310722,1,267220.92,37286.64,6214.44,0,0,6214.44
Mali,KOULIKORO,Nara,323290,1,271563.6,42027.7,9698.7,0,0,9698.7
Mali,SIAKASSO,Sikasso,982415,1,835052.75,137538.1,9824.15,0,0,9824.15
Mali,SIAKASSO,Bougouni,612915,1,514848.6,91937.25,6129.15,0,0,6129.15
Mali,SIAKASSO,Kadiolo,325355,1,276551.75,48803.25,0,0,0,0
Mali,SIAKASSO,Kolondièba,269284,1,228891.4,37699.76,2692.84,0,0,2692.84
Mali,SIAKASSO,Koutiala,775861,1,651723.24,124137.76,0,0,0,0
Mali,SIAKASSO,Yanfolila,284328,1,235992.24,45492.48,2843.28,0,0,2843.28
Mali,SIAKASSO,Yorosso,282843,1,231931.26,50911.74,0,0,0,0
Mali,SEGOU,Ségou,930297,1,790752.45,130241.58,9302.97,0,0,9302.97
Mali,SEGOU,Barouéli,271113,1,227734.92,40666.95,2711.13,0,0,2711.13
Mali,SEGOU,Bla,379111,1,318453.24,56866.65,3791.11,0,0,3791.11
Mali,SEGOU,Macina,315496,1,258706.72,47324.4,9464.88,0,0,9464.88
Mali,SEGOU,Niono,487618,1,399846.76,78018.88,9752.36,0,0,9752.36
Mali,SEGOU,San,445845,1,370051.35,71335.2,4458.45,0,0,4458.45
Mali,SEGOU,Tominian,295520,1,239371.2,47283.2,8865.6,0,0,8865.6
Mali,MOPTI,Mopti,492970,1,409165.1,64086.1,19718.8,0,0,19718.8
Mali,MOPTI,Bandiagara,418873,1,351853.32,54453.49,12566.19,0,0,12566.19
Mali,MOPTI,Bankass,353822,1,300748.7,35382.2,17691.1,0,0,17691.1
Mali,MOPTI,Djenné,278504,2,203307.92,58485.84,16710.24,0,0,16710.24
Mali,MOPTI,Douentza,329567,2,214218.55,82391.75,26365.36,6591.34,0,32956.7
Mali,MOPTI,Koro,484527,3,208346.61,174429.72,92060.13,9690.54,0,101750.67
Mali,MOPTI,Ténenkou,217716,2,150224.04,54429,13062.96,0,0,13062.96
Mali,MOPTI,Youwarou,145020,2,110215.2,29004,5800.8,0,0,5800.8
Mali,TOMBOUCTOU,Tombouctou,170200,2,112332,51060,6808,0,0,6808
Mali,TOMBOUCTOU,Dire,146585,1,128994.8,14658.5,2931.7,0,0,2931.7
Mali,TOMBOUCTOU,Goundam,202282,2,129460.48,60684.6,12136.92,0,0,12136.92
Mali,TOMBOUCTOU,G.Rharous,148419,2,99440.73,41557.32,7420.95,0,0,7420.95
Mali,TOMBOUCTOU,Niafunké,234514,1,194646.62,35177.1,4690.28,0,0,4690.28
Mali,GAO,Gao,320232,1,265792.56,38427.84,16011.6,0,0,16011.6
Mali,GAO,Ansongo,176406,2,137596.68,31753.08,7056.24,0,0,7056.24
Mali,GAO,Bourem,155560,2,105780.8,34223.2,15556,0,0,15556
Mali,GAO,Ménaka,72802,3,37857.04,18200.5,16016.44,728.02,0,16744.46
Mali,KIDAL,Kidal,44958,1,36865.56,6743.7,1348.74,0,0,1348.74
Mali,KIDAL,Abeïbara,13832,1,11618.88,2074.8,138.32,0,0,138.32
Mali,KIDAL,Tessalit,21434,1,17790.22,3215.1,428.68,0,0,428.68
Mali,KIDAL,Tin-Essako,10777,2,8190.52,2155.4,431.08,0,0,431.08
Mali,BAMAKO,Commune I,447658,1,376032.72,71625.28,0,0,0,0
Mali,BAMAKO,Commune II,213024,1,183200.64,29823.36,0,0,0,0
Mali,BAMAKO,Commune III,171994,1,151354.72,20639.28,0,0,0,0
Mali,BAMAKO,Commune IV,407074,1,337871.42,65131.84,4070.74,0,0,4070.74
Mali,BAMAKO,Commune V,552432,1,475091.52,77340.48,0,0,0,0
Mali,BAMAKO,Commune VI,627819,1,521089.77,100451.04,6278.19,0,0,6278.19
