country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Mauritania,Brakna,NA,329140,3,177735.6,82285,69119.4,0,0,69119.4
Mauritania,Guidimakha,NA,281449,3,135095.52,84434.7,61918.78,0,0,61918.78
Mauritania,Tagant,NA,85334,3,46933.7,21333.5,17066.8,0,0,17066.8
Mauritania,Adrar,NA,62658,2,50126.4,10651.86,1879.74,0,0,1879.74
Mauritania,Dakhlet-Nouadhibou,NA,123779,2,99023.2,24755.8,0,0,0,0
Mauritania,Tiris-Zemmour,NA,53261,2,42608.8,10652.2,0,0,0,0
Mauritania,Inchiri,NA,19631,2,15508.49,3533.58,588.93,0,0,588.93
Mauritania,Gorgol,NA,338682,3,203209.2,67736.4,67736.4,0,0,67736.4
Mauritania,Nouakchott,NA,958399,2,757135.21,191679.8,9583.99,0,0,9583.99
Mauritania,Trarza,NA,272773,1,231857.05,40915.95,0,0,0,0
Mauritania,Hodh Ech Chargi,NA,454238,3,249830.9,109017.12,95389.98,0,0,95389.98
Mauritania,Hodh El Gharbi,NA,310205,3,186123,62041,62041,0,0,62041
Mauritania,Assaba,NA,343733,3,185615.82,85933.25,72183.93,0,0,72183.93
