country,adm1,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Mauritania,H. Chargu,429707,2,322280.25,107426.75,0,0,0,0
Mauritania,H. Gharbi,294165,1,244156.95,50008.05,0,0,0,0
Mauritania,Assaba,323761,1,262246.41,61514.59,0,0,0,0
Mauritania,Tagant,79103,1,71192.7,7910.3,0,0,0,0
Mauritania,Brakna,309867,1,269584.29,37184.04,3098.67,0,0,3098.67
Mauritania,Gorgol,331558,2,242037.34,82889.5,6631.16,0,0,6631.16
Mauritania,Guidimak,262785,2,197088.75,44673.45,21022.8,0,0,21022.8
Mauritania,Trarza,271970,1,244773,27197,0,0,0,0
Mauritania,Adrar,62678,2,50142.4,12535.6,0,0,0,0
Mauritania,Inchiri,17457,2,13965.6,3491.4,0,0,0,0
Mauritania,Tiris Zem,52820,2,42256,10564,0,0,0,0
Mauritania,D. Nouad,123232,1,110908.8,12323.2,0,0,0,0
Mauritania,Nouakch,899887,1,764903.95,134983.05,0,0,0,0
