country,adm1,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Mauritania,H. Chargu,429707,3,257824.2,85941.4,64456.05,21485.35,0,85941.4
Mauritania,H. Gharbi,294165,2,176499,88249.5,29416.5,0,0,29416.5
Mauritania,Assaba,323761,2,226632.7,55039.37,32376.1,9712.83,0,42088.93
Mauritania,Tagant,79103,2,51416.95,15820.6,11865.45,0,0,11865.45
Mauritania,Brakna,309867,2,201413.55,61973.4,30986.7,15493.35,0,46480.05
Mauritania,Gorgol,331558,3,165779,82889.5,66311.6,16577.9,0,82889.5
Mauritania,Guidimak,262785,3,128764.65,65696.25,52557,15767.1,0,68324.1
Mauritania,Trarza,271970,2,217576,54394,0,0,0,0
Mauritania,Adrar,62678,2,47008.5,15669.5,0,0,0,0
Mauritania,Inchiri,17457,2,13965.6,3491.4,0,0,0,0
Mauritania,Tiris Zem,52820,2,42256,10564,0,0,0,0
Mauritania,D. Nouad,123232,2,98585.6,24646.4,0,0,0,0
Mauritania,Nouakch,899887,2,674915.25,224971.75,0,0,0,0
