country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Mauritania,Brakna,NA,329140,2,213941,82285,32914,0,0,32914
Mauritania,Guidimakha,NA,281449,2,177312.87,67547.76,36588.37,0,0,36588.37
Mauritania,Tagant,NA,85334,2,51200.4,20480.16,13653.44,0,0,13653.44
Mauritania,Adrar,NA,62658,1,50752.98,11278.44,626.58,0,0,626.58
Mauritania,Dakhlet-Nouadhibou,NA,123779,1,44206.63,18566.85,0,0,0,0
Mauritania,Tiris-Zemmour,NA,53261,1,44206.63,9054.37,0,0,0,0
Mauritania,Inchiri,NA,19631,1,15901.11,3533.58,196.31,0,0,196.31
Mauritania,Gorgol,NA,338682,2,226916.94,84670.5,27094.56,0,0,27094.56
Mauritania,Nouakchott,NA,958399,1,805055.16,153343.84,0,0,0,0
Mauritania,Trarza,NA,272773,1,245495.7,27277.3,0,0,0,0
Mauritania,Hodh Ech Chargi,NA,454238,3,263458.04,99932.36,86305.22,NA,0,86305.22
Mauritania,Hodh El Gharbi,NA,310205,2,217143.5,62041,31020.5,NA,0,31020.5
Mauritania,Assaba,NA,343733,2,230301.11,82495.92,30935.97,NA,0,30935.97
