country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Mauritania,Adrar,NA,63715,1,52883.45,7645.8,3185.75,0,0,3185.75
Mauritania,Assaba,NA,341661,2,263078.97,61498.98,17083.05,0,0,17083.05
Mauritania,Brakna,NA,324193,2,249628.61,55112.81,19451.58,0,0,19451.58
Mauritania,Gorgol,NA,353750,2,268850,63675,21225,0,0,21225
Mauritania,Guidimakha,NA,284833,2,225018.07,39876.62,19938.31,0,0,19938.31
Mauritania,Hodh El Gharbi,NA,309783,2,241630.74,61956.6,6195.66,0,0,6195.66
Mauritania,Hodh Ech Chargi,NA,460719,2,331717.68,101358.18,27643.14,0,0,27643.14
Mauritania,Inchiri,NA,21372,1,17525.04,1709.76,0,0,0,0
Mauritania,Dakhlet-Nouadhibou,NA,132775,1,112858.75,19916.25,0,0,0,0
Mauritania,Nouakchott,NA,1043793,1,866348.19,156568.95,20875.86,0,0,20875.86
Mauritania,Tagant,NA,81676,2,62073.76,15518.44,4083.8,0,0,4083.8
Mauritania,Tiris-Zemmour,NA,57962,2,45789.98,11012.78,1159.24,0,0,1159.24
Mauritania,Trarza,NA,273537,1,235241.82,30089.07,8206.11,0,0,8206.11
