country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Mauritania,Hodh Ech Chargi,NA,476521,3,266851.76,109599.83,90538.99,9530.42,0,100069.41
Mauritania,Hodh El Gharbi,NA,317930,2,235268.2,57227.4,22255.1,3179.3,0,25434.4
Mauritania,Assaba,NA,349827,3,181910.04,83958.48,73463.67,10494.81,0,83958.48
Mauritania,Brakna,NA,330320,2,221314.4,72670.4,33032,3303.2,0,36335.2
Mauritania,Gorgol,NA,363018,2,228701.34,87124.32,43562.16,3630.18,0,47192.34
Mauritania,Guidimakha,NA,294176,2,150029.76,97078.08,44126.4,2941.76,0,47068.16
Mauritania,Trarza,NA,273920,2,216396.8,52044.8,5478.4,0,0,5478.4
Mauritania,Adrar,NA,64250,1,52685,10922.5,642.5,0,0,642.5
Mauritania,Tagant,NA,82035,1,66448.35,14766.3,820.35,0,0,820.35
Mauritania,Inchiri,NA,22296,2,17167.92,4905.12,222.96,0,0,222.96
Mauritania,Nouakchott,NA,962745,2,625784.25,240686.25,96274.5,0,0,96274.5
Mauritania,Dakhlet-Nouadhibou,NA,137515,1,116887.75,20627.25,0,0,0,0
Mauritania,Tiris-Zemmour,NA,60466,1,52605.42,7860.58,0,0,0,0
