country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Niger,Agadez,Aderbissinat,38805,2,23283,13581.75,1940.25,0,0,1940.25
Niger,Agadez,Arlit,115387,2,68078.33,43847.06,3461.61,0,0,3461.61
Niger,Agadez,Bilma,19681,2,11808.6,5904.3,1968.1,0,0,1968.1
Niger,Agadez,Iferouane,35962,2,23375.3,10788.6,1798.1,0,0,1798.1
Niger,Agadez,In-Gall,57023,2,31362.65,23379.43,2280.92,0,0,2280.92
Niger,Agadez,Tchirozerine,268850,2,134425,112917,21508,0,0,21508
Niger,Diffa,Nguigmi,80616,3,32246.4,24184.8,20154,4030.8,0,24184.8
Niger,Diffa,Ngourti,56876,3,29006.76,14787.76,11943.96,1137.52,0,13081.48
Niger,Diffa,Goudoumaria,110477,3,49714.65,29828.79,27619.25,3314.31,0,30933.56
Niger,Diffa,Maine Soroa,144652,3,57860.8,43395.6,39056.04,4339.56,0,43395.6
Niger,Diffa,Diffa,175482,3,70192.8,22812.66,78966.9,5264.46,0,84231.36
Niger,Diffa,Bosso,84308,3,16861.6,31193.96,33723.2,2529.24,0,36252.44
Niger,Dosso,Boboye,277518,2,166510.8,97131.3,13875.9,0,0,13875.9
Niger,Dosso,Dosso,541155,2,411277.8,113642.55,16234.65,0,0,16234.65
Niger,Dosso,Dioudiou,120427,2,90320.25,26493.94,3612.81,0,0,3612.81
Niger,Dosso,Doutchi,409224,2,302825.76,90029.28,16368.96,0,0,16368.96
Niger,Dosso,Falmey,113463,2,68077.8,37442.79,7942.41,0,0,7942.41
Niger,Dosso,Gaya,287455,1,238587.65,43118.25,5749.1,0,0,5749.1
Niger,Dosso,Loga,192861,2,115716.6,71358.57,5785.83,0,0,5785.83
Niger,Dosso,Tibiri,296656,1,246224.48,44498.4,5933.12,0,0,5933.12
Niger,Maradi,Aguie,270267,2,205402.92,56756.07,8108.01,0,0,8108.01
Niger,Maradi,Dakoro,692629,2,519471.75,159304.67,13852.58,0,0,13852.58
Niger,Maradi,Gazaoua,176376,2,119935.68,44094,12346.32,0,0,12346.32
Niger,Maradi,Bermo,57434,2,43075.5,13209.82,1148.68,0,0,1148.68
Niger,Maradi,Mayahi,612162,2,385662.06,183648.6,42851.34,0,0,42851.34
Niger,Maradi,Tessaoua,566744,1,470397.52,85011.6,11334.88,0,0,11334.88
Niger,Maradi,Madarounfa,493149,1,419176.65,64109.37,9862.98,0,0,9862.98
Niger,Maradi,Guidan Roumji,575390,2,402773,155355.3,17261.7,0,0,17261.7
Niger,Tahoua,Abalak,281586,3,109818.54,112634.4,53501.34,5631.72,0,59133.06
Niger,Tahoua,Tchintabaraden,159399,2,95639.4,55789.65,7969.95,0,0,7969.95
Niger,Tahoua,Tassara,26870,2,20689.9,5642.7,537.4,0,0,537.4
Niger,Tahoua,Tillia,42841,2,26561.42,12852.3,3427.28,0,0,3427.28
Niger,Tahoua,Tahoua,474962,2,365720.74,85493.16,23748.1,0,0,23748.1
