country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Niger,TAHOUA,Abalak,281586,2,194294.34,73212.36,14079.3,0,0,14079.3
Niger,TAHOUA,Tchinta,159399,2,108391.32,47819.7,3187.98,0,0,3187.98
Niger,TAHOUA,Tassara,26870,2,20958.6,5642.7,268.7,0,0,268.7
Niger,TAHOUA,Tillia,42841,2,29131.88,11138.66,2570.46,0,0,2570.46
Niger,TAHOUA,Tahoua,474962,2,360971.12,94992.4,18998.48,0,0,18998.48
Niger,TAHOUA,Keita,370361,2,292585.19,70368.59,7407.22,0,0,7407.22
Niger,TAHOUA,Illéla,369302,2,284362.54,73860.4,11079.06,0,0,11079.06
Niger,TAHOUA,Bouza,489299,2,303365.38,181040.63,4892.99,0,0,4892.99
Niger,TAHOUA,Bagaroua,79423,2,58773.02,17473.06,3176.92,0,0,3176.92
Niger,TAHOUA,Madaoua,599361,1,503463.24,89904.15,5993.61,0,0,5993.61
Niger,TAHOUA,Malbaza,255340,2,201718.6,53621.4,0,0,0,0
Niger,TAHOUA,Konni,343756,1,292192.6,48125.84,3437.56,0,0,3437.56
Niger,DIFFA,Nguigmi,80616,3,49981.92,14510.88,14510.88,1612.32,0,16123.2
Niger,DIFFA,Ngourti,56876,3,34125.6,10806.44,10806.44,1137.52,0,11943.96
Niger,DIFFA,Goudoumaria,110477,3,51924.19,32038.33,24304.94,2209.54,0,26514.48
Niger,DIFFA,Mainé Soroa,144652,3,69432.96,43395.6,27483.88,4339.56,0,31823.44
Niger,DIFFA,Diffa,175482,3,112308.48,21057.84,42115.68,0,0,42115.68
Niger,DIFFA,Bosso,84308,3,33723.2,31193.96,16861.6,2529.24,0,19390.84
Niger,AGADEZ,Tchiro,268850,2,155933,102163,10754,0,0,10754
Niger,AGADEZ,Aderbissinat,38805,1,31432.05,6208.8,1164.15,0,0,1164.15
Niger,AGADEZ,Arlit,115387,2,63462.85,40385.45,11538.7,0,0,11538.7
Niger,AGADEZ,Iferouane,35962,2,18340.62,13305.94,4315.44,0,0,4315.44
Niger,AGADEZ,Bilma,19681,2,12202.22,6888.35,590.43,0,0,590.43
Niger,AGADEZ,Ingal,57023,2,34213.8,21098.51,1710.69,0,0,1710.69
Niger,ZINDER,Doungass,288779,2,184818.56,75082.54,28877.9,0,0,28877.9
Niger,ZINDER,Gouré,360168,3,169278.96,115253.76,75635.28,0,0,75635.28
Niger,ZINDER,Mirriah,557568,2,429327.36,117089.28,11151.36,0,0,11151.36
Niger,ZINDER,Kantché,438559,2,311376.89,118410.93,8771.18,0,0,8771.18
Niger,ZINDER,D. Takaya,264965,2,158979,87438.45,18547.55,0,0,18547.55
Niger,ZINDER,Takeita,271169,2,176259.85,81350.7,13558.45,0,0,13558.45
Niger,ZINDER,Magaria,634742,2,495098.76,139643.24,0,0,0,0
Niger,ZINDER,Tarka,105965,2,50863.2,37087.75,18014.05,0,0,18014.05
Niger,ZINDER,Tanout,471497,2,226318.56,160308.98,84869.46,0,0,84869.46
Niger,ZINDER,Tesker,40794,2,26516.1,11422.32,2855.58,0,0,2855.58
Niger,TILLABERY,Abala,158524,1,131574.92,22193.36,4755.72,0,0,4755.72
Niger,TILLABERY,Fillingué,336985,1,296546.8,33698.5,6739.7,0,0,6739.7
Niger,TILLABERY,Banibangou,73554,3,41925.78,16917.42,14710.8,0,0,14710.8
Niger,TILLABERY,Ouallam,359512,3,208516.96,79092.64,71902.4,0,0,71902.4
Niger,TILLABERY,Tillabéri,249783,1,207319.89,34969.62,7493.49,0,0,7493.49
Niger,TILLABERY,Tera,369375,1,317662.5,48018.75,3693.75,0,0,3693.75
Niger,TILLABERY,Bankilaré,93268,1,76479.76,16788.24,0,0,0,0
Niger,TILLABERY,Gotheye,264818,1,219798.94,45019.06,0,0,0,0
Niger,TILLABERY,Say,192959,1,173663.1,19295.9,0,0,0,0
Niger,TILLABERY,Torodi ,200635,1,180571.5,20063.5,0,0,0,0
Niger,TILLABERY,Kollo,511313,1,480634.22,30678.78,0,0,0,0
Niger,TILLABERY,Balleyara,117705,1,112996.8,4708.2,0,0,0,0
Niger,TILLABERY,Ayorou,62660,1,52007.8,9399,1253.2,0,0,1253.2
Niger,DOSSO,Boboye ,277518,2,185937.06,83255.4,8325.54,0,0,8325.54
Niger,DOSSO,Dosso,541155,1,470804.85,59527.05,10823.1,0,0,10823.1
Niger,DOSSO,Dioundou,120427,2,87911.71,30106.75,2408.54,0,0,2408.54
Niger,DOSSO,Doutchi,409224,2,319194.72,81844.8,8184.48,0,0,8184.48
Niger,DOSSO,Falmey,113463,2,86231.88,22692.6,4538.52,0,0,4538.52
Niger,DOSSO,Gaya,287455,1,250085.85,34494.6,2874.55,0,0,2874.55
Niger,DOSSO,Loga,192861,2,140788.53,48215.25,3857.22,0,0,3857.22
Niger,DOSSO,Tibiri,296656,1,264023.84,29665.6,2966.56,0,0,2966.56
Niger,MARADI,Aguié,270267,1,227024.28,37837.38,5405.34,0,0,5405.34
Niger,Maradi,Dakoro,692629,1,616439.81,69262.9,6926.29,0,0,6926.29
Niger,Maradi,Gazaoua,176376,2,128754.48,37038.96,10582.56,0,0,10582.56
Niger,Maradi,Bermo,57434,1,52264.94,4594.72,574.34,0,0,574.34
Niger,Maradi,Mayahi,612162,2,428513.4,146918.88,36729.72,0,0,36729.72
Niger,Maradi,Tessaoua,566744,1,464730.08,79344.16,22669.76,0,0,22669.76
Niger,Maradi,Madaroufa,493149,1,414245.16,59177.88,19725.96,0,0,19725.96
Niger,Maradi,Guidan Roumdji,575390,2,448804.2,115078,11507.8,0,0,11507.8
