country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Niger,Agadez,Aderbissinat,43628,2,27485.64,11779.56,4362.8,0,0,4362.8
Niger,Agadez,Ingall,64111,2,43595.48,17309.97,3205.55,0,0,3205.55
Niger,Agadez,Bilma,22154,3,11963.16,5538.5,4430.8,221.54,0,4652.34
Niger,Agadez,Agadez Com,146051,1,118301.31,24828.67,2921.02,0,0,2921.02
Niger,Agadez,Tchiro,156212,1,128093.84,24993.92,3124.24,0,0,3124.24
Niger,Agadez,Arlit,129728,2,83025.92,31134.72,15567.36,0,0,15567.36
Niger,Agadez,Iférouane,40429,2,25470.27,12128.7,2830.03,0,0,2830.03
Niger,TILLABERI,Abala,186636,3,78387.12,59723.52,44792.64,3732.72,0,48525.36
Niger,TILLABERI,Balleyara,138578,1,116405.52,19400.92,2771.56,0,0,2771.56
Niger,TILLABERI,Fillingué,396752,2,305499.04,71415.36,19837.6,0,0,19837.6
Niger,TILLABERI,Kollo,601996,1,493636.72,102339.32,6019.96,0,0,6019.96
Niger,TILLABERI,Say,227172,1,186281.04,38619.24,2271.72,0,0,2271.72
Niger,TILLABERI,Bankilaré,109810,2,75768.9,26354.4,7686.7,0,0,7686.7
Niger,TILLABERI,Gothèye,311790,2,218253,77947.5,15589.5,0,0,15589.5
Niger,TILLABERI,Téra,434886,2,282675.9,117419.22,34790.88,0,0,34790.88
Niger,TILLABERI,Torodi,236211,3,101570.73,70863.3,59052.75,4724.22,0,63776.97
Niger,TILLABERI,Ayérou,73769,3,26556.84,23606.08,20655.32,2950.76,0,23606.08
Niger,TILLABERI,Banibagou,86599,3,32041.63,25979.7,25113.71,3463.96,0,28577.67
Niger,TILLABERI,Ouallam,423266,3,186237.04,135445.12,93118.52,8465.32,0,101583.84
Niger,TILLABERI,Tillabéri,232410,2,104584.5,92964,34861.5,0,0,34861.5
Niger,Diffa,Goudoumaria,124307,2,78313.41,32319.82,13673.77,0,0,13673.77
Niger,Diffa,Mainé Soroa,162758,3,74868.68,48827.4,37434.34,1627.58,0,39061.92
Niger,Diffa,Diffa Dép.,127677,2,86820.36,31919.25,8937.39,0,0,8937.39
Niger,Diffa,Diffa Com.,69765,2,50230.8,16045.95,3488.25,0,0,3488.25
Niger,Diffa,BOSSO,94857,3,31302.81,33199.95,28457.1,1897.14,0,30354.24
Niger,Diffa,N'GOURTI,63992,2,44154.48,15998,3839.52,0,0,3839.52
Niger,Diffa,N'GUIGMI,90702,3,41722.92,27210.6,19954.44,1814.04,0,21768.48
Niger,Dosso,Dosso,521913,2,407092.14,93944.34,20876.52,0,0,20876.52
Niger,Dosso,Doutchi,481866,2,308394.24,144559.8,28911.96,0,0,28911.96
Niger,Dosso,Loga,227099,2,140801.38,72671.68,13625.94,0,0,13625.94
Niger,Dosso,Tibiri,349318,2,258495.32,76849.96,13972.72,0,0,13972.72
Niger,DOSSO,Boboye,326783,1,267962.06,49017.45,9803.49,0,0,9803.49
Niger,DOSSO,Dioundou,141808,1,116282.56,22689.28,2836.16,0,0,2836.16
Niger,DOSSO,Falmey,133601,1,108216.81,21376.16,4008.03,0,0,4008.03
Niger,DOSSO,Gaya,338480,1,274168.8,57541.6,6769.6,0,0,6769.6
Niger,Maradi,Bermo,69112,2,33864.88,27644.8,7602.32,0,0,7602.32
Niger,Maradi,Dakoro,833606,2,583524.2,208401.5,41680.3,0,0,41680.3
Niger,Maradi,Mayahi,736768,2,471531.52,221030.4,44206.08,0,0,44206.08
Niger,Maradi,TESSAOUA,682112,1,552510.72,109137.92,20463.36,0,0,20463.36
Niger,Maradi,Aguié,325281,2,240707.94,71561.82,13011.24,0,0,13011.24
Niger,Maradi,Gazaoua,212277,1,171944.37,33964.32,6368.31,0,0,6368.31
Niger,Maradi,Guidan Roumdji,692511,1,560933.91,117726.87,13850.22,0,0,13850.22
Niger,Maradi,Madarounfa,593532,1,480760.92,100900.44,11870.64,0,0,11870.64
