country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Niger,Agadez,Aderbissinat,38276,2,19903.52,15310.4,3062.08,0,0,3062.08
Niger,Agadez,Arlit,111204.776025,2,81179.48649825,27801.19400625,2224.0955205,0,0,2224.0955205
Niger,Agadez,Bilma,18006.81174,2,12244.6319832,5402.043522,360.1362348,0,0,360.1362348
Niger,Agadez,Iferouane,54855.375687,2,30170.45662785,21942.1502748,2742.76878435,0,0,2742.76878435
Niger,Agadez,In-Gall,56246.294943,2,34310.23991523,19686.20323005,2249.85179772,0,0,2249.85179772
Niger,Agadez,Tchirozerine,265183,2,175020.78,79554.9,10607.32,0,0,10607.32
Niger,Diffa,Goudoumaria,109393,2,85326.54,13127.16,10939.3,0,0,10939.3
Niger,Diffa,Maine Soroa,143231,2,111720.18,17187.72,14323.1,0,0,14323.1
Niger,Diffa,Diffa,172757,3,117474.76,20730.84,31096.26,3455.14,0,34551.4
Niger,Diffa,Bosso,82997,3,56437.96,9959.64,14939.46,1659.94,0,16599.4
Niger,Diffa,Nguigmi,84634,3,46548.7,21158.5,15234.12,1692.68,0,16926.8
Niger,Diffa,Ngourti,59712,3,31050.24,16122.24,11345.28,1194.24,0,12539.52
Niger,Dosso,Dosso,521543,1,422449.83,67800.59,31292.58,0,0,31292.58
Niger,Dosso,Dioudiou,176489,1,155310.32,17648.9,3529.78,0,0,3529.78
Niger,Dosso,Doutchi,389804,1,331333.4,38980.4,19490.2,0,0,19490.2
Niger,Dosso,Falmey,108287,1,87712.47,17325.92,3248.61,0,0,3248.61
Niger,Dosso,Gaya,279732,1,243366.84,19581.24,16783.92,0,0,16783.92
Niger,Dosso,Loga,184070,1,117804.8,53380.3,12884.9,0,0,12884.9
Niger,Dosso,Tibiri,282580,1,234541.4,33909.6,14129,0,0,14129
Niger,Dosso,Boboye,264867,1,214542.27,39730.05,10594.68,0,0,10594.68
Niger,Maradi,Aguie,263008,1,215666.56,34191.04,13150.4,0,0,13150.4
Niger,Maradi,Dakoro,681863,2,538671.77,115916.71,27274.52,0,0,27274.52
Niger,Maradi,Gazaoua,172303,1,137842.4,25845.45,8615.15,0,0,8615.15
Niger,Maradi,Bermo,56540,2,39578,10177.2,5654,1130.8,0,6784.8
Niger,Maradi,Mayahi,592267,1,479736.27,71072.04,41458.69,0,0,41458.69
Niger,Maradi,Tessaoua,553662,1,465076.08,66439.44,22146.48,0,0,22146.48
Niger,Maradi,Madarounfa,612644,1,520747.4,85770.16,6126.44,0,0,6126.44
Niger,Maradi,Guidan Roumji,562103,2,444061.37,95557.51,22484.12,0,0,22484.12
Niger,Tahoua,Abalak,312950,2,247230.5,40683.5,25036,0,0,25036
Niger,Tahoua,Tchintabaraden,167665,2,132455.35,21796.45,13413.2,0,0,13413.2
Niger,Tahoua,Tassara,28263,2,22327.77,3674.19,2261.04,0,0,2261.04
Niger,Tahoua,Tillia,45062,2,35598.98,5858.06,3604.96,0,0,3604.96
Niger,Tahoua,Tahoua,469766,1,380510.46,65767.24,23488.3,0,0,23488.3
Niger,Tahoua,Keita,363204,1,294195.24,50848.56,18160.2,0,0,18160.2
Niger,Tahoua,Illela,361790,1,293049.9,50650.6,18089.5,0,0,18089.5
Niger,Tahoua,Bouza,483559,1,391682.79,67698.26,24177.95,0,0,24177.95
Niger,Tahoua,Bagaroua,77892,1,63092.52,10904.88,3894.6,0,0,3894.6
Niger,Tahoua,Madaoua,598681,1,484931.61,83815.34,29934.05,0,0,29934.05
Niger,Tahoua,Malbaza,249442,1,202048.02,34921.88,12472.1,0,0,12472.1
Niger,Tahoua,Konni,335819,1,272013.39,47014.66,16790.95,0,0,16790.95
Niger,Tillaberi,Abala,152184,1,126312.72,22827.6,3043.68,0,0,3043.68
Niger,Tillaberi,Filingue,323513,1,271750.92,48526.95,3235.13,0,0,3235.13
Niger,Tillaberi,Bani Bangou,70751,2,55893.29,11320.16,3537.55,0,0,3537.55
Niger,Tillaberi,Ouallam,413582,2,326729.78,70308.94,16543.28,0,0,16543.28
Niger,Tillaberi,Tillaberi,237466,1,197096.78,35619.9,4749.32,0,0,4749.32
Niger,Tillaberi,Tera,362943,1,319389.84,39923.73,3629.43,0,0,3629.43
Niger,Tillaberi,Bankillare,91644,2,71482.32,17412.36,2749.32,0,0,2749.32
Niger,Tillaberi,Gotheye,260211,1,244598.34,15612.66,0,0,0,0
Niger,Tillaberi,Say,189591,1,180111.45,9479.55,0,0,0,0
Niger,Tillaberi,Torodi,197135,1,163622.05,31541.6,1971.35,0,0,1971.35
Niger,Tillaberi,Kollo,494701,1,469965.95,24735.05,0,0,0,0
Niger,Tillaberi,Balleyara,112997,1,103957.24,9039.76,0,0,0,0
Niger,Tillaberi,Ayerou,84115,1,69815.45,13458.4,841.15,0,0,841.15
Niger,Zinder,Damagaram Takaya,116012.894679,1,98610.96047715,17401.93420185,0,0,0,0
Niger,Zinder,Dungass,498866.125824,2,344217.62681856,124716.531456,29931.96754944,0,0,29931.96754944
Niger,Zinder,Goure,356616.483482,2,249631.5384374,89154.1208705,17830.8241741,0,0,17830.8241741
Niger,Zinder,Kantché,434248.651669,1,390823.7865021,43424.8651669,0,0,0,0
Niger,Zinder,Magaria,540005.723136,1,486005.1508224,54000.5723136,0,0,0,0
Niger,Zinder,Mirriah,1010928.324636,1,909835.4921724,101092.8324636,0,0,0,0
Niger,Zinder,Takieta,318323.746674,1,286491.3720066,31832.3746674,0,0,0,0
Niger,Zinder,Tanout,465061.70115,1,381350.594943,69759.2551725,13951.8510345,0,0,13951.8510345
Niger,Zinder,Tarka,104523.199812,1,94070.8798308,10452.3199812,0,0,0,0
Niger,Zinder,Tasker,40394.009068,2,28275.8063476,10098.502267,2019.7004534,0,0,2019.7004534
