country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Niger,AGADEZ,Tchiro,156212,1,129655.96,26556.04,0,0,0,0
Niger,AGADEZ,Arlit,129728,2,94701.44,27242.88,7783.68,0,0,7783.68
Niger,AGADEZ,Iférouane,40429,1,34364.65,6064.35,0,0,0,0
Niger,AGADEZ,Aderbissinat,43628,1,36211.24,6544.2,872.56,0,0,872.56
Niger,AGADEZ,Ingall,64111,2,45518.81,14104.42,4487.77,0,0,4487.77
Niger,AGADEZ,Bilma,22154,2,14400.1,5538.5,2215.4,0,0,2215.4
Niger,DIFFA,Diffa Départ,127677,2,81713.28,34472.79,10214.16,1276.77,0,11490.93
Niger,DIFFA,Mainé Soroa,162758,2,104165.12,40689.5,16275.8,1627.58,0,17903.38
Niger,DIFFA,Goudoumaria,124307,2,94473.32,23618.33,6215.35,0,0,6215.35
Niger,DIFFA,BOSSO,94857,2,47428.5,36045.66,9485.7,1897.14,0,11382.84
Niger,DIFFA,N'GOURTI,63992,1,57592.8,5759.28,639.92,0,0,639.92
Niger,DIFFA,N'GUIGMI,90702,2,50793.12,32652.72,7256.16,0,0,7256.16
Niger,DOSSO,Doutchi,481866,2,375855.48,91554.54,14455.98,0,0,14455.98
Niger,DOSSO,Dosso DPT,521913,1,427968.66,88725.21,5219.13,0,0,5219.13
Niger,DOSSO,Loga,227099,2,172595.24,43148.81,11354.95,0,0,11354.95
Niger,DOSSO,Tibiri,349318,1,296920.3,52397.7,0,0,0,0
Niger,DOSSO,Boboye,326783,1,284301.21,42481.79,0,0,0,0
Niger,DOSSO,Dioundou,141808,1,120536.8,21271.2,0,0,0,0
Niger,DOSSO,Falmey,133601,2,105544.79,26720.2,1336.01,0,0,1336.01
Niger,DOSSO,Gaya,338480,1,287708,50772,0,0,0,0
Niger,MARADI,AGUIE,325281,1,269983.23,48792.15,6505.62,0,0,6505.62
Niger,MARADI,GAZAOUA,212277,1,174067.14,33964.32,4245.54,0,0,4245.54
Niger,MARADI,GUIDAN ROUMDI,692511,1,581709.24,103876.65,6925.11,0,0,6925.11
Niger,MARADI,MADAROUNFA,593532,1,504502.2,77159.16,11870.64,0,0,11870.64
Niger,MARADI,Bermo,69112,2,53216.24,14513.52,1382.24,0,0,1382.24
Niger,MARADI,Dakoro,833606,1,725237.22,108368.78,0,0,0,0
Niger,MARADI,Mayahi,736768,1,618885.12,110515.2,7367.68,0,0,7367.68
Niger,MARADI,TESSAOUA,682112,2,497941.76,163706.88,20463.36,0,0,20463.36
Niger,TAHOUA,Abalak,327959,2,242689.66,59032.62,26236.72,0,0,26236.72
Niger,TAHOUA,Tassara,31295,2,23471.25,6259,1564.75,0,0,1564.75
Niger,TAHOUA,Tillia,49896,2,36923.04,9480.24,3492.72,0,0,3492.72
Niger,TAHOUA,Tchinta.,185650,2,146663.5,31560.5,7426,0,0,7426
Niger,TAHOUA,Keita,431345,1,353702.9,64701.75,12940.35,0,0,12940.35
Niger,TAHOUA,TAHOUA DEP,552554,1,458619.82,88408.64,5525.54,0,0,5525.54
Niger,TAHOUA,ILLELA,430735,2,335973.3,86147,8614.7,0,0,8614.7
Niger,TAHOUA,BAGAROU,92505,2,69378.75,20351.1,2775.15,0,0,2775.15
Niger,TAHOUA,B Konni,400364,1,336305.76,60054.6,4003.64,0,0,4003.64
Niger,TAHOUA,Bouza,569879,1,467300.78,96879.43,5698.79,0,0,5698.79
Niger,TAHOUA,Madaoua,698061,1,621274.29,69806.1,6980.61,0,0,6980.61
Niger,TAHOUA,Malbaza,297384,1,249802.56,44607.6,2973.84,0,0,2973.84
Niger,TILLABERI,Say,227172,1,184009.32,40890.96,2271.72,0,0,2271.72
Niger,TILLABERI,Bankilaré,109810,1,88946.1,14275.3,6588.6,0,0,6588.6
Niger,TILLABERI,Gothèye,311790,2,236960.4,68593.8,6235.8,0,0,6235.8
Niger,TILLABERI,Téra,434886,2,304420.2,108721.5,21744.3,0,0,21744.3
Niger,TILLABERI,Torodi,236211,2,172434.03,44880.09,16534.77,2362.11,0,18896.88
Niger,TILLABERI,Abala,186636,3,95184.36,46659,41059.92,3732.72,0,44792.64
Niger,TILLABERI,Ayérou,73769,3,33196.05,19917.63,18442.25,2213.07,0,20655.32
Niger,TILLABERI,Banibangou,86599,3,37237.57,24247.72,22515.74,2597.97,0,25113.71
Niger,TILLABERI,Balleyara,138578,2,102547.72,34644.5,1385.78,0,0,1385.78
Niger,TILLABERI,Fillingué,396752,2,273758.88,99188,23805.12,0,0,23805.12
Niger,TILLABERI,Kollo,601996,2,469556.88,132439.12,0,0,0,0
Niger,TILLABERI,Ouallam,423266,3,203167.68,118514.48,84653.2,16930.64,0,101583.84
Niger,TILLABERI,Tillaberi,232410,2,165011.1,58102.5,9296.4,0,0,9296.4
Niger,ZINDER,BELBEDJI,126558,2,86059.44,31639.5,8859.06,0,0,8859.06
Niger,ZINDER,D/TAKAYA,316446,1,281636.94,31644.6,3164.46,0,0,3164.46
Niger,ZINDER,GOURE,430141,2,309701.52,111836.66,8602.82,0,0,8602.82
Niger,ZINDER,TANOUT,563102,2,411064.46,140775.5,11262.04,0,0,11262.04
Niger,ZINDER,TESKER,48722,1,43849.8,4872.2,0,0,0,0
Niger,ZINDER,DUNGASS,464321,2,352883.96,97507.41,13929.63,0,0,13929.63
Niger,ZINDER,KANTCHE,523779,2,387596.46,130944.75,5237.79,0,0,5237.79
Niger,ZINDER,MAGARIA,758076,2,583718.52,166776.72,7580.76,0,0,7580.76
Niger,ZINDER,MIRRIAH,665907,1,559361.88,106545.12,0,0,0,0
Niger,ZINDER,TAKIETA,323858,2,223462.02,90680.24,9715.74,0,0,9715.74
Niger,NIAMEY,ACN1,261213,1,229867.44,31345.56,0,0,0,0
Niger,NIAMEY,ACN2,307081,1,276372.9,30708.1,0,0,0,0
Niger,NIAMEY,ACN3,202950,1,182655,20295,0,0,0,0
Niger,NIAMEY,ACN4,341391,1,290182.35,51208.65,0,0,0,0
Niger,NIAMEY,ACN5,164513,1,136545.79,27967.21,0,0,0,0
