country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Nigeria,ADAMAWA,Madagali,184502,4,23985.26,46125.5,73800.8,36900.4,3690.04,114391.24
Nigeria,ADAMAWA,Michika,212521,4,51005.04,53130.25,65881.51,40378.99,2125.21,108385.71
Nigeria,ADAMAWA,Mubi North,206732,2,155049,41346.4,10336.6,0,0,10336.6
Nigeria,ADAMAWA,Mubi South,176442,3,79398.9,47639.34,35288.4,14115.36,0,49403.76
Nigeria,ADAMAWA,Maiha,152191,3,48701.12,57832.58,38047.75,7609.55,0,45657.3
Nigeria,ADAMAWA,Gombi,200379,3,60113.7,70132.65,48090.96,22041.69,0,70132.65
Nigeria,ADAMAWA,Hong,231438,3,57859.5,115719,39344.46,18515.04,0,57859.5
Nigeria,ADAMAWA,Song,263693,2,158215.8,79107.9,26369.3,0,0,26369.3
Nigeria,ADAMAWA,Girei,177890,2,133417.5,26683.5,14231.2,3557.8,0,17789
Nigeria,ADAMAWA,Yola North,271288,3,100376.56,111228.08,46118.96,13564.4,0,59683.36
Nigeria,ADAMAWA,Yola South,266307,2,202393.32,37282.98,23967.63,2663.07,0,26630.7
Nigeria,ADAMAWA,Fufore,283659,3,85097.7,124809.96,53895.21,19856.13,0,73751.34
Nigeria,ADAMAWA,Guyuk,243287,3,77851.84,109479.15,43791.66,12164.35,0,55956.01
Nigeria,ADAMAWA,Shelleng,203991,1,187671.72,14279.37,2039.91,0,0,2039.91
Nigeria,ADAMAWA,Ganye,224542,2,166161.08,35926.72,17963.36,4490.84,0,22454.2
Nigeria,ADAMAWA,Demsa,246662,1,221995.8,24666.2,0,0,0,0
Nigeria,ADAMAWA,Lamurde,154364,1,135840.32,15436.4,3087.28,0,0,3087.28
Nigeria,ADAMAWA,Mayo Belwa,209547,2,157160.25,33527.52,18859.23,0,0,18859.23
Nigeria,ADAMAWA,Toungo,71213,1,64091.7,4984.91,2136.39,0,0,2136.39
Nigeria,ADAMAWA,Numan,124149,2,80696.85,33520.23,8690.43,1241.49,0,9931.92
Nigeria,ADAMAWA,Jada,230544,2,142937.28,76079.52,11527.2,0,0,11527.2
Nigeria,BAUCHI,CENTRAL,2041836,2,1429285.2,571714.08,40836.72,0,0,40836.72
Nigeria,BAUCHI,NORTHERN,2129893,2,1448327.24,638967.9,42597.86,0,0,42597.86
Nigeria,BAUCHI,SOUTHERN,2421387,1,2082392.82,314780.31,24213.87,0,0,24213.87
Nigeria,BENUE,Central,1484603,1,1336142.7,133614.27,14846.03,0,0,14846.03
Nigeria,BENUE,North,1972508,1,1716081.96,216975.88,39450.16,0,0,39450.16
Nigeria,BENUE,South,1790286,1,1593354.54,179028.6,17902.86,0,0,17902.86
Nigeria,BORNO,Bama,391294.612631015,4,93910.7070314436,117388.383789305,97823.6531577538,78258.922526203,3912.94612631015,179995.521810267
Nigeria,BORNO,MMC,782271.467198239,3,234681.440159472,297263.157535331,211213.296143524,39113.5733599119,0,250326.869503436
Nigeria,BORNO,Jere,302921,3,87847.09,127226.82,69671.83,18175.26,0,87847.09
Nigeria,BORNO,Mafa,150079,4,37519.75,45023.7,37519.75,28515.01,1500.79,67535.55
Nigeria,BORNO,Kalabalge,88128,4,20269.44,28200.96,21150.72,17625.6,881.28,39657.6
Nigeria,BORNO,Dikwa,152169,3,39563.94,56302.53,42607.32,13695.21,0,56302.53
Nigeria,BORNO,Konduga,227905,4,54697.2,66092.45,56976.25,48999.575,1139.525,107115.35
Nigeria,BORNO,Ngala,342592,4,92499.84,95925.76,82222.08,68518.4,3425.92,154166.4
Nigeria,BORNO,Askira /Uba,207606,4,47749.38,51901.5,62281.8,44427.684,1245.636,107955.12
Nigeria,BORNO,Biu,254610,3,76383,109482.3,53468.1,15276.6,0,68744.7
Nigeria,BORNO,Damboa,337814,4,74319.08,91209.78,101344.2,67562.8,3378.14,172285.14
Nigeria,BORNO,Chibok,960974,4,201804.54,249853.24,297901.94,202477.2218,9609.74,509988.9018
Nigeria,BORNO,Gwoza,400644,4,84135.24,100161,128206.08,86539.104,1602.576,216347.76
Nigeria,BORNO,Bayo,414552,3,136802.16,157529.76,99492.48,20727.6,0,120220.08
Nigeria,BORNO,Shani,146291,3,51201.85,55590.58,32184.02,7314.55,0,39498.57
Nigeria,BORNO,Hawul,174901,3,66462.38,64713.37,36729.21,6996.04,0,43725.25
Nigeria,BORNO,Kwaya Kusar,821282,3,295661.52,303874.34,180682.04,41064.1,0,221746.14
Nigeria,BORNO,Abadam,144958,4,27542.02,37689.08,46386.56,31165.97,1449.58,79002.11
Nigeria,BORNO,Gubio ,219155,3,65746.5,83278.9,50405.65,19723.95,0,70129.6
Nigeria,BORNO,Guzamala,139055,4,29201.55,33373.2,43107.05,31426.43,1390.55,75924.03
Nigeria,BORNO,Kaga,130366,3,45628.1,45628.1,29984.18,9125.62,0,39109.8
Nigeria,BORNO,Kukawa,294561,4,64803.42,70694.64,94259.52,59795.883,2945.61,157001.013
Nigeria,BORNO,Magumeri,203181,4,46731.63,52827.06,62986.11,38604.39,2031.81,103622.31
Nigeria,BORNO,Monguno,159111,3,47733.3,63644.4,35004.42,12728.88,0,47733.3
Nigeria,BORNO,Nganzai,143524,3,35881,64585.8,28704.8,14352.4,0,43057.2
Nigeria,BORNO,Marte,187465,4,35618.35,48740.9,59988.8,40304.975,1874.65,102168.425
Nigeria,BORNO,Mobbar,168961,4,33792.2,40550.64,55757.13,36326.615,1689.61,93773.355
Nigeria,GOMBE,Gombe central,812691,1,715168.08,97522.92,0,0,0,0
Nigeria,GOMBE,Gombe north,1431663,2,1102380.51,300649.23,28633.26,0,0,28633.26
Nigeria,GOMBE,Gombe south,983117,1,806155.94,167129.89,9831.17,0,0,9831.17
Nigeria,JIGAWA,NORTH EAST,1433096,1,1261124.48,157640.56,14330.96,0,0,14330.96
Nigeria,JIGAWA,NORTH SOUTH ,1942020,1,1670137.2,252462.6,19420.2,0,0,19420.2
Nigeria,JIGAWA,NORTH WEST ,2407484,1,2022286.56,337047.76,48149.68,0,0,48149.68
Nigeria,KADUNA,NORTH,2858546,1,2429764.1,371610.98,57170.92,0,0,57170.92
