country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Nigeria,ADAMAWA,Madagali,184502,4,20295.22,36900.4,83025.9,40590.44,3690.04,127306.38
Nigeria,ADAMAWA,Michika,212521,3,87133.61,59505.88,42504.2,23377.31,0,65881.51
Nigeria,ADAMAWA,Mubi North,206732,2,150914.36,37211.76,16538.56,2067.32,0,18605.88
Nigeria,ADAMAWA,Mubi South,176442,3,81163.32,58225.86,33523.98,3528.84,0,37052.82
Nigeria,ADAMAWA,Maiha,152191,3,31960.11,66964.04,48701.12,4565.73,0,53266.85
Nigeria,ADAMAWA,Gombi,200379,3,70132.65,80151.6,40075.8,10018.95,0,50094.75
Nigeria,ADAMAWA,Hong,231438,3,64802.64,127290.9,39344.46,0,0,39344.46
Nigeria,ADAMAWA,Song,263693,3,158215.8,73834.04,29006.23,2636.93,0,31643.16
Nigeria,ADAMAWA,Girei,177890,1,149427.6,24904.6,3557.8,0,0,3557.8
Nigeria,ADAMAWA,Yola North,271288,3,94950.8,122079.6,54257.6,0,0,54257.6
Nigeria,ADAMAWA,Yola South,266307,2,95870.52,141142.71,23967.63,0,0,23967.63
Nigeria,ADAMAWA,Fufore,283659,2,181541.76,85097.7,17019.54,0,0,17019.54
Nigeria,ADAMAWA,Guyuk,243287,2,92449.06,94881.93,53523.14,2432.87,0,55956.01
Nigeria,ADAMAWA,Shelleng,203991,1,183591.9,16319.28,4079.82,0,0,4079.82
Nigeria,ADAMAWA,Ganye,224542,1,195351.54,17963.36,11227.1,0,0,11227.1
Nigeria,ADAMAWA,Demsa,246662,1,204729.46,39465.92,2466.62,0,0,2466.62
Nigeria,ADAMAWA,Lamurde,154364,1,138927.6,10805.48,4630.92,0,0,4630.92
Nigeria,ADAMAWA,Mayo Belwa,209547,3,81723.33,85914.27,39813.93,2095.47,0,41909.4
Nigeria,ADAMAWA,Toungo,71213,1,61243.18,7833.43,2136.39,0,0,2136.39
Nigeria,ADAMAWA,Numan,124149,2,93111.75,18622.35,12414.9,0,0,12414.9
Nigeria,ADAMAWA,Jada,230544,2,138326.4,78384.96,13832.64,0,0,13832.64
Nigeria,BAUCHI,CENTRAL,2041836,2,1327193.4,653387.52,61255.08,0,0,61255.08
Nigeria,BAUCHI,NORTHERN,2129893,2,1341832.59,724163.62,63896.79,0,0,63896.79
Nigeria,BAUCHI,SOUTHERN,2421387,1,1985537.34,411635.79,24213.87,0,0,24213.87
Nigeria,BENUE,Central,1484603,1,1276758.58,163306.33,44538.09,0,0,44538.09
Nigeria,BENUE,North,1972508,1,1676631.8,236700.96,59175.24,0,0,59175.24
Nigeria,BENUE,South,1790286,2,1414325.94,304348.62,71611.44,0,0,71611.44
Nigeria,BORNO,Bama,391294.612631015,4,78258.922526203,109562.491536684,117388.383789305,82171.8686525132,3912.94612631015,203473.198568128
Nigeria,BORNO,MMC,782271.467198239,3,195567.86679956,273795.013519384,258149.584175419,54759.0027038767,0,312908.586879296
Nigeria,BORNO,Jere,302921,3,69671.83,96934.72,112080.77,24233.68,0,136314.45
Nigeria,BORNO,Mafa,150079,4,30015.8,45023.7,45023.7,28515.01,1500.79,75039.5
Nigeria,BORNO,Kalabalge,88128,4,18506.88,26438.4,24675.84,17625.6,881.28,43182.72
Nigeria,BORNO,Dikwa,152169,4,28912.11,42607.32,47172.39,31955.49,1521.69,80649.57
Nigeria,BORNO,Konduga,227905,4,50139.1,61534.35,68371.5,45581,2279.05,116231.55
Nigeria,BORNO,Ngala,342592,4,82222.08,89073.92,99351.68,68518.4,3425.92,171296
Nigeria,BORNO,Askira /Uba,207606,4,49825.44,51901.5,60205.74,43597.26,2076.06,105879.06
Nigeria,BORNO,Biu,254610,3,71290.8,94205.7,63652.5,25461,0,89113.5
Nigeria,BORNO,Damboa,337814,3,91209.78,135125.6,84453.5,27025.12,0,111478.62
