country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Nigeria,ADAMAWA,Demsa,275469,2,137734.5,107432.91,30301.59,0,0,30301.59
Nigeria,ADAMAWA,Fufore,317359,2,206283.35,104728.47,6347.18,0,0,6347.18
Nigeria,ADAMAWA,Ganye,257492,2,195693.92,61798.08,0,0,0,0
Nigeria,ADAMAWA,Girei,196747,2,118048.2,59024.1,19674.7,0,0,19674.7
Nigeria,ADAMAWA,Gombi,223916,2,82848.92,100762.2,40304.88,0,0,40304.88
Nigeria,ADAMAWA,Guyuk,267427,2,187198.9,74879.56,5348.54,0,0,5348.54
Nigeria,ADAMAWA,Hong,256333,2,99969.87,115349.85,41013.28,0,0,41013.28
Nigeria,ADAMAWA,Jada,255216,2,196516.32,56147.52,2552.16,0,0,2552.16
Nigeria,ADAMAWA,Lamurde,168564,3,58997.4,67425.6,42141,0,0,42141
Nigeria,ADAMAWA,Madagali,204759,3,32761.44,100331.91,65522.88,6142.77,0,71665.65
Nigeria,ADAMAWA,Maiha,166929,3,56755.86,70110.18,40062.96,0,0,40062.96
Nigeria,ADAMAWA,Mayo Belwa,231516,2,150485.4,69454.8,11575.8,0,0,11575.8
Nigeria,ADAMAWA,Michika,235205,3,82321.75,94082,58801.25,0,0,58801.25
Nigeria,ADAMAWA,Mubi North,229264,2,155899.52,68779.2,4585.28,0,0,4585.28
Nigeria,ADAMAWA,Mubi South,196899,2,124046.37,68914.65,3937.98,0,0,3937.98
Nigeria,ADAMAWA,Numan,138708,3,26354.52,58257.36,45773.64,8322.48,0,54096.12
Nigeria,ADAMAWA,Shelleng,224981,2,157486.7,58495.06,8999.24,0,0,8999.24
Nigeria,ADAMAWA,Song,295734,2,212928.48,70976.16,11829.36,0,0,11829.36
Nigeria,ADAMAWA,Toungo,79057,2,62455.03,14230.26,2371.71,0,0,2371.71
Nigeria,ADAMAWA,Yola North,302531,2,205721.08,90759.3,6050.62,0,0,6050.62
Nigeria,ADAMAWA,Yola South,297263,2,181330.43,104042.05,11890.52,0,0,11890.52
Nigeria,Bauchi,Central,2185513,1,1813975.79,327826.95,43710.26,0,0,43710.26
Nigeria,Bauchi,Northern,2279765,2,1595835.5,615536.55,68392.95,0,0,68392.95
Nigeria,Bauchi,Southern,2591767,1,2203001.95,388765.05,0,0,0,0
Nigeria,Benue,Central,2222274,1,1800041.94,377786.58,44445.48,0,0,44445.48
Nigeria,Benue,North,2102875,2,1577156.25,462632.5,63086.25,0,0,63086.25
Nigeria,Benue,South,1919815,1,1631842.75,249575.95,38396.3,0,0,38396.3
Nigeria,Borno,Askira Uba,281932,3,42289.8,126869.4,98676.2,14096.6,0,112772.8
Nigeria,Borno,Bama,126125,3,6306.25000000001,44143.75,63062.5,12612.5,0,75675
Nigeria,Borno,Bayo,122172,2,48868.8,61086,12217.2,0,0,12217.2
