country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35,status
Nigeria,Adamawa,Madagali,210083,3,63024.9,88234.86,46218.26,12604.98,0,58823.24,outofcamp
Nigeria,Adamawa,Michika,241320,2,164097.6,48264,28958.4,0,0,28958.4,outofcamp
Nigeria,Adamawa,Mubi North,235225,2,134078.25,70567.5,30579.25,0,0,30579.25,outofcamp
Nigeria,Adamawa,Mubi South,202018,2,115150.26,60605.4,26262.34,0,0,26262.34,outofcamp
Nigeria,Adamawa,Maiha,171269,1,140440.58,25690.35,5138.07,0,0,5138.07,outofcamp
Nigeria,Adamawa,Gombi,229738,2,147032.32,66624.02,16081.66,0,0,16081.66,outofcamp
Nigeria,Adamawa,Hong,262998,1,223548.3,28929.78,10519.92,0,0,10519.92,outofcamp
Nigeria,Adamawa,Song,303423,2,160814.19,97095.36,42479.22,3034.23,0,45513.45,outofcamp
Nigeria,Adamawa,Girei,201862,2,119098.58,60558.6,16148.96,6055.86,0,22204.82,outofcamp
Nigeria,Adamawa,Yola North,310397,1,260733.48,40351.61,9311.91,0,0,9311.91,outofcamp
Nigeria,Adamawa,Yola South,304992,1,256193.28,36599.04,12199.68,0,0,12199.68,outofcamp
Nigeria,Adamawa,Fufore,325610,2,179085.5,97683,45585.4,3256.1,0,48841.5,outofcamp
Nigeria,Adamawa,Guyuk,274380,3,90545.4,85057.8,90545.4,8231.4,0,98776.8,outofcamp
Nigeria,Adamawa,Shelleng,230831,2,120032.12,80790.85,30008.03,0,0,30008.03,outofcamp
Nigeria,Adamawa,Ganye,264187,2,153228.46,84539.84,26418.7,0,0,26418.7,outofcamp
Nigeria,Adamawa,Demsa,282631,2,186536.46,70657.75,25436.79,0,0,25436.79,outofcamp
Nigeria,Adamawa,Lamurde,172947,1,141816.54,24212.58,6917.88,0,0,6917.88,outofcamp
Nigeria,Adamawa,Mayo Belwa,237535,3,59383.75,102140.05,71260.5,4750.7,0,76011.2,outofcamp
Nigeria,Adamawa,Toungo,81112,2,48667.2,23522.48,8922.32,0,0,8922.32,outofcamp
Nigeria,Adamawa,Numan,142314,2,76849.56,44117.34,19923.96,1423.14,0,21347.1,outofcamp
Nigeria,Adamawa,Jada,261852,1,217337.16,36659.28,7855.56,0,0,7855.56,outofcamp
Nigeria,Bauchi,Dambam,233088,1,198124.8,32632.32,2330.88,0,0,2330.88,outofcamp
Nigeria,Bauchi,Darazo,388573,1,330287.05,54400.22,3885.73,0,0,3885.73,outofcamp
Nigeria,Bauchi,Ganjuwa,433162,1,368187.7,60642.68,4331.62,0,0,4331.62,outofcamp
Nigeria,Bauchi,Misau,406936,1,345895.6,56971.04,4069.36,0,0,4069.36,outofcamp
Nigeria,Bauchi,Ningi,597989,1,508290.65,83718.46,5979.89,0,0,5979.89,outofcamp
Nigeria,Bauchi,Warji,177177,1,150600.45,24804.78,1771.77,0,0,1771.77,outofcamp
Nigeria,Bauchi,Gamawa,442305,1,362690.1,70768.8,8846.1,0,0,8846.1,outofcamp
Nigeria,Bauchi,Giade,242427,1,198790.14,38788.32,4848.54,0,0,4848.54,outofcamp
