country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35,status
Nigeria,Borno,Kukawa,0,0,0,0,0,0,0,0,outofcamp
Nigeria,Borno,Guzamala,0,0,0,0,0,0,0,0,outofcamp
Nigeria,Borno,Abadam,0,0,0,0,0,0,0,0,outofcamp
Nigeria,Borno,Marte,0,0,0,0,0,0,0,0,outofcamp
Nigeria,Katsina,Kusada,132800,1,122176,10624,0,0,0,0,outofcamp
Nigeria,Katsina,Mashi,230900,1,212428,18472,0,0,0,0,outofcamp
Nigeria,Katsina,Mani,238000,1,218960,19040,0,0,0,0,outofcamp
Nigeria,Katsina,Sandamu,184900,1,170108,14792,0,0,0,0,outofcamp
Nigeria,Katsina,Baure,273900,1,251988,21912,0,0,0,0,outofcamp
Nigeria,Katsina,Mai Addua,272400,1,250608,21792,0,0,0,0,outofcamp
Nigeria,Katsina,Daura,303600,1,279312,24288,0,0,0,0,outofcamp
Nigeria,Katsina,Zango,210600,1,193752,16848,0,0,0,0,outofcamp
Nigeria,Katsina,Kankia,204400,1,188048,16352,0,0,0,0,outofcamp
Nigeria,Katsina,Bindawa,203800,1,187496,16304,0,0,0,0,outofcamp
Nigeria,Katsina,Dutsi,163200,1,150144,13056,0,0,0,0,outofcamp
Nigeria,Kebbi,ALIERO,101287,1,84068.21,16205.92,1012.87,0,0,1012.87,outofcamp
Nigeria,Zamfara,Anka,115110,1,96692.4,17266.5,1151.1,0,0,1151.1,outofcamp
Nigeria,Taraba,GASHAKA,127972,1,110055.92,16636.36,1279.72,0,0,1279.72,outofcamp
Nigeria,Kebbi,KALGO,128240,1,106439.2,20518.4,1282.4,0,0,1282.4,outofcamp
Nigeria,Bauchi,Bogoro,130064,1,105351.84,23411.52,1300.64,0,0,1300.64,outofcamp
Nigeria,Taraba,ARDO KOLA,131816,1,113361.76,17136.08,1318.16,0,0,1318.16,outofcamp
Nigeria,Taraba,YORRO,131934,1,113463.24,17151.42,1319.34,0,0,1319.34,outofcamp
Nigeria,Taraba,KURMI,134015,1,115252.9,17421.95,1340.15,0,0,1340.15,outofcamp
Nigeria,Bauchi,Dass,138910,1,112517.1,25003.8,1389.1,0,0,1389.1,outofcamp
Nigeria,Taraba,LAU,139753,1,120187.58,18167.89,1397.53,0,0,1397.53,outofcamp
Nigeria,Katsina,Matazu,153600,1,136704,15360,1536,0,0,1536,outofcamp
Nigeria,Katsina,Danja,169400,1,150766,16940,1694,0,0,1694,outofcamp
Nigeria,Kebbi,AUGIE,175714,1,152871.18,21085.68,1757.14,0,0,1757.14,outofcamp
Nigeria,Niger,Agwara,88491,1,74332.44,12388.74,1769.82,0,0,1769.82,outofcamp
Nigeria,Kebbi,BUNZA,186554,1,154839.82,29848.64,1865.54,0,0,1865.54,outofcamp
Nigeria,Benue,TARKA,117095,1,96486.28,18735.2,1873.52,0,0,1873.52,outofcamp
Nigeria,Taraba,ZING,187460,1,161215.6,24369.8,1874.6,0,0,1874.6,outofcamp
Nigeria,Katsina,Sabuwa,189900,1,169011,18990,1899,0,0,1899,outofcamp
Nigeria,Katsina,Dandume,196200,1,174618,19620,1962,0,0,1962,outofcamp
Nigeria,Katsina,Bakori,201800,1,179602,20180,2018,0,0,2018,outofcamp
Nigeria,Taraba,JALINGO,206007,1,177166.02,26780.91,2060.07,0,0,2060.07,outofcamp
Nigeria,Sokoto,TURETA,107424,1,90236.16,15039.36,2148.48,0,0,2148.48,outofcamp
Nigeria,Kebbi,DANDI,220776,1,192075.12,26493.12,2207.76,0,0,2207.76,outofcamp
Nigeria,Kebbi,SURU,224194,1,195048.78,26903.28,2241.94,0,0,2241.94,outofcamp
Nigeria,Gombe,Kaltungo,225612,1,198538.56,24817.32,2256.12,0,0,2256.12,outofcamp
Nigeria,Bauchi,Kirfi,227985,1,184667.85,41037.3,2279.85,0,0,2279.85,outofcamp
Nigeria,Kebbi,GWANDU,228123,1,189342.09,36499.68,2281.23,0,0,2281.23,outofcamp
Nigeria,Gombe,Shongom,228195,1,200811.6,25101.45,2281.95,0,0,2281.95,outofcamp
Nigeria,Katsina,Ingawa,228300,1,207753,18264,2283,0,0,2283,outofcamp
Nigeria,Katsina,Musawa,229500,1,204255,22950,2295,0,0,2295,outofcamp
Nigeria,Kebbi,KOKO/BESSE,233772,1,194030.76,37403.52,2337.72,0,0,2337.72,outofcamp
Nigeria,Katsina,Malumfashi,246900,1,219741,24690,2469,0,0,2469,outofcamp
Nigeria,Taraba,IBI,123776,1,102734.08,18566.4,2475.52,0,0,2475.52,outofcamp
Nigeria,Niger,Wushishi,126276,1,106071.84,17678.64,2525.52,0,0,2525.52,outofcamp
Nigeria,Kebbi,MAIYAMA,262372,1,217768.76,41979.52,2623.72,0,0,2623.72,outofcamp
Nigeria,Katsina,Faskari,262400,1,233536,26240,2624,0,0,2624,outofcamp
Nigeria,Taraba,USSA,133438,1,110753.54,20015.7,2668.76,0,0,2668.76,outofcamp
Nigeria,Kebbi,SAKABA,138508,1,113576.56,22161.28,2770.16,0,0,2770.16,outofcamp
Nigeria,Zamfara,Bakura,282579,1,237366.36,42386.85,2825.79,0,0,2825.79,outofcamp
Nigeria,Katsina,Kafur,282600,1,251514,28260,2826,0,0,2826,outofcamp
Nigeria,Jigawa,BUJI,142015,1,122132.9,17041.8,2840.3,0,0,2840.3,outofcamp
Nigeria,Taraba,KARIM LAMIDO,284709,1,244849.74,37012.17,2847.09,0,0,2847.09,outofcamp
Nigeria,Kebbi,AREWA,286486,1,249242.82,34378.32,2864.86,0,0,2864.86,outofcamp
Nigeria,Benue,GWER WEST,180654,1,148858.896,28904.64,2890.464,0,0,2890.464,outofcamp
Nigeria,Sokoto,TANGAZA,146252,1,125776.72,17550.24,2925.04,0,0,2925.04,outofcamp
Nigeria,Kebbi,JEGA,298610,1,247846.3,47777.6,2986.1,0,0,2986.1,outofcamp
Nigeria,Sokoto,KWARE,151179,1,130013.94,18141.48,3023.58,0,0,3023.58,outofcamp
Nigeria,Kebbi,ARGUNGU,302371,1,263062.77,36284.52,3023.71,0,0,3023.71,outofcamp
Nigeria,Kebbi,YAURI,151851,1,124517.82,24296.16,3037.02,0,0,3037.02,outofcamp
Nigeria,Katsina,Funtua,303900,1,270471,30390,3039,0,0,3039,outofcamp
Nigeria,Gombe,Billiri,304437,1,267904.56,33488.07,3044.37,0,0,3044.37,outofcamp
Nigeria,Jigawa,HADEJIA,152237,1,130923.82,18268.44,3044.74,0,0,3044.74,outofcamp
Nigeria,Zamfara,Gummi,309240,1,259761.6,46386,3092.4,0,0,3092.4,outofcamp
Nigeria,Taraba,BALI,309817,1,266442.62,40276.21,3098.17,0,0,3098.17,outofcamp
Nigeria,Sokoto,SILAME,155610,1,133824.6,18673.2,3112.2,0,0,3112.2,outofcamp
Nigeria,Borno,Bama,12484,3,4993.6,4369.4,3121,0,0,3121,incamp
Nigeria,Zamfara,Maradun,318785,1,267779.4,47817.75,3187.85,0,0,3187.85,outofcamp
Nigeria,Zamfara,Bukkuyum,319965,1,268770.6,47994.75,3199.65,0,0,3199.65,outofcamp
Nigeria,Gombe,Balanga,320107,1,281694.16,35211.77,3201.07,0,0,3201.07,outofcamp
Nigeria,Sokoto,YABO,160960,1,135206.4,22534.4,3219.2,0,0,3219.2,outofcamp
Nigeria,Zamfara,Talata Nafara,325234,1,273196.56,48785.1,3252.34,0,0,3252.34,outofcamp
Nigeria,Katsina,Kankara,328400,1,292276,32840,3284,0,0,3284,outofcamp
Nigeria,Taraba,SARDAUNA,329403,1,283286.58,42822.39,3294.03,0,0,3294.03,outofcamp
Nigeria,Jigawa,GURI,165487,1,142318.82,19858.44,3309.74,0,0,3309.74,outofcamp
Nigeria,Sokoto,ILLELA,167255,1,147184.4,16725.5,3345.1,0,0,3345.1,outofcamp
Nigeria,Jigawa,RONI,113009,1,94927.56,14691.17,3390.27,0,0,3390.27,outofcamp
Nigeria,Bauchi,Tafawa Balewa,339755,1,275201.55,61155.9,3397.55,0,0,3397.55,outofcamp
Nigeria,Bauchi,Warji,177177,1,145285.14,28348.32,3543.54,0,0,3543.54,outofcamp
