country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Senegal,Tambacounda,Bakel,138867,2,48603.45,73599.51,16664.04,0,0,16664.04
Senegal,Diourbel,Bambey,301716,2,196115.4,90514.8,15085.8,0,0,15085.8
Senegal,Ziguinchor,Bignona,252556,2,189417,42934.52,20204.48,0,0,20204.48
Senegal,Kaffrine,Birkelane,111216,1,94533.6,11121.6,5560.8,0,0,5560.8
Senegal,Sedhiou,Bounkiling,145569,1,120822.27,17468.28,7278.45,0,0,7278.45
Senegal,Saint Louis,Dagana,242704,1,206298.4,24270.4,12135.2,0,0,12135.2
Senegal,Diourbel,Diourbel,268314,2,187819.8,67078.5,13415.7,0,0,13415.7
Senegal,Fatick,Fatick,338816,2,213454.08,101644.8,23717.12,0,0,23717.12
Senegal,Fatick,Foundiougne,279952,2,209964,55990.4,13997.6,0,0,13997.6
Senegal,Fatick,Gossas,95624,2,66936.8,23906,4781.2,0,0,4781.2
Senegal,Tambacounda,Goudiry,114846,2,31008.42,66610.68,17226.9,0,0,17226.9
Senegal,Sedhiou,Goudomp,156097,2,106145.96,31219.4,18731.64,0,0,18731.64
Senegal,Kaolack,Guinguineo,115183,1,93298.23,14973.79,6910.98,0,0,6910.98
Senegal,Kaffrine,Kaffrine,207676,1,174447.84,26997.88,6230.28,0,0,6230.28
Senegal,Matam,Kanel,239200,2,145912,59800,33488,0,0,33488
Senegal,Kaolack,Kaolack,488765,2,376349.05,97753,14662.95,0,0,14662.95
Senegal,Louga,Kebemer,259430,2,168629.5,77829,12971.5,0,0,12971.5
Senegal,Kedougou,Kedougou,75853,2,54614.16,15170.6,6068.24,0,0,6068.24
Senegal,Kolda,Kolda,245990,2,167273.2,54117.8,24599,0,0,24599
Senegal,Tambacounda,Koumpentoum,128433,1,113021.04,12843.3,2568.66,0,0,2568.66
Senegal,Kaffrine,Koungheul,163438,1,135653.54,14709.42,13075.04,0,0,13075.04
Senegal,Louga,Linguere,243257,2,133791.35,97302.8,24325.7,0,0,24325.7
Senegal,Louga,Louga,371507,2,222904.2,130027.45,18575.35,0,0,18575.35
Senegal,Kaffrine,Malem Hodar,94661,1,82355.07,8519.49,3786.44,0,0,3786.44
Senegal,Matam,Matam,272458,2,177097.7,68114.5,27245.8,0,0,27245.8
Senegal,Diourbel,MBacke,927426,2,649198.2,231856.5,46371.3,0,0,46371.3
Senegal,Thies,Mbour,670982,2,523365.96,134196.4,13419.64,0,0,13419.64
Senegal,Kolda,Medina Yoro Foulah,138084,2,99420.48,24855.12,13808.4,0,0,13808.4
Senegal,Kaolack,Nioro du Rip,356926,1,314094.88,35692.6,7138.52,0,0,7138.52
Senegal,Ziguinchor,Oussouye,48331,2,33831.7,9666.2,4833.1,0,0,4833.1
Senegal,Saint Louis,Podor,372092,2,260464.4,74418.4,37209.2,0,0,37209.2
Senegal,Matam,Ranerou,50881,2,33072.65,12720.25,5088.1,0,0,5088.1
Senegal,Dakar,Rufisque,490694,1,431810.72,49069.4,9813.88,0,0,9813.88
Senegal,Saint Louis,Saint Louis,294146,1,258848.48,29414.6,5882.92,0,0,5882.92
Senegal,Kedougou,Salemata,22111,2,15919.92,3979.98,2211.1,0,0,2211.1
Senegal,Kedougou,Saraya,50724,2,38043,7608.6,5072.4,0,0,5072.4
Senegal,Sedhiou,Sedhiou,151327,1,125601.41,18159.24,7566.35,0,0,7566.35
Senegal,Tambacounda,Tambacounda,299162,2,158555.86,89748.6,50857.54,0,0,50857.54
Senegal,Thies,Thies,665770,2,505985.2,146469.4,13315.4,0,0,13315.4
Senegal,Thies,Tivaouane,452112,2,325520.64,113028,13563.36,0,0,13563.36
Senegal,Kolda,Velingara,278381,2,194866.7,55676.2,27838.1,0,0,27838.1
Senegal,Ziguinchor,Ziguinchor,248264,2,186198,49652.8,12413.2,0,0,12413.2
