country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Senegal,Tambacounda,Bakel,138867,3,24996.06,83320.2,30550.74,0,0,30550.74
Senegal,Diourbel,Bambey,301716,2,165943.8,105600.6,30171.6,0,0,30171.6
Senegal,Ziguinchor,Bignona,252556,2,136380.24,93445.72,22730.04,0,0,22730.04
Senegal,Kaffrine,Birkelane,111216,2,86748.48,16682.4,7785.12,0,0,7785.12
Senegal,Sedhiou,Bounkiling,145569,2,82974.33,49493.46,13101.21,0,0,13101.21
Senegal,Saint Louis,Dagana,242704,1,201444.32,29124.48,12135.2,0,0,12135.2
Senegal,Diourbel,Diourbel,268314,2,174404.1,80494.2,13415.7,0,0,13415.7
Senegal,Fatick,Fatick,338816,2,203289.6,101644.8,33881.6,0,0,33881.6
Senegal,Fatick,Foundiougne,279952,2,209964,55990.4,13997.6,0,0,13997.6
Senegal,Fatick,Gossas,95624,2,68849.28,19124.8,7649.92,0,0,7649.92
Senegal,Tambacounda,Goudiry,114846,3,18375.36,68907.6,27563.04,0,0,27563.04
Senegal,Sedhiou,Goudomp,156097,2,87414.32,56194.92,12487.76,0,0,12487.76
Senegal,Kaolack,Guinguineo,115183,2,43769.54,49528.69,21884.77,0,0,21884.77
Senegal,Kaffrine,Kaffrine,207676,2,155757,41535.2,10383.8,0,0,10383.8
Senegal,Matam,Kanel,239200,3,119600,71760,47840,0,0,47840
Senegal,Kaolack,Kaolack,488765,2,190618.35,249270.15,48876.5,0,0,48876.5
Senegal,Louga,Kebemer,259430,2,129715,90800.5,38914.5,0,0,38914.5
Senegal,Kedougou,Kedougou,75853,2,41719.15,26548.55,7585.3,0,0,7585.3
Senegal,Kolda,Kolda,245990,2,127914.8,86096.5,31978.7,0,0,31978.7
Senegal,Tambacounda,Koumpentoum,128433,2,83481.45,38529.9,6421.65,0,0,6421.65
Senegal,Kaffrine,Koungheul,163438,2,106234.7,40859.5,16343.8,0,0,16343.8
Senegal,Louga,Linguere,243257,3,133791.35,60814.25,48651.4,0,0,48651.4
Senegal,Louga,Louga,371507,2,185753.5,167178.15,18575.35,0,0,18575.35
Senegal,Kaffrine,Malem Hodar,94661,2,48277.11,30291.52,16092.37,0,0,16092.37
Senegal,Matam,Matam,272458,3,122606.1,95360.3,54491.6,0,0,54491.6
Senegal,Diourbel,MBacke,927426,2,602826.9,278227.8,46371.3,0,0,46371.3
Senegal,Thies,Mbour,670982,2,456267.76,167745.5,46968.74,0,0,46968.74
Senegal,Kolda,Medina Yoro Foulah,138084,2,75946.2,41425.2,20712.6,0,0,20712.6
Senegal,Kaolack,Nioro du Rip,356926,2,267694.5,71385.2,17846.3,0,0,17846.3
Senegal,Ziguinchor,Oussouye,48331,2,24165.5,18365.78,5799.72,0,0,5799.72
Senegal,Saint Louis,Podor,372092,3,241859.8,55813.8,74418.4,0,0,74418.4
Senegal,Matam,Ranerou,50881,3,22896.45,17808.35,10176.2,0,0,10176.2
Senegal,Dakar,Rufisque,490694,1,417089.9,49069.4,24534.7,0,0,24534.7
Senegal,Saint Louis,Saint Louis,294146,1,244141.18,44121.9,5882.92,0,0,5882.92
Senegal,Kedougou,Salemata,22111,2,22111,7296.63,2653.32,0,0,2653.32
Senegal,Kedougou,Saraya,50724,2,26376.48,19275.12,5072.4,0,0,5072.4
Senegal,Sedhiou,Sedhiou,151327,2,86256.39,51451.18,13619.43,0,0,13619.43
Senegal,Tambacounda,Tambacounda,299162,3,116673.18,119664.8,62824.02,0,0,62824.02
Senegal,Thies,Thies,665770,2,499327.5,133154,33288.5,0,0,33288.5
Senegal,Thies,Tivaouane,452112,2,352647.36,76859.04,22605.6,0,0,22605.6
Senegal,Kolda,Velingara,278381,2,144758.12,100217.16,33405.72,0,0,33405.72
Senegal,Ziguinchor,Ziguinchor,248264,2,141510.48,86892.4,19861.12,0,0,19861.12
