country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Senegal,Tambacounda,Bakel,138867,2,111093.6,20830.05,6943.35,0,0,6943.35
Senegal,Diourbel,Bambey,299476,2,209633.2,74869,14973.8,0,0,14973.8
Senegal,Ziguinchor,Bignona,252556,2,189417,50511.2,12627.8,0,0,12627.8
Senegal,Kaffrine,Birkelane,101216,2,70851.2,30364.8,0,0,0,0
Senegal,Sedhiou,Bounkiling,145569,1,123733.65,14556.9,7278.45,0,0,7278.45
Senegal,Saint Louis,Dagana,241695,1,198189.9,38671.2,4833.9,0,0,4833.9
Senegal,Diourbel,Diourbel,268215,2,174339.75,80464.5,13410.75,0,0,13410.75
Senegal,Fatick,Fatick,339241,2,254430.75,67848.2,16962.05,0,0,16962.05
Senegal,Fatick,Foundiougne,279436,1,237520.6,41915.4,0,0,0,0
Senegal,Fatick,Gossas,95715,1,81357.75,14357.25,0,0,0,0
Senegal,Tambacounda,Goudiry,114846,2,91876.8,17226.9,5742.3,0,0,5742.3
Senegal,Sedhiou,Goudomp,156097,1,132682.45,15609.7,7804.85,0,0,7804.85
Senegal,Kaolack,Guinguineo,115183,2,63350.65,46073.2,5759.15,0,0,5759.15
Senegal,Kaffrine,Kaffrine,207676,2,145373.2,62302.8,0,0,0,0
Senegal,Matam,Kanel,238606,3,119303,71581.8,47721.2,0,0,47721.2
Senegal,Kaolack,Kaolack,488765,2,317697.25,171067.75,0,0,0,0
Senegal,Louga,Kebemer,259085,1,209858.85,38862.75,10363.4,0,0,10363.4
Senegal,Kedougou,Kedougou,78522,2,58891.5,15704.4,3926.1,0,0,3926.1
Senegal,Kolda,Kolda,245990,2,184492.5,49198,12299.5,0,0,12299.5
Senegal,Tambacounda,Koumpentoum,128433,1,115589.7,12843.3,0,0,0,0
Senegal,Kaffrine,Koungheul,163438,2,122578.5,40859.5,0,0,0,0
Senegal,Louga,Linguere,373211,2,242587.15,93302.75,37321.1,0,0,37321.1
Senegal,Louga,Louga,241897,1,205612.45,31446.61,4837.94,0,0,4837.94
Senegal,Kaffrine,Malem Hodar,94662,1,80462.7,14199.3,0,0,0,0
Senegal,Matam,Matam,272620,2,204465,54524,13631,0,0,13631
Senegal,Diourbel,MBacke,929764,2,743811.2,139464.6,46488.2,0,0,46488.2
Senegal,Thies,Mbour,668878,2,468214.6,167219.5,33443.9,0,0,33443.9
Senegal,Kolda,Medina Yoro Foulah,138084,2,103563,20712.6,13808.4,0,0,13808.4
Senegal,Kaolack,Nioro du Rip,356927,1,303387.95,53539.05,0,0,0,0
Senegal,Ziguinchor,Oussouye,48331,2,31415.15,12082.75,4833.1,0,0,4833.1
Senegal,Saint Louis,Podor,370751,2,222450.6,111225.3,37075.1,0,0,37075.1
Senegal,Matam,Ranerou,51313,2,28222.15,15393.9,7696.95,0,0,7696.95
Senegal,Dakar,Rufisque,490694,1,456345.42,34348.58,0,0,0,0
Senegal,Kedougou,Salemata,22111,2,14372.15,4422.2,3316.65,0,0,3316.65
Senegal,Kedougou,Saraya,50724,2,40579.2,7608.6,2536.2,0,0,2536.2
Senegal,Sedhiou,Sedhiou,151327,1,128627.95,15132.7,7566.35,0,0,7566.35
Senegal,Saint Louis,Saint Louis,296497,1,246092.51,44474.55,5929.94,0,0,5929.94
Senegal,Tambacounda,Tambacounda,299163,2,209414.1,74790.75,14958.15,0,0,14958.15
Senegal,Thies,Thies,667814,1,547607.48,100172.1,20034.42,0,0,20034.42
Senegal,Thies,Tivaouane,452172,1,370781.04,67825.8,13565.16,0,0,13565.16
Senegal,Kolda,Velingara,278381,2,194866.7,55676.2,27838.1,0,0,27838.1
Senegal,Ziguinchor,Ziguinchor,248264,2,161371.6,74479.2,12413.2,0,0,12413.2
