country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Senegal,KEDOUGOU,SALEMATA,26920,2,18305.6,7537.6,1076.8,0,0,1076.8
Senegal,KEDOUGOU,KEDOUGOU,95599,2,69787.27,20075.79,5735.94,0,0,5735.94
Senegal,KEDOUGOU,SARAYA,61756,2,40758.96,17909.24,3087.8,0,0,3087.8
Senegal,ZIGUINCHOR,ZIGUINCHOR,299364,2,218535.72,74841,5987.28,0,0,5987.28
Senegal,ZIGUINCHOR,BIGNONA,304535,1,249718.7,51770.95,3045.35,0,0,3045.35
Senegal,ZIGUINCHOR,OUSSOUYE,58280,1,48372.4,9324.8,582.8,0,0,582.8
Senegal,KOLDA,KOLDA,295795,2,195224.7,88738.5,11831.8,0,0,11831.8
Senegal,KOLDA,MYF,166042,2,107927.3,49812.6,8302.1,0,0,8302.1
Senegal,KOLDA,VELINGARA,334746,2,254406.96,70296.66,10042.38,0,0,10042.38
Senegal,SEDHIOU,SEDHIOU,184742,2,133014.24,46185.5,5542.26,0,0,5542.26
Senegal,SEDHIOU,BOUNKILING,177706,2,138610.68,37318.26,1777.06,0,0,1777.06
Senegal,SEDHIOU,GOUDOMP,190557,2,144823.32,41922.54,3811.14,0,0,3811.14
Senegal,FATICK,FATICK,413302,2,326508.58,74394.36,12399.06,0,0,12399.06
Senegal,FATICK,FOUNDIOUGNE,340444,2,251928.56,85111,3404.44,0,0,3404.44
Senegal,FATICK,GOSSAS,116612,2,89791.24,23322.4,3498.36,0,0,3498.36
Senegal,KAFFRINE,KAFFRINE,257696,2,188118.08,59270.08,10307.84,0,0,10307.84
Senegal,KAFFRINE,MBIRKILANE,125596,2,90429.12,30143.04,5023.84,0,0,5023.84
Senegal,KAFFRINE,KOUNGHEUL,202803,2,158186.34,42588.63,2028.03,0,0,2028.03
Senegal,KAFFRINE,MALEM HODDAR,117462,1,98668.08,17619.3,1174.62,0,0,1174.62
Senegal,TAMBACOUNDA,BAKEL,171521,2,120064.7,42880.25,8576.05,0,0,8576.05
Senegal,TAMBACOUNDA,TAMBACOUNDA,369510,2,258657,92377.5,18475.5,0,0,18475.5
Senegal,TAMBACOUNDA,GOUDIRY,141853,2,106389.75,28370.6,7092.65,0,0,7092.65
Senegal,TAMBACOUNDA,KOUMPEMTOUM,158634,2,101525.76,47590.2,9518.04,0,0,9518.04
Senegal,DAKAR,RUFISQUE,583774,1,472856.94,110917.06,0,0,0,0
Senegal,LOUGA,KEBEMER,306043,2,229532.25,61208.6,15302.15,0,0,15302.15
Senegal,LOUGA,LINGUERE,285743,2,142871.5,100010.05,42861.45,0,0,42861.45
Senegal,LOUGA,LOUGA,440859,1,361504.38,74946.03,4408.59,0,0,4408.59
Senegal,MATAM,MATAM,342164,2,184768.56,116335.76,41059.68,0,0,41059.68
Senegal,MATAM,KANEL,299471,2,149735.5,119788.4,29947.1,0,0,29947.1
Senegal,MATAM,RANEROU,64402,3,28980.9,21252.66,14168.44,0,0,14168.44
Senegal,SAINT LOUIS,DAGANA,282804,1,237555.36,45248.64,0,0,0,0
Senegal,SAINT LOUIS,PODOR,433811,2,351386.91,73747.87,8676.22,0,0,8676.22
Senegal,SAINT LOUIS,SAINT LOUIS,346926,1,298356.36,48569.64,0,0,0,0
Senegal,DIOURBEL,DIOURBEL,322762,2,209795.3,103283.84,9682.86,0,0,9682.86
Senegal,DIOURBEL,BAMBEY,360380,2,277492.6,75679.8,7207.6,0,0,7207.6
Senegal,DIOURBEL,MBACKE,1118849,2,794382.79,313277.72,11188.49,0,0,11188.49
Senegal,THIES,MBOUR,787349,2,590511.75,181090.27,15746.98,0,0,15746.98
Senegal,THIES,THIES,786097,1,636738.57,149358.43,0,0,0,0
Senegal,THIES,TIVAOUNE,532261,1,431131.41,101129.59,0,0,0,0
Senegal,KAOLACK,KAOLACK,587730,2,393779.1,176319,17631.9,0,0,17631.9
Senegal,KAOLACK,NIORO,429198,2,317606.52,103007.52,8583.96,0,0,8583.96
Senegal,KAOLACK,GUINFUINEO,138506,2,81718.54,49862.16,6925.3,0,0,6925.3
