country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Sierra Leone,Eastern,Kailahun,465048,2,153465.84,232524,69757.2,9300.96,0,79058.16
Sierra Leone,Eastern,Kenema,653013,2,306916.11,261205.2,71831.43,13060.26,0,84891.69
Sierra Leone,Eastern,Kono,325003,2,130001.2,149501.38,39000.36,6500.06,0,45500.42
Sierra Leone,Northern,Bombali,494139,2,207538.38,227303.94,54355.29,4941.39,0,59296.68
Sierra Leone,Northern,Kambia,341690,2,119591.5,170845,41002.8,10250.7,0,51253.5
Sierra Leone,Northern,Koinadugu,335471,2,147607.24,140897.82,40256.52,6709.42,0,46965.94
Sierra Leone,Northern,Port Loko,557978,2,256670,217611,66957.36,16739.34,0,83696.7
Sierra Leone,Northern,Tonkolili,434937,2,173974.8,208769.76,43493.7,8698.74,0,52192.44
Sierra Leone,Southern,Bo,654142,1,529855.02,111204.14,13082.84,0,0,13082.84
Sierra Leone,Southern,Bonthe,168729,3,84364.5,48931.41,30371.22,5061.87,0,35433.09
Sierra Leone,Southern,Moyamba,278119,2,122372.36,122372.36,30593.09,2781.19,0,33374.28
Sierra Leone,Southern,Pujehun,335574,3,114095.16,151008.3,60403.32,10067.22,0,70470.54
Sierra Leone,Western Area,Western Area Rur,263619,3,121264.74,86994.27,50087.61,5272.38,0,55359.99
Sierra Leone,Western Area,Western Area Urb,1040888,2,728621.6,281039.76,31226.64,0,0,31226.64
