country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Sierra Leone,EASTERN,Kailahun,"577,439",2,"415,756","144,360","17,323",0,0,"17,323"
Sierra Leone,EASTERN,Kenema,"670,314",2,"496,032","160,875","13,406",0,0,"13,406"
Sierra Leone,EASTERN,Kono,"555,891",1,"450,272","100,060","5,559",0,0,"5,559"
Sierra Leone,NORTHERN,Bombali,"666,259",2,"466,381","186,553","13,325",0,0,"13,325"
Sierra Leone,NORTHERN,Kambia,"377,747",2,"271,978","94,437","11,332",0,0,"11,332"
Sierra Leone,NORTHERN,Koinadugu,"448,541",2,"340,891","98,679","8,971",0,0,"8,971"
Sierra Leone,NORTHERN,Port Loko,"674,920",1,"546,685","121,486","6,749",0,0,"6,749"
Sierra Leone,NORTHERN,Tonkolili,"583,378",2,"390,863","175,013","17,501",0,0,"17,501"
Sierra Leone,SOUTHERN,Bo,"631,107",1,"511,197","113,599","6,311",0,0,"6,311"
Sierra Leone,SOUTHERN,Bonthe,"220,623",2,"167,673","48,537","4,412",0,0,"4,412"
Sierra Leone,SOUTHERN,Moyamba,"349,586",2,"272,677","69,917","6,992",0,0,"6,992"
Sierra Leone,SOUTHERN,Pujehun,"379,825",2,"277,272","94,956","7,597",0,0,"7,597"
Sierra Leone,WESTERN  AREA RURAL,Western Area Rural,"486,850",1,"394,349","87,633","4,869",0,0,"4,869"
